# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	6.475550e-03	11	true
2             	smoothSolver	8.102370e-02	7.871350e-03	7	1.000000e+00	5.220250e-02	2	false	GAMG	1.000000e+00	8.294070e-03	5	true
3             	smoothSolver	2.369840e-02	1.727990e-03	3	5.304040e-01	5.039510e-02	2	false	GAMG	2.127580e-01	1.499580e-03	6	true
4             	smoothSolver	1.622790e-02	1.255060e-03	6	4.434360e-01	3.235610e-02	3	false	GAMG	1.639190e-01	9.040290e-04	6	true
5             	smoothSolver	1.214260e-02	1.164580e-03	6	4.444650e-01	2.997910e-02	4	false	GAMG	1.561430e-01	9.327850e-04	5	true
6             	smoothSolver	9.771940e-03	8.478960e-04	7	4.847160e-01	3.911880e-02	4	false	GAMG	1.368090e-01	1.175650e-03	5	true
7             	smoothSolver	8.088730e-03	7.749650e-04	7	4.520430e-01	4.254350e-02	4	false	GAMG	1.250620e-01	8.896420e-04	5	true
8             	smoothSolver	6.856260e-03	5.553640e-04	8	4.015880e-01	3.162760e-02	5	false	GAMG	1.278140e-01	1.186180e-03	6	true
9             	smoothSolver	6.095770e-03	5.280570e-04	8	3.448120e-01	3.129490e-02	5	false	GAMG	1.163370e-01	8.813840e-04	7	true
10            	smoothSolver	5.426510e-03	5.054650e-04	8	2.931440e-01	2.181450e-02	6	false	GAMG	1.062010e-01	9.037850e-04	6	true
11            	smoothSolver	4.886150e-03	4.820420e-04	8	2.727490e-01	2.129120e-02	6	false	GAMG	1.046980e-01	9.265770e-04	8	true
12            	smoothSolver	4.494950e-03	3.649490e-04	9	2.382050e-01	1.994270e-02	6	false	GAMG	9.154490e-02	9.125590e-04	8	true
13            	smoothSolver	4.209710e-03	3.581190e-04	9	2.236070e-01	2.067340e-02	6	false	GAMG	8.150120e-02	7.961500e-04	13	true
14            	smoothSolver	3.925030e-03	3.499420e-04	9	1.950190e-01	1.899510e-02	6	false	GAMG	7.676010e-02	7.632880e-04	11	true
15            	smoothSolver	3.696480e-03	3.415300e-04	9	1.758140e-01	1.383520e-02	7	false	GAMG	7.829880e-02	7.312470e-04	11	true
16            	smoothSolver	3.528360e-03	3.368400e-04	9	1.621540e-01	1.312490e-02	7	false	GAMG	7.817160e-02	7.555560e-04	9	true
17            	smoothSolver	3.372430e-03	3.313970e-04	9	1.410300e-01	1.216740e-02	7	false	GAMG	7.587110e-02	7.237770e-04	13	true
18            	smoothSolver	3.231850e-03	2.569410e-04	10	1.350500e-01	1.203770e-02	7	false	GAMG	8.834110e-02	8.684690e-04	13	true
19            	smoothSolver	3.152080e-03	2.537830e-04	10	1.282210e-01	1.188100e-02	7	false	GAMG	8.450190e-02	8.264670e-04	19	true
20            	smoothSolver	3.108960e-03	2.512430e-04	10	1.250580e-01	1.154480e-02	7	false	GAMG	8.674610e-02	8.634790e-04	19	true
21            	smoothSolver	3.068210e-03	2.489840e-04	10	1.162310e-01	1.101390e-02	7	false	GAMG	8.764750e-02	8.466210e-04	21	true
22            	smoothSolver	3.020490e-03	2.462540e-04	10	1.061660e-01	8.463690e-03	8	false	GAMG	8.809790e-02	8.568430e-04	19	true
23            	smoothSolver	2.979480e-03	2.437510e-04	10	1.013230e-01	8.628430e-03	8	false	GAMG	1.008920e-01	9.673800e-04	15	true
24            	smoothSolver	2.957930e-03	2.425710e-04	10	9.930990e-02	8.607340e-03	8	false	GAMG	9.843980e-02	9.575560e-04	13	true
25            	smoothSolver	2.931120e-03	2.412390e-04	10	9.454670e-02	8.402830e-03	8	false	GAMG	9.189850e-02	9.187230e-04	13	true
26            	smoothSolver	2.899720e-03	2.398540e-04	10	9.258770e-02	8.545410e-03	8	false	GAMG	8.053280e-02	7.749490e-04	19	true
27            	smoothSolver	2.875700e-03	2.385310e-04	10	9.320960e-02	8.451690e-03	8	false	GAMG	8.691950e-02	8.592490e-04	13	true
28            	smoothSolver	2.847280e-03	2.370010e-04	10	8.572610e-02	8.195140e-03	8	false	GAMG	7.334410e-02	7.000370e-04	21	true
29            	smoothSolver	2.819320e-03	2.353170e-04	10	8.641480e-02	8.045220e-03	8	false	GAMG	6.922270e-02	6.540810e-04	19	true
30            	smoothSolver	2.799250e-03	2.342740e-04	10	7.957310e-02	7.857650e-03	8	false	GAMG	6.529140e-02	6.365380e-04	14	true
31            	smoothSolver	2.777090e-03	2.333220e-04	10	7.539540e-02	7.465730e-03	8	false	GAMG	6.019370e-02	5.764530e-04	16	true
