# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	5.694423e-05
2             	7.427075e-05
3             	7.844910e-05
4             	9.340805e-05
5             	1.058374e-04
6             	1.180693e-04
7             	1.303821e-04
8             	1.428367e-04
9             	1.562606e-04
10            	1.700935e-04
11            	1.841108e-04
12            	1.984851e-04
13            	2.136333e-04
14            	2.294432e-04
15            	2.458914e-04
16            	2.630047e-04
17            	2.807806e-04
18            	2.991652e-04
19            	3.182261e-04
20            	3.379171e-04
21            	3.582427e-04
22            	3.792196e-04
23            	4.008159e-04
24            	4.230442e-04
25            	4.459115e-04
26            	4.694089e-04
27            	4.935225e-04
28            	5.182853e-04
29            	5.436926e-04
30            	5.697405e-04
31            	5.964306e-04
32            	6.237353e-04
33            	6.516840e-04
34            	6.802256e-04
35            	7.093417e-04
36            	7.389850e-04
37            	7.691145e-04
38            	7.996710e-04
39            	8.305991e-04
40            	8.618413e-04
41            	8.933312e-04
42            	9.250075e-04
43            	9.568032e-04
44            	9.886481e-04
45            	1.020474e-03
46            	1.052210e-03
47            	1.083797e-03
48            	1.115174e-03
49            	1.146273e-03
50            	1.177034e-03
51            	1.207407e-03
52            	1.237344e-03
53            	1.266790e-03
54            	1.295717e-03
55            	1.324074e-03
56            	1.351838e-03
57            	1.378977e-03
58            	1.405463e-03
59            	1.431281e-03
60            	1.456417e-03
61            	1.480855e-03
62            	1.504590e-03
63            	1.527614e-03
64            	1.549920e-03
65            	1.571517e-03
66            	1.592397e-03
67            	1.612570e-03
68            	1.632030e-03
69            	1.650794e-03
70            	1.668869e-03
71            	1.686263e-03
72            	1.702977e-03
73            	1.719033e-03
74            	1.734432e-03
75            	1.749190e-03
76            	1.763316e-03
77            	1.776822e-03
78            	1.789721e-03
79            	1.802021e-03
80            	1.813876e-03
81            	1.825002e-03
82            	1.835661e-03
83            	1.845766e-03
84            	1.855286e-03
85            	1.864239e-03
86            	1.872642e-03
87            	1.880511e-03
