y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,8.33036e-05,5.46309e-06,1.21373e-09,0.0158,-3.17946e-11,0
0.000851268,0.00012495,8.19458e-06,1.82059e-09,0.0237001,-4.76919e-11,0
0.00113502,0.000166597,1.09261e-05,2.42746e-09,0.0316001,-6.7326e-11,0
0.00174332,0.000287851,2.91523e-05,1.00019e-08,0.0482354,-1.66341e-10,2.66789e-24
0.00235161,0.000409105,4.73784e-05,1.75763e-08,0.0648707,-2.69145e-10,4.31237e-24
0.00267761,0.000494493,6.75791e-05,3.07313e-08,0.0737718,-3.83068e-10,2.89374e-24
0.00300362,0.00057988,8.77797e-05,4.38863e-08,0.0826729,-4.96991e-10,1.47511e-24
0.00332962,0.000665267,0.00010798,5.70413e-08,0.091574,-6.10914e-10,5.6481e-26
0.00470391,0.00110823,0.00024085,1.77629e-07,0.129031,-1.27805e-09,-4.27567e-24
0.00916136,0.00369255,0.00130878,2.67013e-06,0.249041,-5.49255e-09,0
0.0147607,0.00943926,0.00411367,2.71362e-05,0.385018,-1.35469e-08,0
0.0152906,0.00999045,0.00440543,3.13816e-05,0.396321,-1.43796e-08,0
0.0158205,0.0105416,0.00469719,3.56269e-05,0.407623,-1.47429e-08,0
0.0161045,0.0107569,0.00483214,3.86421e-05,0.412838,-1.51047e-08,0
0.0163884,0.0109722,0.00496709,4.16572e-05,0.418052,-1.54665e-08,0
0.0175244,0.0118334,0.00550687,5.37179e-05,0.438911,-1.69138e-08,0
0.0218326,0.0133275,0.00700455,0.00010933,0.503838,-1.99083e-08,0
0.0224851,0.0133802,0.00717383,0.000118679,0.512262,-2.03489e-08,0
0.0231376,0.013433,0.00734311,0.000128029,0.520686,-2.03969e-08,0
0.0245365,0.0132591,0.0075877,0.000149957,0.535764,-2.11037e-08,1.76187e-23
0.0259353,0.0130852,0.0078323,0.000171884,0.550842,-2.14528e-08,2.94328e-23
0.0274347,0.0127383,0.00800207,0.000197029,0.564396,-2.19529e-08,1.34708e-23
0.0289341,0.0123913,0.00817183,0.000222174,0.577951,-2.21929e-08,2.76746e-24
0.0293359,0.0122825,0.00820015,0.000229257,0.581017,-2.22463e-08,-1.6376e-24
0.0297376,0.0121737,0.00822847,0.00023634,0.584083,-2.22996e-08,-6.04266e-24
0.0305412,0.0119562,0.0082851,0.000250506,0.590216,-2.24063e-08,-1.48528e-23
0.0308626,0.0118692,0.00830775,0.000256172,0.592669,-2.24489e-08,-1.83768e-23
0.0311841,0.0117822,0.00833041,0.000261838,0.595122,-2.24916e-08,-2.19009e-23
0.0374399,0.0101286,0.00858343,0.000376219,0.635142,-2.13987e-08,1.63818e-23
0.0383631,0.00989796,0.00860421,0.000393459,0.640285,-2.10275e-08,2.45727e-23
0.0392863,0.00966732,0.008625,0.000410698,0.645429,-2.09129e-08,2.87832e-23
0.0412654,0.00922944,0.00864473,0.000448094,0.654967,-1.97668e-08,2.45931e-23
0.0432445,0.00879155,0.00866447,0.000485491,0.664505,-1.89468e-08,1.85646e-23
0.0453658,0.00838601,0.00866832,0.000525697,0.673419,-1.76626e-08,-8.27287e-24
0.0608271,0.00611662,0.0085893,0.000814949,0.726417,-1.33168e-08,0
0.0614802,0.00604109,0.00858355,0.000826972,0.728315,-1.31915e-08,0
0.0621332,0.00596556,0.00857781,0.000838995,0.730213,-1.30661e-08,0
0.0649332,0.00569373,0.00854977,0.000889584,0.737495,-1.37277e-08,0
0.0663332,0.00555781,0.00853575,0.000914878,0.741136,-1.40585e-08,0
0.0677332,0.0054219,0.00852174,0.000940173,0.744777,-1.40874e-08,0
0.0707343,0.00517739,0.00848965,0.000993214,0.751798,-1.54105e-08,0
0.0737355,0.00493289,0.00845756,0.00104625,0.75882,-1.64756e-08,0
