# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	7.724340e-03	19	true
2             	smoothSolver	8.640470e-02	8.038840e-03	8	1.000000e+00	9.438890e-02	2	false	GAMG	1.000000e+00	8.465300e-03	5	true
3             	smoothSolver	1.757900e-02	1.660820e-03	4	4.547100e-01	3.921140e-02	3	false	GAMG	1.678020e-01	1.529390e-03	6	true
4             	smoothSolver	1.417320e-02	1.183500e-03	7	3.716670e-01	2.584420e-02	4	false	GAMG	1.374880e-01	8.396130e-04	6	true
5             	smoothSolver	1.070510e-02	9.892070e-04	7	3.559380e-01	2.856480e-02	4	false	GAMG	1.331510e-01	1.109020e-03	5	true
6             	smoothSolver	8.537750e-03	6.900300e-04	8	3.782000e-01	3.772370e-02	4	false	GAMG	1.227620e-01	9.178910e-04	4	true
7             	smoothSolver	7.146760e-03	6.223560e-04	8	4.149260e-01	3.161920e-02	5	false	GAMG	1.153310e-01	9.900490e-04	4	true
8             	smoothSolver	6.134340e-03	5.722530e-04	8	3.943150e-01	3.429520e-02	5	false	GAMG	1.142740e-01	9.024760e-04	4	true
9             	smoothSolver	5.365300e-03	5.350690e-04	8	3.390340e-01	3.306770e-02	5	false	GAMG	1.097860e-01	1.074880e-03	4	true
10            	smoothSolver	4.794370e-03	3.923070e-04	9	2.871100e-01	2.468940e-02	6	false	GAMG	1.102880e-01	1.012880e-03	5	true
11            	smoothSolver	4.333000e-03	3.736450e-04	9	2.501600e-01	2.486480e-02	6	false	GAMG	1.033440e-01	8.522160e-04	5	true
12            	smoothSolver	3.958380e-03	3.573220e-04	9	2.162660e-01	1.879470e-02	7	false	GAMG	9.771470e-02	7.684010e-04	6	true
13            	smoothSolver	3.657500e-03	3.438790e-04	9	1.899740e-01	1.720000e-02	7	false	GAMG	9.647470e-02	9.140180e-04	6	true
14            	smoothSolver	3.400110e-03	3.321010e-04	9	1.705840e-01	1.561960e-02	7	false	GAMG	9.708560e-02	7.692010e-04	8	true
15            	smoothSolver	3.195880e-03	2.538250e-04	10	1.514470e-01	1.425960e-02	7	false	GAMG	9.839780e-02	8.604160e-04	6	true
16            	smoothSolver	3.015800e-03	2.472910e-04	10	1.363160e-01	1.088960e-02	8	false	GAMG	9.113540e-02	8.705630e-04	6	true
17            	smoothSolver	2.869120e-03	2.417130e-04	10	1.221390e-01	9.830020e-03	8	false	GAMG	9.145090e-02	7.140640e-04	6	true
18            	smoothSolver	2.739950e-03	2.366150e-04	10	1.123600e-01	9.298990e-03	8	false	GAMG	8.912520e-02	6.929950e-04	6	true
19            	smoothSolver	2.651580e-03	2.322260e-04	10	1.050470e-01	8.765520e-03	8	false	GAMG	9.097210e-02	7.321530e-04	6	true
