y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,4.51976e-05,1.38205e-06,1.45758e-10,0.0113106,-1.68232e-10,0
0.000496573,5.27289e-05,1.61238e-06,1.70051e-10,0.0131957,-1.99034e-10,0
0.000567512,6.02602e-05,1.8427e-06,1.94344e-10,0.0150808,-2.29837e-10,0
0.000851268,9.72175e-05,4.59559e-06,7.36833e-10,0.0227523,-5.22048e-10,0
0.00113502,0.000134175,7.3485e-06,1.27933e-09,0.0304237,-8.59425e-10,0
0.00143917,0.000178618,1.27451e-05,2.92339e-09,0.0383612,-1.37619e-09,0
0.00174332,0.000223061,1.81418e-05,4.56747e-09,0.0462986,-1.97293e-09,0
0.00204747,0.000276136,2.69116e-05,8.21916e-09,0.0545109,-2.73754e-09,2.10656e-24
0.00235161,0.000329211,3.56814e-05,1.18709e-08,0.0627233,-3.62056e-09,2.10656e-24
0.00267761,0.000392345,4.87565e-05,1.88358e-08,0.0712193,-4.648e-09,1.81214e-24
0.00300362,0.00045548,6.18317e-05,2.58008e-08,0.0797153,-5.83502e-09,-2.34517e-24
0.00324812,0.00051162,7.5709e-05,3.48799e-08,0.0863069,-6.76444e-09,-4.17632e-24
0.00349262,0.00056776,8.95866e-05,4.39591e-08,0.0928984,-7.89786e-09,-9.52362e-25
0.00417977,0.000738057,0.000136854,7.99649e-08,0.110928,-1.11817e-08,2.32163e-24
0.00426713,0.000760202,0.00014319,8.49571e-08,0.1132,-1.1645e-08,3.36096e-24
0.00435448,0.000782348,0.000149526,8.99493e-08,0.115473,-1.21083e-08,4.40029e-24
0.00470391,0.000887119,0.000183392,1.21754e-07,0.124872,-1.40167e-08,3.05022e-24
0.00505334,0.000991891,0.000217257,1.5356e-07,0.134272,-1.62272e-08,-1.24839e-24
0.00542788,0.00111626,0.00026172,2.03301e-07,0.143988,-1.84489e-08,0
0.00580242,0.00124063,0.000306184,2.53042e-07,0.153705,-2.10259e-08,0
0.00617696,0.00138938,0.000363664,3.29806e-07,0.163744,-2.35639e-08,0
0.0065515,0.00153813,0.000421144,4.0657e-07,0.173784,-2.65125e-08,0
0.00695296,0.00171778,0.000494545,5.24459e-07,0.184149,-2.93615e-08,0
0.00735441,0.00189743,0.000567947,6.4235e-07,0.194515,-3.26776e-08,0
0.00775586,0.00211499,0.00066053,8.23352e-07,0.205207,-3.58265e-08,0
0.00815732,0.00233255,0.000753114,1.00436e-06,0.215898,-3.94994e-08,0
0.00858762,0.00259475,0.000868547,1.28432e-06,0.226908,-4.29253e-08,0
0.00901792,0.00285696,0.00098398,1.56428e-06,0.237917,-4.69306e-08,0
0.0119706,0.00531433,0.00213533,6.64435e-06,0.313172,-7.36957e-08,0
0.0123414,0.00567555,0.00231105,7.81039e-06,0.322086,-7.72898e-08,0
0.0127122,0.00603676,0.00248677,8.97643e-06,0.331001,-8.08839e-08,0
0.0132065,0.00656225,0.00274769,1.12088e-05,0.342879,-8.49108e-08,0
0.0137009,0.00708774,0.00300861,1.34411e-05,0.354757,-8.96764e-08,0
0.0142308,0.00763538,0.00328773,1.64859e-05,0.366487,-9.35817e-08,0
0.0147607,0.00818302,0.00356685,1.95306e-05,0.378218,-9.82119e-08,0
0.0152906,0.00872337,0.00385337,2.34709e-05,0.389668,-1.01922e-07,0
0.0158205,0.00926372,0.00413989,2.74112e-05,0.401119,-1.06326e-07,0
0.0163884,0.0097629,0.00442206,3.22693e-05,0.412176,-1.09788e-07,0
0.0169564,0.0102621,0.00470422,3.71274e-05,0.423233,-1.13896e-07,0
0.0175244,0.0106911,0.00497223,4.28927e-05,0.433821,-1.17078e-07,0
0.0180924,0.0111202,0.00524024,4.86581e-05,0.444408,-1.20844e-07,0
0.0187011,0.0114591,0.0054869,5.53016e-05,0.454484,-1.23728e-07,0
0.0193099,0.011798,0.00573356,6.19452e-05,0.464559,-1.27123e-07,0
0.0194621,0.0118581,0.00578889,6.38197e-05,0.466947,-1.27654e-07,0
0.0196143,0.0119182,0.00584423,6.56941e-05,0.469334,-1.28184e-07,0
0.0221588,0.0125943,0.0066495,9.81761e-05,0.505987,-1.38246e-07,0
0.0226482,0.012636,0.00677567,0.000105039,0.512386,-1.39857e-07,0
0.0231376,0.0126777,0.00690184,0.000111902,0.518785,-1.41469e-07,0
0.0238371,0.012658,0.00704538,0.000121863,0.526846,-1.42907e-07,0
0.0245365,0.0126383,0.00718892,0.000131824,0.534907,-1.44607e-07,0
0.0252359,0.0125569,0.00730994,0.000142591,0.542527,-1.45635e-07,0
0.0259353,0.0124754,0.00743095,0.000153359,0.550146,-1.46879e-07,0
0.026685,0.0123459,0.00753198,0.000164925,0.557359,-1.47496e-07,-2.06713e-23
0.0274347,0.0122164,0.00763301,0.000176492,0.564571,-1.48294e-07,-5.16386e-23
