# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	4.101602e-06
2             	-1.557183e-05
3             	-1.337877e-06
4             	1.318795e-06
5             	2.811565e-06
6             	3.223380e-06
7             	5.581714e-06
8             	6.925770e-06
9             	6.252515e-06
10            	6.707884e-06
11            	8.948988e-06
12            	9.257901e-06
13            	8.623697e-06
14            	1.028037e-05
15            	1.177823e-05
16            	1.149045e-05
17            	1.188335e-05
18            	1.375375e-05
19            	1.442989e-05
20            	1.428664e-05
21            	1.557331e-05
22            	1.710853e-05
23            	1.741934e-05
24            	1.797949e-05
25            	1.965481e-05
26            	2.079184e-05
27            	2.127495e-05
28            	2.256378e-05
29            	2.426763e-05
30            	2.528360e-05
31            	2.631551e-05
32            	2.810468e-05
33            	2.979339e-05
34            	3.104946e-05
35            	3.272283e-05
36            	3.482608e-05
37            	3.663620e-05
38            	3.838206e-05
39            	4.060429e-05
40            	4.293266e-05
41            	4.503282e-05
42            	4.731281e-05
43            	4.991908e-05
44            	5.245947e-05
45            	5.492392e-05
46            	5.763046e-05
47            	6.048076e-05
48            	6.324329e-05
49            	6.606416e-05
50            	6.907081e-05
51            	7.209208e-05
52            	7.506298e-05
53            	7.812833e-05
54            	8.128791e-05
55            	8.441710e-05
56            	8.754235e-05
57            	9.074349e-05
58            	9.396972e-05
59            	9.716516e-05
60            	1.003765e-04
61            	1.036275e-04
62            	1.068693e-04
63            	1.100909e-04
64            	1.133265e-04
65            	1.165699e-04
66            	1.197929e-04
67            	1.230026e-04
68            	1.262143e-04
69            	1.294147e-04
70            	1.325933e-04
71            	1.357583e-04
72            	1.389131e-04
73            	1.420473e-04
74            	1.451589e-04
75            	1.482534e-04
76            	1.513288e-04
77            	1.543794e-04
78            	1.574066e-04
79            	1.604120e-04
80            	1.633923e-04
81            	1.663460e-04
82            	1.692741e-04
83            	1.721767e-04
84            	1.750514e-04
85            	1.778983e-04
86            	1.807173e-04
87            	1.835083e-04
88            	1.862698e-04
89            	1.890018e-04
90            	1.917050e-04
91            	1.943781e-04
92            	1.970207e-04
93            	1.996330e-04
94            	2.022151e-04
95            	2.047658e-04
96            	2.072853e-04
97            	2.097741e-04
98            	2.122316e-04
99            	2.146578e-04
100           	2.170526e-04
101           	2.194160e-04
102           	2.217479e-04
103           	2.240481e-04
104           	2.263166e-04
105           	2.285536e-04
106           	2.307588e-04
