y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.115972,0.00339438,7.54121e-06,0.263382,-1.92819e-08,0
0.000851268,0.105507,0.00341682,1.08834e-05,0.395074,-2.89229e-08,0
0.00113502,0.0950423,0.00343926,1.42256e-05,0.526764,-4.54565e-08,0
0.00174332,0.0681721,0.00345933,2.13779e-05,0.55802,-5.71646e-08,3.28154e-23
0.00235161,0.041302,0.00347941,2.85302e-05,0.589276,-7.80838e-08,5.17112e-23
0.00267761,0.0370868,0.00346019,3.24813e-05,0.598483,-8.51441e-08,3.92684e-23
0.00300362,0.0328717,0.00344098,3.64324e-05,0.607689,-9.22044e-08,2.68255e-23
0.00332962,0.0286566,0.00342176,4.03835e-05,0.616896,-9.92648e-08,1.43827e-23
0.00470391,0.018722,0.00336929,5.743e-05,0.646034,-1.28533e-07,-3.6728e-23
0.00916136,0.00877158,0.00329739,0.000113798,0.700084,-1.56071e-07,0
0.0147607,0.00523683,0.00325482,0.000184066,0.737805,-9.03418e-08,0
0.0152906,0.00503788,0.00325157,0.000190652,0.740622,-8.18295e-08,0
0.0158205,0.00483892,0.00324831,0.000197238,0.74344,-7.06833e-08,0
0.0161045,0.00475927,0.00324672,0.000200737,0.744751,-6.56393e-08,0
0.0163884,0.00467961,0.00324514,0.000204236,0.746063,-6.05953e-08,0
0.0175244,0.004361,0.00323879,0.000218232,0.751309,-4.04195e-08,0
0.0218326,0.0034651,0.00321663,0.000270702,0.76847,4.88542e-08,0
0.0224851,0.00335706,0.00321344,0.000278582,0.770807,6.13911e-08,0
0.0231376,0.00324902,0.00321025,0.00028646,0.773144,7.91999e-08,0
0.0245365,0.00306716,0.00320376,0.00030316,0.777603,1.06567e-07,7.86203e-23
0.0259353,0.00288529,0.00319725,0.000319859,0.782061,1.39076e-07,1.31258e-22
0.0274347,0.00273046,0.00319055,0.000337542,0.786339,1.68857e-07,5.57116e-23
0.0289341,0.00257563,0.00318385,0.000355223,0.790616,2.03015e-07,5.13266e-24
0.0293359,0.00254235,0.00318211,0.000359899,0.791647,2.11099e-07,-1.45242e-23
0.0297376,0.00250907,0.00318038,0.000364576,0.792678,2.19182e-07,-3.41811e-23
0.0305412,0.00244252,0.0031769,0.000373929,0.79474,2.3535e-07,-7.34948e-23
0.0308626,0.00241589,0.00317551,0.000377671,0.795565,2.41816e-07,-8.92203e-23
0.0311841,0.00238927,0.00317412,0.000381412,0.79639,2.48283e-07,-1.04946e-22
0.0374399,0.00197777,0.00314788,0.000453056,0.810728,3.74768e-07,9.11872e-23
