# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	7.390300e-03	5	true
2             	smoothSolver	8.087750e-02	5.230670e-03	5	1.000000e+00	3.695240e-02	2	false	GAMG	1.000000e+00	6.952790e-03	4	true
3             	smoothSolver	3.710950e-02	2.282310e-03	3	6.326590e-01	3.597610e-02	2	false	GAMG	2.376750e-01	1.945670e-03	5	true
4             	smoothSolver	2.232820e-02	1.552340e-03	4	5.175570e-01	4.578030e-02	2	false	GAMG	1.439240e-01	8.619720e-04	5	true
5             	smoothSolver	1.595870e-02	1.452990e-03	4	4.690970e-01	2.622160e-02	3	false	GAMG	1.242610e-01	1.093490e-03	4	true
6             	smoothSolver	1.330960e-02	9.020040e-04	5	4.715350e-01	2.666180e-02	3	false	GAMG	1.193760e-01	3.542350e-04	6	true
7             	smoothSolver	1.139750e-02	8.589500e-04	5	4.892740e-01	3.573700e-02	3	false	GAMG	1.261800e-01	1.079070e-03	4	true
8             	smoothSolver	9.965400e-03	8.393460e-04	5	4.465270e-01	3.931570e-02	3	false	GAMG	1.188330e-01	1.136880e-03	4	true
9             	smoothSolver	8.996390e-03	8.266130e-04	5	3.811860e-01	3.759290e-02	3	false	GAMG	1.060630e-01	9.967270e-04	5	true
10            	smoothSolver	8.212700e-03	8.083060e-04	5	3.476440e-01	2.467090e-02	4	false	GAMG	9.400010e-02	3.903100e-04	6	true
11            	smoothSolver	7.590300e-03	5.118800e-04	6	3.069780e-01	2.562730e-02	4	false	GAMG	9.470850e-02	6.881820e-04	5	true
12            	smoothSolver	7.174350e-03	5.037200e-04	6	2.946720e-01	2.429160e-02	4	false	GAMG	8.972350e-02	6.225500e-04	5	true
13            	smoothSolver	6.977060e-03	5.000870e-04	6	2.659890e-01	2.380060e-02	4	false	GAMG	7.271830e-02	5.789180e-04	5	true
14            	smoothSolver	6.822520e-03	4.930490e-04	6	2.657370e-01	2.197190e-02	4	false	GAMG	8.240240e-02	4.436040e-04	7	true
15            	smoothSolver	6.684850e-03	4.846270e-04	6	2.592010e-01	2.300670e-02	4	false	GAMG	8.338000e-02	7.488760e-04	5	true
16            	smoothSolver	6.610640e-03	4.832160e-04	6	2.365750e-01	2.332770e-02	4	false	GAMG	8.428710e-02	8.120810e-04	5	true
17            	smoothSolver	6.558140e-03	4.818300e-04	6	2.405460e-01	1.526960e-02	5	false	GAMG	9.433990e-02	8.413940e-04	5	true
18            	smoothSolver	6.459590e-03	4.750770e-04	6	2.288830e-01	1.470510e-02	5	false	GAMG	9.163040e-02	5.870680e-04	7	true
19            	smoothSolver	6.372480e-03	4.699220e-04	6	2.181830e-01	1.478370e-02	5	false	GAMG	7.226260e-02	6.498500e-04	5	true
