y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.116024,0.00339561,7.54441e-06,0.263431,6.89528e-08,0
0.000851268,0.105553,0.00341807,1.08881e-05,0.395146,1.03429e-07,0
0.00113502,0.0950817,0.00344053,1.42319e-05,0.526864,1.53682e-07,0
0.00174332,0.0681966,0.0034608,2.13925e-05,0.558115,2.02335e-07,-5.40294e-24
0.00235161,0.0413113,0.00348107,2.85531e-05,0.589366,2.7044e-07,-8.67593e-24
0.00267761,0.0370949,0.00346203,3.25125e-05,0.598568,3.06229e-07,-6.62815e-24
0.00300362,0.0328786,0.00344299,3.64719e-05,0.60777,3.42018e-07,-4.58037e-24
0.00332962,0.0286622,0.00342395,4.04313e-05,0.616971,3.77806e-07,-2.53259e-24
0.00470391,0.0187256,0.00337232,5.75256e-05,0.646088,5.3297e-07,6.00523e-24
0.00916136,0.00877625,0.00330339,0.000114154,0.700073,8.99135e-07,0
0.0147607,0.00524265,0.00326426,0.000184933,0.737733,1.07245e-06,0
0.0152906,0.00504375,0.00326131,0.000191574,0.740545,1.07712e-06,0
0.0158205,0.00484489,0.00325836,0.000198218,0.743357,1.08908e-06,0
0.0161045,0.00476525,0.00325692,0.000201749,0.744666,1.09022e-06,0
0.0163884,0.00468561,0.00325548,0.000205281,0.745975,1.09136e-06,0
0.0175244,0.00436705,0.00324974,0.000219407,0.751212,1.09591e-06,0
0.0218326,0.00347135,0.00322965,0.000272411,0.768342,1.09401e-06,0
0.0224851,0.00336332,0.00322676,0.000280374,0.770674,1.09208e-06,0
0.0231376,0.00325531,0.00322387,0.000288339,0.773007,1.08311e-06,0
0.0245365,0.00307344,0.00321794,0.000305227,0.777458,1.07394e-06,2.99301e-23
0.0259353,0.0028916,0.00321201,0.000322117,0.781908,1.05493e-06,4.57597e-23
0.0274347,0.00273675,0.00320587,0.000340009,0.786178,1.03918e-06,1.70099e-23
0.0289341,0.00258192,0.00319973,0.000357903,0.790448,1.01201e-06,1.80455e-24
0.0293359,0.00254863,0.00319813,0.000362638,0.791477,1.00612e-06,-5.67865e-24
0.0297376,0.00251534,0.00319653,0.000367374,0.792507,1.00022e-06,-1.31619e-23
0.0305412,0.00244877,0.00319333,0.000376844,0.794565,9.88435e-07,-2.81283e-23
0.0308626,0.00242214,0.00319205,0.000380632,0.795389,9.83719e-07,-3.41148e-23
0.0311841,0.00239551,0.00319077,0.00038442,0.796212,9.79003e-07,-4.01014e-23
0.0374399,0.00198382,0.00316645,0.000457022,0.810529,8.35853e-07,4.66654e-23
0.0383631,0.00193338,0.00316292,0.000467606,0.812466,8.15222e-07,6.99981e-23
0.0392863,0.00188295,0.00315939,0.000478192,0.814403,7.84542e-07,7.63168e-23
0.0412654,0.00179425,0.00315194,0.000500541,0.81818,7.34628e-07,8.33077e-23
0.0432445,0.00170555,0.00314449,0.000522891,0.821957,6.76479e-07,8.06641e-23
0.0453658,0.0016271,0.0031366,0.000546462,0.825651,6.18934e-07,-1.69434e-23
0.0608271,0.00120094,0.00308011,0.000713195,0.848963,1.84844e-07,0
0.0614802,0.00118699,0.00307775,0.000720062,0.849839,1.67738e-07,0
0.0621332,0.00117304,0.00307539,0.00072693,0.850715,1.50633e-07,0
0.0649332,0.00112281,0.00306536,0.000755776,0.854173,8.38596e-08,0
0.0663332,0.00109769,0.00306034,0.000770199,0.855902,5.0473e-08,0
0.0677332,0.00107258,0.00305532,0.000784618,0.857631,1.88483e-08,0
0.0707343,0.00102723,0.00304465,0.000814861,0.861049,-4.30968e-08,0
0.0737355,0.000981886,0.00303397,0.000845098,0.864467,-1.01892e-07,0
0.0769523,0.000940821,0.0030226,0.000876758,0.86785,-1.56071e-07,0
0.0801692,0.000899759,0.00301123,0.000908412,0.871233,-2.06186e-07,0
0.0836172,0.000862472,0.00299913,0.000941506,0.874587,-2.49963e-07,0
0.0870652,0.000825185,0.00298702,0.000974595,0.87794,-2.89583e-07,0
0.090761,0.000791242,0.00297413,0.00100913,0.881269,-3.2126e-07,1.26216e-22
0.0944567,0.000757299,0.00296124,0.00104366,0.884598,-3.49702e-07,2.11188e-22
0.0984181,0.000726328,0.00294752,0.00107964,0.887906,-3.69678e-07,8.76077e-23
0.102379,0.000695356,0.0029338,0.00111562,0.891215,-3.88181e-07,4.41022e-24
0.106625,0.000667036,0.00291919,0.00115303,0.894506,-3.98782e-07,-3.49541e-25
0.110871,0.000638715,0.00290459,0.00119044,0.897797,-4.0998e-07,-1.12056e-23
0.115423,0.000612765,0.00288904,0.00122926,0.901075,-4.15006e-07,-6.45341e-24
0.119974,0.000586815,0.00287349,0.00126808,0.904352,-4.22757e-07,4.23215e-24
0.124852,0.000562993,0.00285694,0.00130828,0.907619,-4.26566e-07,-1.17407e-22
0.12973,0.000539171,0.00284039,0.00134848,0.910886,-4.34984e-07,-1.9164e-22
0.134959,0.000517264,0.00282278,0.00139,0.914145,-4.39803e-07,-7.26288e-23
0.140188,0.000495357,0.00280516,0.00143153,0.917404,-4.51062e-07,0
0.145792,0.000475179,0.00278641,0.0014743,0.920658,-4.57981e-07,0
0.151397,0.000455001,0.00276766,0.00151707,0.923911,-4.72899e-07,0
0.157404,0.000436384,0.0027477,0.00156099,0.927161,-4.82859e-07,0
0.163411,0.000417767,0.00272774,0.00160492,0.930412,-5.01587e-07,0
0.16985,0.000400567,0.0027065,0.00164988,0.93366,-5.13762e-07,0
0.176289,0.000383366,0.00268526,0.00169485,0.936909,-5.3467e-07,0
0.18319,0.000367454,0.00266265,0.00174069,0.940158,-5.4864e-07,0
0.190092,0.000351541,0.00264004,0.00178654,0.943407,-5.69909e-07,0
0.197489,0.000336801,0.00261599,0.00183307,0.946657,-5.83455e-07,0
0.204887,0.000322062,0.00259193,0.0018796,0.949908,-6.0289e-07,0
0.212816,0.000308388,0.00256633,0.00192663,0.953161,-6.13735e-07,0
0.220745,0.000294715,0.00254073,0.00197364,0.956413,-6.29436e-07,0
0.229244,0.000282012,0.0025135,0.00202092,0.95967,-6.34789e-07,0
0.237743,0.00026931,0.00248627,0.0020682,0.962926,-6.44751e-07,0
0.246853,0.000257496,0.00245731,0.00211545,0.966185,-6.42524e-07,0
0.255962,0.000245682,0.00242835,0.0021627,0.969445,-6.46053e-07,0
0.265727,0.00023468,0.00239757,0.00220963,0.972707,-6.37123e-07,0
0.275491,0.000223676,0.0023668,0.00225657,0.97597,-6.3263e-07,0
0.285957,0.00021342,0.0023341,0.00230281,0.979234,-6.21337e-07,0
0.296423,0.000203162,0.00230141,0.00234907,0.982499,-6.13869e-07,0
