# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	3.344244e-06
2             	-1.481008e-05
3             	-3.881478e-06
4             	-1.929125e-06
5             	4.687648e-07
6             	2.263098e-06
7             	3.588732e-06
8             	4.156086e-06
9             	3.890742e-06
10            	4.192489e-06
11            	5.106008e-06
12            	5.103034e-06
13            	4.785958e-06
14            	5.368713e-06
15            	5.812521e-06
16            	5.590688e-06
17            	5.654421e-06
18            	6.187518e-06
19            	6.304744e-06
20            	6.177884e-06
21            	6.477078e-06
22            	6.815754e-06
23            	6.802658e-06
24            	6.869069e-06
25            	7.197640e-06
26            	7.372449e-06
27            	7.387629e-06
28            	7.577905e-06
29            	7.836750e-06
30            	7.934738e-06
31            	8.030015e-06
32            	8.257242e-06
33            	8.443462e-06
34            	8.538108e-06
35            	8.696900e-06
36            	8.908593e-06
37            	9.050580e-06
38            	9.170347e-06
39            	9.353345e-06
40            	9.534269e-06
41            	9.667349e-06
42            	9.819399e-06
43            	1.000536e-05
44            	1.016692e-05
45            	1.031131e-05
46            	1.048292e-05
47            	1.066112e-05
48            	1.081821e-05
49            	1.097807e-05
50            	1.115650e-05
51            	1.132867e-05
52            	1.149061e-05
53            	1.166317e-05
54            	1.184260e-05
55            	1.201367e-05
56            	1.218441e-05
57            	1.236443e-05
58            	1.254438e-05
59            	1.271952e-05
60            	1.289908e-05
61            	1.308365e-05
62            	1.326641e-05
63            	1.344861e-05
64            	1.363559e-05
65            	1.382445e-05
66            	1.401240e-05
67            	1.420243e-05
68            	1.439608e-05
69            	1.459045e-05
70            	1.478539e-05
71            	1.498339e-05
72            	1.518393e-05
73            	1.538528e-05
74            	1.558875e-05
75            	1.579522e-05
76            	1.600369e-05
77            	1.621385e-05
78            	1.642675e-05
79            	1.664260e-05
80            	1.686057e-05
81            	1.708096e-05
82            	1.730457e-05
