y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,0.409232,0.00559501,8.68158e-06,0.434334,-1.44263e-07,0
0.000496573,0.386721,0.00564572,1.00479e-05,0.506724,-1.7244e-07,0
0.000567512,0.364211,0.00569643,1.14142e-05,0.579113,-2.00616e-07,0
0.000851268,0.253514,0.00609295,2.07418e-05,0.604522,-2.4505e-07,0
0.00113502,0.14281,0.00648952,3.007e-05,0.629929,-2.9455e-07,0
0.00143917,0.114357,0.00685228,4.3774e-05,0.641159,-3.33907e-07,0
0.00174332,0.085903,0.00721509,5.74787e-05,0.652389,-3.80866e-07,0
0.00204747,0.0741069,0.00753345,7.45195e-05,0.658882,-4.08836e-07,-4.3953e-24
0.00235161,0.0623104,0.00785185,9.15611e-05,0.665375,-4.38585e-07,-4.3953e-24
0.00267761,0.0559294,0.00813417,0.000111171,0.669811,-4.58794e-07,-1.27064e-23
0.00300362,0.0495483,0.00841653,0.000130782,0.674246,-4.76625e-07,-2.00262e-23
0.00324812,0.0465714,0.00860714,0.000147046,0.676739,-4.89432e-07,-1.16836e-23
0.00349262,0.0435944,0.00879778,0.000163309,0.679233,-4.98094e-07,-7.29168e-24
0.00417977,0.0375258,0.00927391,0.000209346,0.684889,-5.20158e-07,8.81907e-24
0.00426713,0.0368451,0.00933208,0.000215211,0.685555,-5.21979e-07,1.0649e-23
0.00435448,0.0361645,0.00939026,0.000221077,0.68622,-5.23801e-07,1.2479e-23
0.00470391,0.0341815,0.00960593,0.0002461,0.688447,-5.34523e-07,7.06767e-24
0.00505334,0.0321986,0.00982161,0.000271122,0.690674,-5.39191e-07,1.21179e-24
0.00542788,0.0306829,0.0100237,0.000297565,0.692602,-5.48219e-07,0
0.00580242,0.0291671,0.0102258,0.000324006,0.69453,-5.50558e-07,0
0.00617696,0.0279701,0.0104166,0.000351751,0.696241,-5.58169e-07,0
0.0065515,0.0267731,0.0106075,0.000379491,0.697953,-5.58526e-07,0
0.00695296,0.0258003,0.010789,0.000408461,0.699505,-5.64708e-07,0
0.00735441,0.0248275,0.0109704,0.000437426,0.701057,-5.63079e-07,0
0.00775586,0.0240207,0.0111439,0.000467551,0.702488,-5.67985e-07,0
0.00815732,0.0232138,0.0113174,0.000497671,0.703919,-5.64593e-07,0
0.00858762,0.0225317,0.011484,0.000528903,0.705257,-5.68289e-07,0
0.00901792,0.0218496,0.0116506,0.000560129,0.706596,-5.6323e-07,0
0.0119706,0.0185735,0.0126556,0.000777613,0.714454,-5.49817e-07,0
0.0123414,0.0182766,0.0127651,0.000804077,0.715305,-5.42103e-07,0
0.0127122,0.0179798,0.0128745,0.000830541,0.716157,-5.3439e-07,0
0.0132065,0.0176258,0.0130164,0.000866783,0.717266,-5.33341e-07,0
0.0137009,0.0172719,0.0131583,0.00090302,0.718376,-5.21756e-07,0
0.0142308,0.0169528,0.0132965,0.000940201,0.719468,-5.19578e-07,0
0.0147607,0.0166337,0.0134347,0.000977376,0.720559,-5.06559e-07,0
0.0152906,0.0163442,0.0135695,0.00101548,0.721638,-5.03013e-07,0
0.0158205,0.0160547,0.0137042,0.00105357,0.722716,-4.88371e-07,0
0.0163884,0.0157903,0.0138358,0.00109259,0.723787,-4.83268e-07,0
0.0169564,0.0155259,0.0139673,0.0011316,0.724858,-4.66874e-07,0
0.0175244,0.0152832,0.0140957,0.00117151,0.725924,-4.6004e-07,0
0.0180924,0.0150404,0.0142241,0.00121142,0.726991,-4.41775e-07,0
0.0187011,0.0148163,0.0143496,0.00125222,0.728057,-4.33105e-07,0
0.0193099,0.0145921,0.0144751,0.00129302,0.729123,-4.12979e-07,0
