# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	4.363590e-06
2             	-1.325728e-05
3             	-2.116530e-06
4             	4.269744e-07
5             	1.947463e-06
6             	2.204249e-06
7             	3.279881e-06
8             	4.269347e-06
9             	4.203557e-06
10            	4.204844e-06
11            	5.144770e-06
12            	5.628300e-06
13            	5.537945e-06
14            	5.926216e-06
15            	6.693803e-06
16            	7.005384e-06
17            	7.169866e-06
18            	7.763318e-06
19            	8.390189e-06
20            	8.750323e-06
21            	9.181076e-06
22            	9.849631e-06
23            	1.047670e-05
24            	1.103308e-05
25            	1.178918e-05
26            	1.273894e-05
27            	1.373136e-05
28            	1.485181e-05
29            	1.625807e-05
30            	1.790177e-05
31            	1.969692e-05
32            	2.170710e-05
33            	2.398007e-05
34            	2.643182e-05
35            	2.901442e-05
36            	3.174266e-05
37            	3.459122e-05
38            	3.750846e-05
39            	4.048046e-05
40            	4.352448e-05
41            	4.662089e-05
42            	4.974134e-05
43            	5.288829e-05
44            	5.606828e-05
45            	5.925477e-05
46            	6.243680e-05
47            	6.564047e-05
48            	6.886709e-05
49            	7.209218e-05
50            	7.531302e-05
51            	7.854145e-05
52            	8.177307e-05
53            	8.499592e-05
54            	8.821022e-05
55            	9.142137e-05
56            	9.462493e-05
57            	9.781581e-05
58            	1.009935e-04
59            	1.041585e-04
60            	1.073092e-04
61            	1.104434e-04
62            	1.135592e-04
63            	1.166556e-04
64            	1.197340e-04
65            	1.227920e-04
66            	1.258276e-04
67            	1.288412e-04
68            	1.318329e-04
69            	1.348005e-04
70            	1.377426e-04
71            	1.406598e-04
72            	1.435518e-04
73            	1.464177e-04
74            	1.492570e-04
75            	1.520691e-04
76            	1.548539e-04
77            	1.576112e-04
78            	1.603403e-04
79            	1.630401e-04
80            	1.657110e-04
81            	1.683520e-04
82            	1.709635e-04
83            	1.735458e-04
84            	1.760979e-04
85            	1.786199e-04
86            	1.811116e-04
87            	1.835724e-04
88            	1.860024e-04
89            	1.884016e-04
90            	1.907698e-04
91            	1.931066e-04
92            	1.954122e-04
93            	1.976866e-04
