y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.105878,0.0031988,6.88526e-06,0.253085,-4.7415e-08,0
0.000851268,0.0965071,0.00322514,9.91456e-06,0.379627,-7.11225e-08,0
0.00113502,0.0871368,0.00325148,1.29438e-05,0.506168,-1.05553e-07,0
0.00174332,0.0629625,0.00328593,1.94248e-05,0.538118,-1.29053e-07,-3.77989e-22
0.00235161,0.0387885,0.00332038,2.59056e-05,0.570069,-1.65013e-07,-6.03612e-22
0.00267761,0.0349105,0.00330563,2.94559e-05,0.579515,-1.76505e-07,-4.59644e-22
0.00300362,0.0310325,0.00329087,3.30061e-05,0.588962,-1.87997e-07,-3.15676e-22
0.00332962,0.0271544,0.00327612,3.65563e-05,0.598409,-1.99489e-07,-1.71708e-22
0.00470391,0.0179186,0.00323337,5.18044e-05,0.628395,-2.32178e-07,4.2318e-22
0.00916136,0.00848741,0.00317013,0.000102028,0.684364,-1.38863e-07,0
0.0147607,0.00508828,0.00313097,0.000164565,0.723657,2.85241e-07,0
0.0152906,0.00489616,0.00312793,0.000170426,0.726598,3.36445e-07,0
0.0158205,0.00470403,0.00312489,0.000176285,0.729539,3.80457e-07,0
0.0161045,0.00462698,0.0031234,0.000179398,0.730909,4.0968e-07,0
0.0163884,0.00454993,0.0031219,0.000182512,0.73228,4.38902e-07,0
0.0175244,0.00424173,0.00311594,0.000194965,0.737762,5.55793e-07,0
0.0218326,0.00337381,0.00309487,0.000241638,0.755713,9.93744e-07,0
0.0224851,0.00326901,0.00309183,0.000248646,0.758159,1.06228e-06,0
0.0231376,0.00316422,0.00308878,0.000255651,0.760605,1.12266e-06,0
0.0245365,0.00298763,0.00308251,0.000270502,0.765276,1.26442e-06,-9.42037e-22
0.0259353,0.00281104,0.00307624,0.000285349,0.769947,1.39693e-06,-1.57268e-21
0.0274347,0.00266055,0.00306975,0.00030107,0.774431,1.53899e-06,-6.67825e-22
0.0289341,0.00251006,0.00306325,0.000316788,0.778915,1.6702e-06,-6.20661e-23
0.0293359,0.00247769,0.00306156,0.000320945,0.779997,1.70453e-06,1.73465e-22
0.0297376,0.00244531,0.00305987,0.000325102,0.781078,1.73886e-06,4.08995e-22
0.0305412,0.00238057,0.00305649,0.000333417,0.783241,1.80752e-06,8.80057e-22
0.0308626,0.00235467,0.00305513,0.000336743,0.784106,1.83498e-06,1.06848e-21
0.0311841,0.00232877,0.00305378,0.000340068,0.784971,1.86245e-06,1.25691e-21
0.0374399,0.00192814,0.00302813,0.000403749,0.800021,2.28158e-06,-1.075e-21
0.0383631,0.00187904,0.00302442,0.000413028,0.802058,2.33703e-06,-1.6125e-21
0.0392863,0.00182993,0.00302071,0.000422306,0.804095,2.37476e-06,-1.88469e-21
0.0412654,0.00174354,0.0030129,0.000441885,0.808068,2.46384e-06,-1.60824e-21
0.0432445,0.00165716,0.0030051,0.000461464,0.812042,2.53296e-06,-1.20572e-21
0.0453658,0.00158075,0.00299687,0.000482101,0.815928,2.59527e-06,6.16002e-22
0.0608271,0.0011656,0.00293849,0.000627929,0.840465,2.60924e-06,0
0.0614802,0.00115201,0.00293608,0.000633932,0.841387,2.59197e-06,0
0.0621332,0.00113842,0.00293366,0.000639934,0.842309,2.5747e-06,0
0.0649332,0.0010895,0.00292343,0.000665127,0.845951,2.51705e-06,0
0.0663332,0.00106504,0.00291831,0.000677724,0.847771,2.48823e-06,0
0.0677332,0.00104058,0.0029132,0.000690319,0.849592,2.44462e-06,0
0.0707343,0.000996427,0.00290236,0.000716715,0.853192,2.36792e-06,0
0.0737355,0.000952275,0.00289153,0.000743107,0.856791,2.28227e-06,0
0.0769523,0.000912303,0.00288005,0.00077072,0.860355,2.19706e-06,0
0.0801692,0.000872334,0.00286857,0.000798329,0.863919,2.10987e-06,0
0.0836172,0.000836052,0.0028564,0.000827168,0.867453,2.02871e-06,0
0.0870652,0.000799771,0.00284423,0.000856001,0.870987,1.95297e-06,0
0.090761,0.000766754,0.00283132,0.00088607,0.874495,1.88896e-06,-2.24296e-21
0.0944567,0.000733738,0.00281841,0.00091613,0.878003,1.83738e-06,-3.93287e-21
0.0984181,0.000703624,0.00280471,0.000947422,0.881491,1.80232e-06,-1.74061e-21
0.102379,0.00067351,0.00279101,0.000978706,0.884978,1.78537e-06,-8.88785e-23
0.106625,0.000645984,0.00277648,0.00101121,0.888448,1.7878e-06,7.5765e-23
0.110871,0.000618457,0.00276195,0.0010437,0.891919,1.81192e-06,3.73281e-22
0.115423,0.000593246,0.00274653,0.0010774,0.895375,1.85539e-06,2.10283e-22
0.119974,0.000568033,0.00273111,0.00111108,0.898832,1.9216e-06,-8.1904e-23
0.124852,0.000544899,0.00271477,0.00114594,0.902277,2.00363e-06,1.9996e-21
0.12973,0.000521763,0.00269842,0.00118079,0.905723,2.10686e-06,3.39425e-21
0.134959,0.000500497,0.00268108,0.00121676,0.90916,2.21879e-06,1.3618e-21
0.140188,0.000479229,0.00266375,0.00125273,0.912598,2.34822e-06,0
0.145792,0.000459649,0.00264538,0.00128978,0.916029,2.47622e-06,0
0.151397,0.000440068,0.00262702,0.00132682,0.919461,2.6166e-06,0
0.157404,0.000422013,0.00260757,0.00136486,0.922888,2.74367e-06,0
0.163411,0.000403957,0.00258812,0.0014029,0.926316,2.87756e-06,0
0.16985,0.000387285,0.00256752,0.00144185,0.929742,2.9862e-06,0
0.176289,0.000370613,0.00254693,0.00148081,0.933167,3.09664e-06,0
0.18319,0.000355198,0.00252512,0.00152055,0.936592,3.17167e-06,0
0.190092,0.000339783,0.00250332,0.00156031,0.940017,3.24478e-06,0
0.197489,0.000325512,0.00248024,0.00160071,0.943442,3.2757e-06,0
0.204887,0.000311242,0.00245716,0.00164113,0.946868,3.3027e-06,0
0.212816,0.000298017,0.00243273,0.00168201,0.950295,3.28511e-06,0
0.220745,0.000284792,0.00240831,0.00172292,0.953722,3.26331e-06,0
0.229244,0.000272521,0.00238244,0.00176408,0.957151,3.1991e-06,0
0.237743,0.000260251,0.00235659,0.00180526,0.96058,3.13198e-06,0
