# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	3.463371e-06
2             	-1.431131e-05
3             	-3.274395e-06
4             	-1.501906e-06
5             	3.715014e-07
6             	1.620585e-06
7             	2.529951e-06
8             	3.200056e-06
9             	3.136341e-06
10            	3.027537e-06
11            	3.535570e-06
12            	3.767477e-06
13            	3.579870e-06
14            	3.634084e-06
15            	3.945334e-06
16            	3.992153e-06
17            	3.898703e-06
18            	4.023149e-06
19            	4.191584e-06
20            	4.194458e-06
21            	4.199093e-06
22            	4.323436e-06
23            	4.416992e-06
24            	4.428617e-06
25            	4.481873e-06
26            	4.580721e-06
27            	4.638250e-06
28            	4.671697e-06
29            	4.736821e-06
30            	4.814898e-06
31            	4.863739e-06
32            	4.913000e-06
33            	4.980502e-06
34            	5.044369e-06
35            	5.095028e-06
36            	5.150699e-06
37            	5.214924e-06
38            	5.273092e-06
39            	5.326880e-06
40            	5.385698e-06
41            	5.447047e-06
42            	5.504701e-06
43            	5.562376e-06
44            	5.623445e-06
45            	5.685016e-06
46            	5.743774e-06
47            	5.806031e-06
48            	5.871333e-06
49            	5.936991e-06
50            	6.002431e-06
51            	6.069511e-06
52            	6.138436e-06
53            	6.207707e-06
54            	6.277360e-06
55            	6.348776e-06
56            	6.421904e-06
57            	6.495655e-06
58            	6.570992e-06
59            	6.648046e-06
60            	6.726655e-06
61            	6.807091e-06
62            	6.889397e-06
63            	6.973984e-06
64            	7.060776e-06
65            	7.150287e-06
66            	7.242814e-06
67            	7.338583e-06
68            	7.437998e-06
69            	7.541550e-06
70            	7.649664e-06
71            	7.763080e-06
72            	7.882338e-06
73            	8.008283e-06
74            	8.141544e-06
75            	8.283327e-06
76            	8.434488e-06
77            	8.596102e-06
78            	8.769495e-06
79            	8.956057e-06
80            	9.156851e-06
81            	9.373650e-06
82            	9.607498e-06
83            	9.859622e-06
84            	1.013137e-05
85            	1.042366e-05
86            	1.073711e-05
87            	1.107241e-05
88            	1.142978e-05
89            	1.180927e-05
90            	1.221040e-05
91            	1.263256e-05
92            	1.307510e-05
93            	1.353705e-05
94            	1.401737e-05
95            	1.451501e-05
96            	1.502877e-05
97            	1.555750e-05
98            	1.610011e-05
99            	1.665560e-05
100           	1.722289e-05
101           	1.780119e-05
102           	1.839317e-05
103           	1.899658e-05
104           	1.960526e-05
105           	2.022680e-05
106           	2.085846e-05
107           	2.149457e-05
108           	2.213605e-05
109           	2.278553e-05
110           	2.344147e-05
111           	2.410180e-05
112           	2.476718e-05
113           	2.543818e-05
114           	2.611414e-05
115           	2.679409e-05
116           	2.747838e-05
117           	2.816722e-05
118           	2.885994e-05
119           	2.955645e-05
120           	3.025670e-05
121           	3.096072e-05
122           	3.166809e-05
123           	3.237883e-05
124           	3.309290e-05
125           	3.381019e-05
126           	3.453061e-05
127           	3.525410e-05
128           	3.598057e-05
129           	3.671001e-05
130           	3.744225e-05
131           	3.817702e-05
132           	3.891225e-05
133           	3.964864e-05
134           	4.038835e-05
135           	4.113146e-05
136           	4.187662e-05
137           	4.262387e-05
138           	4.338325e-05
139           	4.414599e-05
140           	4.491071e-05
141           	4.567777e-05
142           	4.644776e-05
143           	4.722012e-05
144           	4.799443e-05
145           	4.877094e-05
146           	4.954972e-05
147           	5.033059e-05
148           	5.111346e-05
149           	5.189823e-05
150           	5.268499e-05
151           	5.347364e-05
152           	5.426411e-05
153           	5.505635e-05
154           	5.585034e-05
155           	5.664595e-05
156           	5.744329e-05
157           	5.824221e-05
158           	5.904261e-05
159           	5.984446e-05
160           	6.064782e-05
161           	6.145255e-05
162           	6.225859e-05
163           	6.306601e-05
164           	6.387471e-05
165           	6.468456e-05
166           	6.549554e-05
167           	6.630774e-05
168           	6.712091e-05
169           	6.793502e-05
170           	6.875026e-05
171           	6.956629e-05
172           	7.038330e-05
173           	7.120114e-05
174           	7.201965e-05
175           	7.283907e-05
176           	7.365916e-05
177           	7.447983e-05
178           	7.530128e-05
179           	7.612327e-05
180           	7.694567e-05
181           	7.776862e-05
182           	7.859198e-05
183           	7.941577e-05
184           	8.023994e-05
185           	8.106441e-05
186           	8.188909e-05
187           	8.271404e-05
188           	8.353916e-05
189           	8.436447e-05
190           	8.518985e-05
191           	8.601527e-05
192           	8.684067e-05
193           	8.766608e-05
194           	8.849145e-05
195           	8.931663e-05
196           	9.014170e-05
197           	9.096665e-05
198           	9.179134e-05
199           	9.261578e-05
200           	9.343986e-05
201           	9.426347e-05
202           	9.508676e-05
203           	9.590968e-05
204           	9.673208e-05
205           	9.755394e-05
206           	9.837530e-05
207           	9.919608e-05
208           	1.000162e-04
209           	1.008358e-04
210           	1.016547e-04
211           	1.024728e-04
212           	1.032903e-04
213           	1.041069e-04
214           	1.049227e-04
215           	1.057377e-04
216           	1.065518e-04
217           	1.073650e-04
218           	1.081772e-04
219           	1.089885e-04
220           	1.097987e-04
221           	1.106079e-04
222           	1.114161e-04
223           	1.122231e-04
224           	1.130290e-04
225           	1.138338e-04
226           	1.146373e-04
227           	1.154396e-04
228           	1.162407e-04
229           	1.170404e-04
230           	1.178389e-04
231           	1.186361e-04
232           	1.194318e-04
233           	1.202262e-04
234           	1.210192e-04
235           	1.218108e-04
236           	1.226008e-04
237           	1.233893e-04
238           	1.241763e-04
239           	1.249618e-04
240           	1.257457e-04
241           	1.265280e-04
242           	1.273087e-04
243           	1.280877e-04
244           	1.288651e-04
245           	1.296408e-04
246           	1.304148e-04
247           	1.311871e-04
248           	1.319576e-04
249           	1.327264e-04
250           	1.334901e-04
251           	1.342497e-04
252           	1.350106e-04
253           	1.357658e-04
254           	1.365170e-04
255           	1.372680e-04
256           	1.380183e-04
257           	1.387658e-04
258           	1.395108e-04
259           	1.402547e-04
260           	1.409969e-04
261           	1.417369e-04
262           	1.424749e-04
263           	1.432111e-04
264           	1.439456e-04
265           	1.446780e-04
266           	1.454084e-04
267           	1.461370e-04
268           	1.468636e-04
269           	1.475881e-04
270           	1.483107e-04
271           	1.490314e-04
272           	1.497500e-04
273           	1.504666e-04
274           	1.511811e-04
275           	1.518936e-04
276           	1.526040e-04
277           	1.533124e-04
278           	1.540186e-04
279           	1.547228e-04
280           	1.554250e-04
281           	1.561250e-04
