# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	9.019100e-03	17	true
2             	smoothSolver	8.743960e-02	8.089980e-03	7	1.000000e+00	4.142290e-02	2	false	GAMG	1.000000e+00	5.841630e-03	6	true
3             	smoothSolver	2.690020e-02	1.586820e-03	3	5.424730e-01	4.364280e-02	2	false	GAMG	1.814060e-01	1.069590e-03	8	true
4             	smoothSolver	1.827080e-02	1.405890e-03	5	4.533610e-01	2.498620e-02	3	false	GAMG	1.522800e-01	9.408030e-04	6	true
5             	smoothSolver	1.342020e-02	1.285800e-03	5	5.082550e-01	3.967720e-02	3	false	GAMG	1.489730e-01	1.103250e-03	5	true
6             	smoothSolver	1.057730e-02	8.983130e-04	6	5.475170e-01	5.112990e-02	3	false	GAMG	1.278500e-01	1.033440e-03	5	true
7             	smoothSolver	8.561930e-03	8.062130e-04	6	5.114240e-01	3.630340e-02	4	false	GAMG	1.248200e-01	1.081070e-03	6	true
8             	smoothSolver	7.156200e-03	5.616200e-04	7	4.394790e-01	3.992240e-02	4	false	GAMG	1.143440e-01	9.460210e-04	7	true
9             	smoothSolver	6.294920e-03	5.404730e-04	7	3.758150e-01	2.695080e-02	5	false	GAMG	1.080090e-01	1.073580e-03	6	true
10            	smoothSolver	5.668650e-03	5.330730e-04	7	3.395030e-01	2.657210e-02	5	false	GAMG	9.304400e-02	8.006240e-04	8	true
11            	smoothSolver	5.199680e-03	3.999300e-04	8	3.357480e-01	2.793240e-02	5	false	GAMG	9.166300e-02	8.181630e-04	10	true
12            	smoothSolver	4.804140e-03	3.991670e-04	8	3.228380e-01	2.466550e-02	6	false	GAMG	8.516080e-02	8.113620e-04	13	true
13            	smoothSolver	4.561140e-03	4.014010e-04	8	3.139440e-01	2.513860e-02	6	false	GAMG	8.630790e-02	8.536890e-04	11	true
14            	smoothSolver	4.354080e-03	4.060980e-04	8	2.937380e-01	2.629420e-02	6	false	GAMG	8.411440e-02	8.409740e-04	10	true
15            	smoothSolver	4.172770e-03	4.083610e-04	8	2.928480e-01	2.706550e-02	6	false	GAMG	9.157990e-02	9.046990e-04	18	true
16            	smoothSolver	4.028420e-03	3.167990e-04	9	2.611460e-01	2.580290e-02	6	false	GAMG	9.032040e-02	8.904370e-04	17	true
17            	smoothSolver	3.925540e-03	3.205710e-04	9	2.409340e-01	1.958660e-02	7	false	GAMG	8.057760e-02	8.023460e-04	17	true
18            	smoothSolver	3.821110e-03	3.230740e-04	9	2.238880e-01	1.900680e-02	7	false	GAMG	7.381320e-02	7.317310e-04	17	true
19            	smoothSolver	3.793900e-03	3.259500e-04	9	2.073440e-01	1.797860e-02	7	false	GAMG	7.101420e-02	6.600680e-04	17	true
20            	smoothSolver	3.786910e-03	3.289000e-04	9	2.003770e-01	1.723470e-02	7	false	GAMG	6.789410e-02	6.536150e-04	18	true
21            	smoothSolver	3.776420e-03	3.313720e-04	9	1.778980e-01	1.643580e-02	7	false	GAMG	6.191240e-02	6.140520e-04	19	true
22            	smoothSolver	3.757820e-03	3.331090e-04	9	1.733720e-01	1.572080e-02	7	false	GAMG	6.951960e-02	6.764150e-04	19	true
23            	smoothSolver	3.742220e-03	3.344750e-04	9	1.607020e-01	1.511550e-02	7	false	GAMG	6.653490e-02	6.427470e-04	23	true
24            	smoothSolver	3.724560e-03	3.353870e-04	9	1.608390e-01	1.479890e-02	7	false	GAMG	6.786140e-02	6.748380e-04	19	true
25            	smoothSolver	3.711370e-03	3.367040e-04	9	1.456980e-01	1.373370e-02	7	false	GAMG	7.085590e-02	6.946640e-04	17	true
26            	smoothSolver	3.688100e-03	3.371840e-04	9	1.435440e-01	1.365870e-02	7	false	GAMG	6.776430e-02	6.506670e-04	18	true
27            	smoothSolver	3.658890e-03	3.366370e-04	9	1.392030e-01	1.309340e-02	7	false	GAMG	7.478480e-02	7.298920e-04	12	true
28            	smoothSolver	3.643420e-03	3.369570e-04	9	1.345210e-01	1.232200e-02	7	false	GAMG	7.708460e-02	7.322080e-04	14	true
29            	smoothSolver	3.619690e-03	3.369410e-04	9	1.300570e-01	1.215290e-02	7	false	GAMG	7.928190e-02	7.400160e-04	17	true
30            	smoothSolver	3.600250e-03	3.370610e-04	9	1.174590e-01	1.161910e-02	7	false	GAMG	8.109200e-02	7.872430e-04	15	true
31            	smoothSolver	3.576790e-03	3.367570e-04	9	1.169160e-01	1.161330e-02	7	false	GAMG	7.583030e-02	7.401280e-04	14	true
32            	smoothSolver	3.558890e-03	3.368820e-04	9	1.165180e-01	1.135700e-02	7	false	GAMG	8.252810e-02	8.200180e-04	13	true
33            	smoothSolver	3.537030e-03	3.366660e-04	9	1.043400e-01	1.031120e-02	7	false	GAMG	7.525420e-02	6.973600e-04	12	true
34            	smoothSolver	3.512290e-03	3.359020e-04	9	1.027580e-01	1.018750e-02	7	false	GAMG	8.738860e-02	7.780210e-04	10	true
35            	smoothSolver	3.489250e-03	3.351500e-04	9	1.007060e-01	9.690280e-03	7	false	GAMG	8.550910e-02	8.318360e-04	12	true
36            	smoothSolver	3.467020e-03	3.345090e-04	9	1.001370e-01	9.576170e-03	7	false	GAMG	9.273710e-02	9.201340e-04	16	true
37            	smoothSolver	3.445640e-03	3.339470e-04	9	9.640320e-02	9.536780e-03	7	false	GAMG	9.950550e-02	9.705970e-04	20	true
38            	smoothSolver	3.422110e-03	3.329220e-04	9	9.310480e-02	7.265030e-03	8	false	GAMG	8.823300e-02	8.445180e-04	22	true
39            	smoothSolver	3.399310e-03	3.319650e-04	9	9.295740e-02	7.610150e-03	8	false	GAMG	7.849560e-02	7.650850e-04	22	true
40            	smoothSolver	3.377250e-03	3.311110e-04	9	8.360950e-02	7.552510e-03	8	false	GAMG	6.024540e-02	5.988760e-04	24	true
41            	smoothSolver	3.355170e-03	3.301600e-04	9	8.849580e-02	7.488260e-03	8	false	GAMG	6.086630e-02	6.056780e-04	18	true
42            	smoothSolver	3.332900e-03	3.292150e-04	9	8.719470e-02	7.454160e-03	8	false	GAMG	5.813850e-02	5.451110e-04	24	true
43            	smoothSolver	3.312310e-03	3.283860e-04	9	7.772710e-02	7.066870e-03	8	false	GAMG	4.434690e-02	4.024880e-04	24	true
44            	smoothSolver	3.291510e-03	3.275330e-04	9	7.514000e-02	6.812670e-03	8	false	GAMG	4.243990e-02	4.117480e-04	20	true
45            	smoothSolver	3.270580e-03	3.266180e-04	9	7.366460e-02	6.638310e-03	8	false	GAMG	3.752930e-02	3.466070e-04	22	true
46            	smoothSolver	3.249440e-03	2.584900e-04	10	6.983800e-02	6.434590e-03	8	false	GAMG	3.398590e-02	3.360650e-04	22	true
47            	smoothSolver	3.228890e-03	2.579810e-04	10	6.889710e-02	6.328420e-03	8	false	GAMG	3.114740e-02	2.762970e-04	24	true
48            	smoothSolver	3.208840e-03	2.573730e-04	10	6.784970e-02	5.917250e-03	8	false	GAMG	2.822410e-02	2.730070e-04	22	true
49            	smoothSolver	3.188480e-03	2.567140e-04	10	6.149840e-02	5.704520e-03	8	false	GAMG	2.737050e-02	2.639290e-04	22	true
50            	smoothSolver	3.168220e-03	2.560280e-04	10	5.803270e-02	5.573420e-03	8	false	GAMG	2.461560e-02	2.327350e-04	24	true
51            	smoothSolver	3.148490e-03	2.553420e-04	10	5.420210e-02	5.332390e-03	8	false	GAMG	2.315120e-02	2.082310e-04	24	true
52            	smoothSolver	3.128890e-03	2.546790e-04	10	5.374830e-02	5.308960e-03	8	false	GAMG	2.144800e-02	2.011240e-04	26	true
53            	smoothSolver	3.109680e-03	2.540550e-04	10	5.186570e-02	5.103630e-03	8	false	GAMG	2.013620e-02	1.900310e-04	28	true
54            	smoothSolver	3.089560e-03	2.533000e-04	10	4.891910e-02	3.874560e-03	9	false	GAMG	1.878290e-02	1.847560e-04	26	true
55            	smoothSolver	3.069890e-03	2.525610e-04	10	4.742890e-02	3.770440e-03	9	false	GAMG	1.842630e-02	1.823740e-04	32	true
56            	smoothSolver	3.051260e-03	2.519430e-04	10	4.519780e-02	3.750130e-03	9	false	GAMG	1.755400e-02	1.750430e-04	32	true
57            	smoothSolver	3.032110e-03	2.512740e-04	10	4.687450e-02	3.751640e-03	9	false	GAMG	1.707040e-02	1.706400e-04	32	true
58            	smoothSolver	3.013250e-03	2.505960e-04	10	4.433890e-02	3.583730e-03	9	false	GAMG	1.462860e-02	1.461710e-04	39	true
