y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,0.190891,0.0031752,4.76019e-06,0.340726,-6.28213e-07,0
0.000496573,0.181679,0.00318443,5.49861e-06,0.397518,-7.42352e-07,0
0.000567512,0.172466,0.00319365,6.23704e-06,0.45431,-8.56491e-07,0
0.000851268,0.125122,0.00322186,9.29215e-06,0.485062,-1.25895e-06,0
0.00113502,0.0777614,0.00325016,1.23485e-05,0.515815,-1.69506e-06,0
0.00143917,0.0627737,0.00323462,1.56559e-05,0.533856,-2.11614e-06,0
0.00174332,0.0477803,0.00321915,1.89653e-05,0.551898,-2.58563e-06,0
0.00204747,0.0408495,0.00320815,2.24772e-05,0.56469,-3.04568e-06,-4.20084e-23
0.00235161,0.0339158,0.00319719,2.59918e-05,0.577481,-3.54921e-06,-4.20084e-23
0.00267761,0.0299579,0.00319018,2.96788e-05,0.587463,-4.01485e-06,-6.13857e-23
0.00300362,0.0259982,0.00318321,3.33692e-05,0.597444,-4.51762e-06,-3.29622e-23
0.00324812,0.024096,0.00317945,3.6248e-05,0.603601,-4.85611e-06,1.7835e-23
0.00349262,0.0221925,0.00317573,3.91307e-05,0.609758,-5.22325e-06,-4.6731e-25
0.00417977,0.0182752,0.00316761,4.70377e-05,0.624379,-6.15195e-06,6.68542e-24
0.00426713,0.0178337,0.00316667,4.8036e-05,0.626132,-6.26914e-06,-4.20461e-25
0.00435448,0.0173922,0.00316573,4.90343e-05,0.627884,-6.38633e-06,-7.52635e-24
0.00470391,0.0160982,0.00316267,5.31662e-05,0.634024,-6.81901e-06,-1.02144e-23
0.00505334,0.0148036,0.00315964,5.73032e-05,0.640161,-7.26205e-06,1.41888e-23
0.00542788,0.0138136,0.00315704,6.15802e-05,0.645644,-7.67411e-06,0
0.00580242,0.0128234,0.00315446,6.58626e-05,0.651126,-8.08885e-06,0
0.00617696,0.0120435,0.00315215,7.0284e-05,0.656094,-8.47693e-06,0
0.0065515,0.0112635,0.00314986,7.4711e-05,0.66106,-8.86129e-06,0
0.00695296,0.0106331,0.00314775,7.92798e-05,0.665617,-9.22334e-06,0
0.00735441,0.0100026,0.00314565,8.38543e-05,0.670172,-9.57676e-06,0
0.00775586,0.0094834,0.00314367,8.85717e-05,0.674391,-9.9113e-06,0
0.00815732,0.00896414,0.0031417,9.3295e-05,0.678607,-1.02335e-05,0
0.00858762,0.008529,0.0031398,9.81646e-05,0.682546,-1.05399e-05,0
0.00901792,0.00809386,0.00313791,0.00010304,0.686482,-1.08316e-05,0
0.0119706,0.00604829,0.00312602,0.00013691,0.709106,-1.2385e-05,0
0.0123414,0.0058673,0.00312466,0.000141047,0.711483,-1.25199e-05,0
0.0127122,0.00568631,0.0031233,0.000145183,0.71386,-1.26547e-05,0
0.0132065,0.00547338,0.00312144,0.000150861,0.716896,-1.28203e-05,0
0.0137009,0.00526047,0.0031196,0.000156546,0.719931,-1.29746e-05,0
0.0142308,0.00507124,0.00311772,0.000162397,0.722849,-1.31128e-05,0
