# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	5.704985e-05
2             	-1.801563e-04
3             	-2.243696e-06
4             	4.678366e-05
5             	7.672809e-05
6             	8.921983e-05
7             	9.512447e-05
8             	1.064187e-04
9             	1.188565e-04
10            	1.271949e-04
11            	1.348518e-04
12            	1.443498e-04
13            	1.544332e-04
14            	1.638618e-04
15            	1.734193e-04
16            	1.831582e-04
17            	1.933085e-04
18            	2.035970e-04
19            	2.141562e-04
20            	2.251470e-04
21            	2.365010e-04
22            	2.481242e-04
23            	2.602286e-04
24            	2.726721e-04
25            	2.856257e-04
26            	2.989282e-04
27            	3.127596e-04
28            	3.271207e-04
29            	3.419433e-04
30            	3.573270e-04
31            	3.732639e-04
32            	3.897941e-04
33            	4.068886e-04
34            	4.246144e-04
35            	4.429484e-04
36            	4.619285e-04
37            	4.815134e-04
38            	5.017168e-04
39            	5.227086e-04
40            	5.444238e-04
41            	5.667806e-04
42            	5.897119e-04
43            	6.131793e-04
44            	6.371464e-04
45            	6.615887e-04
46            	6.864712e-04
47            	7.117501e-04
48            	7.373818e-04
49            	7.633179e-04
50            	7.895131e-04
51            	8.159383e-04
52            	8.425454e-04
53            	8.692761e-04
54            	8.961023e-04
55            	9.229816e-04
56            	9.498793e-04
57            	9.767521e-04
58            	1.003582e-03
59            	1.030319e-03
60            	1.056941e-03
61            	1.083419e-03
62            	1.109727e-03
63            	1.135844e-03
64            	1.161746e-03
65            	1.187414e-03
66            	1.212827e-03
67            	1.237971e-03
68            	1.262831e-03
69            	1.287389e-03
70            	1.311638e-03
71            	1.335565e-03
72            	1.359161e-03
73            	1.382412e-03
74            	1.405321e-03
75            	1.427875e-03
76            	1.450071e-03
77            	1.471897e-03
78            	1.493354e-03
79            	1.514441e-03
80            	1.535152e-03
81            	1.555491e-03
82            	1.575442e-03
83            	1.595017e-03
84            	1.614218e-03
85            	1.633035e-03
86            	1.651465e-03
87            	1.669521e-03
88            	1.687194e-03
89            	1.704491e-03
90            	1.721410e-03
91            	1.737948e-03
92            	1.754116e-03
93            	1.769914e-03
94            	1.785338e-03
95            	1.800394e-03
96            	1.815072e-03
97            	1.829395e-03
98            	1.843339e-03
99            	1.856927e-03
100           	1.870142e-03
101           	1.882997e-03
102           	1.895494e-03
103           	1.907646e-03
104           	1.919435e-03
105           	1.930877e-03
106           	1.941971e-03
107           	1.952718e-03
108           	1.963127e-03
109           	1.973199e-03
110           	1.982944e-03
111           	1.992359e-03
112           	2.001456e-03
113           	2.010228e-03
114           	2.018684e-03
115           	2.026828e-03
116           	2.034665e-03
117           	2.042197e-03
118           	2.049427e-03
119           	2.056361e-03
120           	2.062999e-03
121           	2.069355e-03
122           	2.075432e-03
123           	2.081224e-03
124           	2.086744e-03
125           	2.091995e-03
126           	2.096983e-03
127           	2.101706e-03
128           	2.106177e-03
129           	2.110392e-03
130           	2.114358e-03
131           	2.118085e-03
132           	2.121572e-03
133           	2.124828e-03
134           	2.127859e-03
135           	2.130660e-03
136           	2.133233e-03
137           	2.135580e-03
138           	2.137707e-03
139           	2.139628e-03
140           	2.141341e-03
141           	2.142845e-03
142           	2.144144e-03
143           	2.145247e-03
144           	2.146154e-03
145           	2.146872e-03
146           	2.147415e-03
147           	2.147791e-03
148           	2.148002e-03
149           	2.148036e-03
150           	2.147904e-03
151           	2.147603e-03
152           	2.147128e-03
153           	2.146494e-03
154           	2.145698e-03
155           	2.144758e-03
156           	2.143670e-03
157           	2.142444e-03
158           	2.141075e-03
159           	2.139562e-03
160           	2.137912e-03
161           	2.136134e-03
162           	2.134219e-03
163           	2.132190e-03
164           	2.130045e-03
165           	2.127793e-03
166           	2.125437e-03
167           	2.122971e-03
168           	2.120635e-03
169           	2.118103e-03
170           	2.115595e-03
171           	2.112849e-03
172           	2.110128e-03
173           	2.107434e-03
174           	2.104710e-03
175           	2.101667e-03
176           	2.098619e-03
177           	2.095601e-03
178           	2.092567e-03
179           	2.089470e-03
180           	2.086304e-03
181           	2.083072e-03
182           	2.079780e-03
183           	2.076418e-03
184           	2.072996e-03
185           	2.069504e-03
186           	2.065945e-03
187           	2.062334e-03
188           	2.058657e-03
189           	2.054922e-03
190           	2.051131e-03
191           	2.047287e-03
192           	2.043391e-03
193           	2.039453e-03
194           	2.035464e-03
195           	2.031434e-03
196           	2.027372e-03
197           	2.023275e-03
198           	2.019151e-03
199           	2.014998e-03
200           	2.010815e-03
201           	2.006586e-03
202           	2.002322e-03
203           	1.998017e-03
204           	1.993681e-03
205           	1.989316e-03
206           	1.984920e-03
207           	1.980500e-03
208           	1.976053e-03
209           	1.971586e-03
210           	1.967091e-03
211           	1.962570e-03
212           	1.958016e-03
213           	1.953438e-03
214           	1.948846e-03
215           	1.944242e-03
216           	1.939634e-03
217           	1.935012e-03
218           	1.930384e-03
219           	1.925749e-03
220           	1.921106e-03
221           	1.916444e-03
222           	1.911771e-03
223           	1.907085e-03
224           	1.902391e-03
225           	1.897693e-03
226           	1.892983e-03
227           	1.888270e-03
228           	1.883560e-03
229           	1.878848e-03
230           	1.874139e-03
231           	1.869433e-03
232           	1.864723e-03
233           	1.859959e-03
234           	1.855209e-03
235           	1.850421e-03
236           	1.845659e-03
237           	1.840864e-03
238           	1.836094e-03
239           	1.831303e-03
240           	1.826492e-03
241           	1.821666e-03
242           	1.816841e-03
243           	1.812018e-03
244           	1.807199e-03
245           	1.802380e-03
246           	1.797562e-03
247           	1.792752e-03
248           	1.787950e-03
249           	1.783162e-03
250           	1.778393e-03
251           	1.773638e-03
252           	1.768899e-03
253           	1.764170e-03
254           	1.759458e-03
255           	1.754767e-03
256           	1.750093e-03
257           	1.745432e-03
258           	1.740787e-03
259           	1.736162e-03
260           	1.731549e-03
261           	1.726951e-03
262           	1.722372e-03
263           	1.717816e-03
264           	1.713281e-03
265           	1.708762e-03
266           	1.704263e-03
267           	1.699790e-03
268           	1.695339e-03
269           	1.690912e-03
270           	1.686514e-03
271           	1.682147e-03
272           	1.677966e-03
273           	1.673767e-03
274           	1.669541e-03
275           	1.665320e-03
276           	1.661113e-03
277           	1.656932e-03
278           	1.652777e-03
279           	1.648650e-03
280           	1.644552e-03
281           	1.640619e-03
282           	1.636665e-03
283           	1.632817e-03
284           	1.629061e-03
285           	1.625235e-03
286           	1.621366e-03
287           	1.617615e-03
288           	1.613842e-03
289           	1.610048e-03
290           	1.606381e-03
291           	1.602812e-03
292           	1.599303e-03
293           	1.595833e-03
294           	1.592403e-03
295           	1.589004e-03
296           	1.585638e-03
297           	1.582304e-03
298           	1.578997e-03
299           	1.575719e-03
300           	1.572468e-03
301           	1.569239e-03
302           	1.566033e-03
303           	1.562856e-03
304           	1.559704e-03
305           	1.556577e-03
306           	1.553476e-03
307           	1.550400e-03
308           	1.547351e-03
309           	1.544327e-03
310           	1.541326e-03
311           	1.538348e-03
312           	1.535391e-03
313           	1.532456e-03
314           	1.529541e-03
315           	1.526649e-03
316           	1.523780e-03
317           	1.520935e-03
318           	1.518114e-03
319           	1.515312e-03
320           	1.512532e-03
321           	1.509772e-03
322           	1.507031e-03
323           	1.504312e-03
324           	1.501611e-03
325           	1.498929e-03
326           	1.496265e-03
327           	1.493621e-03
328           	1.490995e-03
329           	1.488390e-03
330           	1.485798e-03
331           	1.483225e-03
332           	1.480669e-03
333           	1.478129e-03
334           	1.475610e-03
335           	1.473107e-03
336           	1.470622e-03
337           	1.468154e-03
338           	1.465705e-03
339           	1.463276e-03
340           	1.460869e-03
341           	1.458475e-03
342           	1.456099e-03
343           	1.453741e-03
344           	1.451400e-03
345           	1.449075e-03
346           	1.446769e-03
347           	1.444481e-03
348           	1.442213e-03
349           	1.439963e-03
350           	1.437735e-03
351           	1.435526e-03
352           	1.433339e-03
353           	1.431168e-03
354           	1.429015e-03
355           	1.426878e-03
356           	1.424758e-03
357           	1.422653e-03
358           	1.420562e-03
359           	1.418486e-03
360           	1.416424e-03
361           	1.414376e-03
362           	1.412347e-03
363           	1.410333e-03
364           	1.408335e-03
365           	1.406355e-03
366           	1.404391e-03
367           	1.402445e-03
368           	1.400514e-03
369           	1.398599e-03
370           	1.396700e-03
371           	1.394818e-03
372           	1.392952e-03
373           	1.391104e-03
374           	1.389273e-03
375           	1.387457e-03
376           	1.385656e-03
377           	1.383872e-03
378           	1.382106e-03
379           	1.380355e-03
380           	1.378620e-03
381           	1.376900e-03
382           	1.375196e-03
383           	1.373508e-03
384           	1.371836e-03
385           	1.370177e-03
386           	1.368534e-03
387           	1.366907e-03
388           	1.365295e-03
389           	1.363698e-03
390           	1.362116e-03
391           	1.360549e-03
392           	1.358998e-03
393           	1.357462e-03
394           	1.355941e-03
395           	1.354435e-03
396           	1.352943e-03
397           	1.351466e-03
398           	1.350004e-03
399           	1.348556e-03
400           	1.347122e-03
401           	1.345703e-03
402           	1.344297e-03
403           	1.342905e-03
404           	1.341525e-03
405           	1.340160e-03
406           	1.338809e-03
407           	1.337472e-03
408           	1.336150e-03
409           	1.334841e-03
410           	1.333548e-03
411           	1.332268e-03
412           	1.331002e-03
413           	1.329750e-03
414           	1.328511e-03
415           	1.327284e-03
416           	1.326072e-03
417           	1.324873e-03
418           	1.323687e-03
419           	1.322514e-03
420           	1.321354e-03
421           	1.320206e-03
422           	1.319114e-03
423           	1.318015e-03
424           	1.316911e-03
425           	1.315854e-03
426           	1.314830e-03
427           	1.313785e-03
428           	1.312770e-03
429           	1.311741e-03
430           	1.310748e-03
431           	1.309743e-03
432           	1.308772e-03
433           	1.307828e-03
434           	1.306901e-03
435           	1.305985e-03
436           	1.305079e-03
437           	1.304183e-03
438           	1.303260e-03
439           	1.302362e-03
440           	1.301453e-03
441           	1.300573e-03
442           	1.299718e-03
443           	1.298878e-03
444           	1.298047e-03
445           	1.297193e-03
446           	1.296363e-03
447           	1.295553e-03
448           	1.294756e-03
449           	1.293970e-03
450           	1.293192e-03
451           	1.292423e-03
452           	1.291662e-03
453           	1.290909e-03
454           	1.290163e-03
455           	1.289426e-03
456           	1.288698e-03
457           	1.287977e-03
458           	1.287265e-03
459           	1.286561e-03
460           	1.285865e-03
461           	1.285177e-03
462           	1.284497e-03
463           	1.283825e-03
464           	1.283162e-03
465           	1.282506e-03
466           	1.281859e-03
467           	1.281219e-03
468           	1.280587e-03
469           	1.279963e-03
470           	1.279346e-03
471           	1.278737e-03
472           	1.278135e-03
473           	1.277541e-03
474           	1.276955e-03
475           	1.276365e-03
476           	1.275786e-03
477           	1.275219e-03
478           	1.274652e-03
479           	1.274096e-03
480           	1.273541e-03
481           	1.272998e-03
482           	1.272459e-03
483           	1.271932e-03
484           	1.271407e-03
485           	1.270884e-03
486           	1.270366e-03
487           	1.269853e-03
488           	1.269349e-03
489           	1.268852e-03
490           	1.268363e-03
491           	1.267882e-03
492           	1.267409e-03
493           	1.266943e-03
494           	1.266486e-03
495           	1.266036e-03
496           	1.265577e-03
497           	1.265133e-03
498           	1.264703e-03
499           	1.264268e-03
500           	1.263848e-03
501           	1.263426e-03
502           	1.263021e-03
503           	1.262632e-03
504           	1.262239e-03
505           	1.261870e-03
506           	1.261504e-03
507           	1.261141e-03
508           	1.260785e-03
509           	1.260437e-03
510           	1.260098e-03
511           	1.259767e-03
512           	1.259445e-03
513           	1.259132e-03
514           	1.258827e-03
515           	1.258530e-03
516           	1.258242e-03
517           	1.257961e-03
518           	1.257696e-03
519           	1.257436e-03
520           	1.257180e-03
521           	1.256918e-03
522           	1.256665e-03
523           	1.256431e-03
524           	1.256192e-03
525           	1.255961e-03
526           	1.255730e-03
527           	1.255499e-03
