# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	7.265530e-03	4	true
2             	smoothSolver	1.067890e-01	8.874390e-03	5	1.000000e+00	8.435040e-02	2	false	GAMG	1.000000e+00	7.810380e-03	3	true
3             	smoothSolver	3.175670e-02	2.901510e-03	3	5.671760e-01	3.436490e-02	2	false	GAMG	1.506610e-01	8.225190e-04	6	true
4             	smoothSolver	2.217220e-02	1.973070e-03	4	4.423300e-01	2.856630e-02	3	false	GAMG	1.634600e-01	1.138560e-03	5	true
5             	smoothSolver	1.666450e-02	1.175030e-03	5	4.323710e-01	2.988670e-02	3	false	GAMG	1.283980e-01	9.612290e-04	4	true
6             	smoothSolver	1.345040e-02	1.088090e-03	5	4.392330e-01	3.640810e-02	3	false	GAMG	1.170660e-01	9.031290e-04	4	true
7             	smoothSolver	1.134760e-02	1.012190e-03	5	4.184640e-01	2.594740e-02	4	false	GAMG	1.180030e-01	6.649580e-04	5	true
8             	smoothSolver	9.848290e-03	9.569920e-04	5	3.650590e-01	2.593930e-02	4	false	GAMG	1.081170e-01	6.524200e-04	5	true
9             	smoothSolver	8.875310e-03	5.950470e-04	6	3.075010e-01	2.587240e-02	4	false	GAMG	9.372050e-02	5.962780e-04	5	true
10            	smoothSolver	8.067100e-03	5.714160e-04	6	2.837470e-01	2.382730e-02	4	false	GAMG	9.574070e-02	5.285100e-04	5	true
11            	smoothSolver	7.467930e-03	5.555250e-04	6	2.731810e-01	2.382230e-02	4	false	GAMG	8.750660e-02	4.793980e-04	5	true
12            	smoothSolver	7.032270e-03	5.393010e-04	6	2.540020e-01	2.500380e-02	4	false	GAMG	8.380600e-02	4.733420e-04	5	true
13            	smoothSolver	6.812240e-03	5.258000e-04	6	2.535390e-01	2.370660e-02	4	false	GAMG	8.123910e-02	4.616880e-04	5	true
14            	smoothSolver	6.666510e-03	5.126580e-04	6	2.486180e-01	2.463560e-02	4	false	GAMG	8.271450e-02	5.614300e-04	5	true
15            	smoothSolver	6.567230e-03	5.033080e-04	6	2.435600e-01	2.377300e-02	4	false	GAMG	7.575570e-02	6.468900e-04	5	true
16            	smoothSolver	6.441130e-03	4.926820e-04	6	2.379080e-01	2.357490e-02	4	false	GAMG	7.506590e-02	3.457630e-04	6	true
17            	smoothSolver	6.360640e-03	4.855030e-04	6	2.276220e-01	2.149110e-02	4	false	GAMG	7.453130e-02	3.017930e-04	6	true
18            	smoothSolver	6.258560e-03	4.773190e-04	6	2.184850e-01	1.418140e-02	5	false	GAMG	7.264210e-02	5.259900e-04	5	true
19            	smoothSolver	6.156880e-03	4.687210e-04	6	2.165850e-01	1.411870e-02	5	false	GAMG	6.978680e-02	2.564740e-04	6	true
20            	smoothSolver	6.076070e-03	4.622200e-04	6	2.093670e-01	1.393210e-02	5	false	GAMG	7.038490e-02	2.780470e-04	6	true
21            	smoothSolver	5.999230e-03	4.570730e-04	6	2.126920e-01	1.415440e-02	5	false	GAMG	6.978560e-02	5.167600e-04	5	true
22            	smoothSolver	5.918150e-03	4.509500e-04	6	2.027750e-01	2.026170e-02	4	false	GAMG	7.254270e-02	5.258480e-04	5	true
23            	smoothSolver	5.857880e-03	4.464320e-04	6	2.238180e-01	2.048660e-02	4	false	GAMG	7.152720e-02	4.796240e-04	5	true
24            	smoothSolver	5.785730e-03	4.410800e-04	6	2.115150e-01	1.990400e-02	4	false	GAMG	6.890220e-02	6.188670e-04	5	true
25            	smoothSolver	5.729130e-03	4.373020e-04	6	2.152330e-01	1.869570e-02	4	false	GAMG	7.181040e-02	5.644730e-04	5	true
26            	smoothSolver	5.662210e-03	4.323750e-04	6	2.211970e-01	2.061220e-02	4	false	GAMG	7.349890e-02	7.312630e-04	5	true
27            	smoothSolver	5.605520e-03	4.283910e-04	6	2.171970e-01	1.971160e-02	4	false	GAMG	6.941150e-02	3.874650e-04	5	true
28            	smoothSolver	5.550770e-03	4.250370e-04	6	2.197230e-01	2.002500e-02	4	false	GAMG	7.609230e-02	3.930950e-04	5	true
29            	smoothSolver	5.496820e-03	4.212650e-04	6	2.321480e-01	1.871040e-02	4	false	GAMG	8.133770e-02	6.963040e-04	4	true
30            	smoothSolver	5.443570e-03	4.175800e-04	6	2.267720e-01	1.958720e-02	4	false	GAMG	7.711310e-02	7.406370e-04	4	true
31            	smoothSolver	5.391250e-03	4.139100e-04	6	2.415560e-01	1.793920e-02	4	false	GAMG	7.871320e-02	6.869050e-04	4	true
32            	smoothSolver	5.337650e-03	4.106080e-04	6	2.249090e-01	2.101930e-02	3	false	GAMG	7.916790e-02	6.404990e-04	4	true
33            	smoothSolver	5.287540e-03	4.069920e-04	6	2.141560e-01	1.918580e-02	3	false	GAMG	8.141530e-02	4.695790e-04	4	true
34            	smoothSolver	5.237000e-03	4.037980e-04	6	2.167300e-01	2.141270e-02	3	false	GAMG	8.259430e-02	7.873890e-04	4	true
35            	smoothSolver	5.186660e-03	4.005440e-04	6	2.262630e-01	2.191140e-02	3	false	GAMG	8.339660e-02	8.020900e-04	3	true
36            	smoothSolver	5.138980e-03	3.975380e-04	6	2.249020e-01	1.480320e-02	4	false	GAMG	8.651670e-02	5.708010e-04	5	true
37            	smoothSolver	5.088830e-03	3.943120e-04	6	2.198660e-01	1.791530e-02	3	false	GAMG	7.942200e-02	4.509580e-04	4	true
38            	smoothSolver	5.040830e-03	3.910760e-04	6	2.161240e-01	1.624360e-02	3	false	GAMG	8.207860e-02	5.417430e-04	5	true
39            	smoothSolver	4.992550e-03	3.879790e-04	6	2.269360e-01	1.635870e-02	3	false	GAMG	8.975590e-02	8.353850e-04	4	true
40            	smoothSolver	4.941430e-03	3.846880e-04	6	2.320500e-01	1.872920e-02	3	false	GAMG	9.261870e-02	5.053530e-04	5	true
41            	smoothSolver	4.894730e-03	3.815240e-04	6	2.268810e-01	1.732500e-02	3	false	GAMG	9.687330e-02	8.940060e-04	5	true
42            	smoothSolver	4.850080e-03	3.786650e-04	6	2.218290e-01	1.578320e-02	3	false	GAMG	9.176860e-02	6.218170e-04	4	true
43            	smoothSolver	4.805990e-03	3.759570e-04	6	2.265750e-01	1.190480e-02	3	false	GAMG	9.760980e-02	7.484040e-04	5	true
44            	smoothSolver	4.759770e-03	3.730270e-04	6	2.094300e-01	1.392610e-02	3	false	GAMG	1.023710e-01	7.915900e-04	4	true
45            	smoothSolver	4.713950e-03	3.700610e-04	6	2.175770e-01	1.524890e-02	3	false	GAMG	1.095440e-01	8.397460e-04	4	true
46            	smoothSolver	4.668800e-03	3.671950e-04	6	1.893420e-01	1.669850e-02	3	false	GAMG	1.153870e-01	7.828490e-04	4	true
47            	smoothSolver	4.626170e-03	3.644270e-04	6	1.963420e-01	1.459840e-02	3	false	GAMG	1.189360e-01	9.258830e-04	4	true
48            	smoothSolver	4.584490e-03	3.618180e-04	6	1.731040e-01	1.418950e-02	3	false	GAMG	1.018950e-01	5.786900e-04	4	true
49            	smoothSolver	4.545020e-03	3.592090e-04	6	1.935260e-01	1.259460e-02	3	false	GAMG	1.088500e-01	1.020050e-03	3	true
50            	smoothSolver	4.503590e-03	3.565300e-04	6	1.855630e-01	1.252100e-02	3	false	GAMG	1.137250e-01	1.108650e-03	4	true
51            	smoothSolver	4.466480e-03	3.540990e-04	6	1.821000e-01	1.248220e-02	3	false	GAMG	1.097120e-01	9.697660e-04	4	true
52            	smoothSolver	4.429230e-03	3.517910e-04	6	1.816710e-01	1.325720e-02	3	false	GAMG	1.312910e-01	9.890750e-04	4	true
53            	smoothSolver	4.392070e-03	3.493690e-04	6	1.791250e-01	1.297230e-02	3	false	GAMG	1.179400e-01	9.187980e-04	5	true
54            	smoothSolver	4.355130e-03	3.470270e-04	6	1.902640e-01	1.476880e-02	3	false	GAMG	1.201700e-01	7.089000e-04	5	true
55            	smoothSolver	4.320050e-03	3.446860e-04	6	1.930740e-01	1.297440e-02	3	false	GAMG	1.282360e-01	1.063510e-03	4	true
56            	smoothSolver	4.285000e-03	3.424660e-04	6	1.829580e-01	1.492670e-02	3	false	GAMG	1.347210e-01	9.159110e-04	4	true
57            	smoothSolver	4.250790e-03	3.401790e-04	6	1.882160e-01	1.622330e-02	3	false	GAMG	1.281370e-01	1.155720e-03	4	true
58            	smoothSolver	4.218070e-03	3.381040e-04	6	1.857330e-01	1.501950e-02	3	false	GAMG	1.292610e-01	7.959810e-04	4	true
59            	smoothSolver	4.186760e-03	3.360790e-04	6	1.863050e-01	1.425060e-02	3	false	GAMG	1.431290e-01	6.465740e-04	4	true
60            	smoothSolver	4.155260e-03	3.340660e-04	6	1.869180e-01	1.345840e-02	3	false	GAMG	1.639210e-01	7.422260e-04	4	true
61            	smoothSolver	4.125130e-03	3.320570e-04	6	1.915090e-01	1.511340e-02	3	false	GAMG	1.387310e-01	1.174990e-03	4	true
62            	smoothSolver	4.095050e-03	3.300580e-04	6	1.738680e-01	1.452760e-02	3	false	GAMG	1.334980e-01	7.827840e-04	5	true
63            	smoothSolver	4.066420e-03	3.281770e-04	6	2.030750e-01	1.538770e-02	3	false	GAMG	1.415440e-01	1.193820e-03	4	true
64            	smoothSolver	4.038470e-03	3.263400e-04	6	1.922250e-01	1.341280e-02	3	false	GAMG	1.461030e-01	1.324070e-03	4	true
65            	smoothSolver	4.011500e-03	3.245710e-04	6	1.778860e-01	1.214090e-02	3	false	GAMG	1.445070e-01	1.096630e-03	5	true
66            	smoothSolver	3.985290e-03	3.228030e-04	6	1.701240e-01	1.336980e-02	3	false	GAMG	1.345540e-01	9.248510e-04	4	true
67            	smoothSolver	3.959420e-03	3.210910e-04	6	1.950670e-01	1.510390e-02	3	false	GAMG	1.519040e-01	1.091120e-03	4	true
