y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.163324,0.000883033,2.34715e-06,0.0358243,3.1319e-08,0
0.000851268,0.152909,0.00132453,3.52073e-06,0.0537365,4.69785e-08,0
0.00113502,0.142489,0.00176627,4.69497e-06,0.0716501,6.66101e-08,0
0.00174332,0.117662,0.00336317,1.65361e-05,0.105088,1.1527e-07,-8.63748e-24
0.00235161,0.0928271,0.00496046,2.83804e-05,0.138528,1.75002e-07,-1.46591e-23
0.00267761,0.0898318,0.00572723,4.00636e-05,0.152467,2.06606e-07,-1.12272e-23
0.00300362,0.0868365,0.00649401,5.17469e-05,0.166406,2.38209e-07,-7.79524e-24
0.00332962,0.0838413,0.00726079,6.34302e-05,0.180345,2.69813e-07,-4.36332e-24
0.00470391,0.0753154,0.00975709,0.000118788,0.227436,3.77585e-07,9.94624e-24
0.00916136,0.0581135,0.0138186,0.000299401,0.32213,4.61583e-07,0
0.0147607,0.0450263,0.0158556,0.00050595,0.393326,4.0786e-07,0
0.0152906,0.0440685,0.015982,0.000524683,0.398822,4.04295e-07,0
0.0158205,0.0431103,0.0161083,0.000543425,0.404318,4.02832e-07,0
0.0161045,0.0426777,0.0161605,0.000553202,0.406925,4.03247e-07,0
0.0163884,0.0422452,0.0162127,0.00056298,0.409533,4.03662e-07,0
0.0175244,0.0405148,0.0164214,0.000602089,0.419963,4.0532e-07,0
0.0218326,0.0350912,0.0170171,0.000746283,0.454745,4.46538e-07,0
0.0224851,0.0343795,0.0170894,0.000767695,0.45955,4.56799e-07,0
0.0231376,0.0336676,0.0171616,0.000789117,0.464355,4.63008e-07,0
0.0245365,0.0323716,0.0172817,0.000834004,0.47366,4.91761e-07,-1.59024e-23
0.0259353,0.0310754,0.0174019,0.000878899,0.482965,5.14961e-07,-2.48133e-23
0.0274347,0.0298924,0.0175013,0.000925979,0.492017,5.50412e-07,-9.28381e-24
0.0289341,0.0287093,0.0176008,0.000973066,0.501068,5.78955e-07,-5.81829e-25
0.0293359,0.0284388,0.0176212,0.000985417,0.503278,5.89034e-07,3.39414e-24
0.0297376,0.0281682,0.0176416,0.000997767,0.505488,5.99114e-07,7.3701e-24
0.0305412,0.0276271,0.0176823,0.00102247,0.509907,6.19274e-07,1.5322e-23
0.0308626,0.0274107,0.0176987,0.00103235,0.511675,6.27337e-07,1.85028e-23
0.0311841,0.0271943,0.017715,0.00104223,0.513442,6.35401e-07,2.16836e-23
0.0374399,0.0236497,0.0179472,0.00122998,0.544573,7.72265e-07,-7.56028e-24
0.0383631,0.0231941,0.0179731,0.00125719,0.548827,7.94224e-07,-1.13404e-23
0.0392863,0.0227385,0.0179989,0.0012844,0.553081,8.05561e-07,-1.12849e-23
0.0412654,0.0219003,0.018038,0.00134149,0.561461,8.48012e-07,-1.32967e-23
0.0432445,0.0210621,0.018077,0.00139859,0.569842,8.78678e-07,-1.43574e-23
0.0453658,0.0202898,0.0181045,0.00145847,0.578114,9.17385e-07,2.56546e-24
0.0608271,0.0158614,0.0181743,0.00187881,0.631028,1.04867e-06,0
0.0614802,0.0157091,0.0181736,0.00189602,0.633039,1.04458e-06,0
0.0621332,0.0155568,0.0181728,0.00191324,0.63505,1.0405e-06,0
0.0649332,0.0149927,0.0181608,0.00198528,0.643043,1.04096e-06,0
0.0663332,0.0147106,0.0181548,0.0020213,0.647039,1.04119e-06,0
0.0677332,0.0144285,0.0181487,0.00205731,0.651035,1.02657e-06,0
0.0707343,0.0139055,0.0181279,0.00213259,0.658986,1.0122e-06,0
0.0737355,0.0133825,0.018107,0.00220785,0.666938,9.83472e-07,0
0.0769523,0.0128972,0.0180776,0.00228642,0.674857,9.52826e-07,0
0.0801692,0.0124119,0.0180481,0.00236498,0.682777,9.08852e-07,0
0.0836172,0.0119611,0.0180103,0.00244687,0.690673,8.61147e-07,0
0.0870652,0.0115104,0.0179723,0.00252875,0.698569,8.01654e-07,0
0.090761,0.0110914,0.0179261,0.002614,0.706449,7.36896e-07,1.07701e-23
0.0944567,0.0106724,0.0178798,0.00269922,0.714328,6.62369e-07,2.0983e-23
0.0984181,0.0102826,0.0178252,0.0027878,0.722198,5.8147e-07,1.0259e-23
0.102379,0.00989277,0.0177705,0.00287637,0.730068,4.93245e-07,9.004e-26
0.106625,0.00952989,0.0177074,0.00296826,0.737935,3.98089e-07,-4.36013e-24
0.110871,0.00916698,0.0176444,0.00306014,0.745801,2.98418e-07,-8.93133e-24
0.115423,0.0088289,0.0175728,0.00315528,0.753669,1.91868e-07,-4.49994e-24
0.119974,0.00849079,0.0175013,0.00325041,0.761538,8.39172e-08,5.1924e-26
0.124852,0.0081756,0.0174211,0.0033487,0.769413,-3.01983e-08,-6.2804e-24
0.12973,0.00786038,0.0173409,0.00344698,0.777288,-1.42405e-07,-1.19334e-23
0.134959,0.00756632,0.0172519,0.00354829,0.785174,-2.59369e-07,-5.62854e-24
0.140188,0.00727224,0.0171629,0.00364959,0.79306,-3.71126e-07,0
0.145792,0.00699773,0.0170648,0.00375373,0.800962,-4.85573e-07,0
0.151397,0.0067232,0.0169667,0.00385787,0.808863,-5.91863e-07,0
0.157404,0.00646677,0.0168594,0.00396462,0.816783,-6.98261e-07,0
0.163411,0.00621032,0.016752,0.00407137,0.824703,-7.94259e-07,0
0.16985,0.00597062,0.016635,0.00418044,0.832644,-8.87604e-07,0
0.176289,0.00573091,0.016518,0.00428951,0.840585,-9.69245e-07,0
0.18319,0.00550672,0.016391,0.00440055,0.848549,-1.04564e-06,0
0.190092,0.00528252,0.016264,0.00451159,0.856514,-1.10997e-06,0
0.197489,0.00507269,0.0161267,0.00462418,0.864504,-1.16692e-06,0
0.204887,0.00486286,0.0159894,0.00473676,0.872494,-1.21223e-06,0
0.212816,0.00466635,0.0158412,0.0048504,0.88051,-1.24863e-06,0
0.220745,0.00446984,0.0156931,0.00496403,0.888526,-1.27442e-06,0
0.229244,0.0042857,0.0155337,0.00507814,0.896568,-1.29037e-06,0
0.237743,0.00410155,0.0153744,0.00519225,0.90461,-1.29716e-06,0
0.246853,0.00392888,0.0152033,0.00530616,0.912677,-1.29375e-06,0
0.255962,0.0037562,0.0150322,0.00542008,0.920744,-1.28276e-06,0
0.265727,0.00359419,0.0148489,0.00553306,0.928834,-1.26161e-06,0
0.275491,0.00343217,0.0146657,0.00564604,0.936924,-1.23434e-06,0
0.285957,0.00328007,0.0144697,0.00575725,0.945033,-1.19723e-06,0
0.296423,0.00312796,0.0142737,0.00586846,0.953142,-1.15521e-06,0
0.307641,0.00298509,0.0140645,0.005977,0.961264,-1.10402e-06,0
0.318859,0.00284221,0.0138554,0.00608554,0.969386,-1.04899e-06,0
0.330883,0.00270795,0.0136326,0.00619044,0.977514,-9.86168e-07,2.63688e-23
0.342907,0.00257368,0.0134098,0.00629535,0.985641,-9.20534e-07,3.95531e-23
0.355795,0.00244747,0.0131731,0.00639563,0.993762,-8.49479e-07,1.38743e-23
0.368683,0.00232127,0.0129364,0.00649591,1.00188,-7.76638e-07,1.03484e-24
0.382498,0.00220264,0.0126854,0.00659059,1.00998,-7.01661e-07,-2.55049e-23
0.396312,0.002084,0.0124345,0.00668527,1.01808,-6.25914e-07,-3.87747e-23
0.411119,0.00197255,0.0121695,0.00677346,1.02614,-5.51885e-07,-1.29249e-23
0.425926,0.00186109,0.0119044,0.00686166,1.0342,-4.78109e-07,0
0.441797,0.00175648,0.0116255,0.00694269,1.04219,-4.09819e-07,-8.58371e-23
0.457668,0.00165187,0.0113466,0.00702372,1.05018,-3.42826e-07,-1.56994e-22
0.47468,0.00155391,0.0110548,0.00709726,1.05807,-2.84331e-07,-7.44845e-23
0.491692,0.00145594,0.0107629,0.00717079,1.06595,-2.28028e-07,-6.08583e-24
0.509926,0.00136452,0.0104597,0.00723708,1.07368,-1.81827e-07,8.06832e-23
0.52816,0.0012731,0.0101565,0.00730337,1.08142,-1.38598e-07,1.52613e-22
0.547704,0.0011883,0.00984451,0.0073635,1.08893,-1.05899e-07,6.91713e-23
0.567248,0.00110349,0.00953256,0.00742363,1.09645,-7.63802e-08,0
0.588197,0.00102554,0.00921598,0.00747988,1.10368,-5.61667e-08,0
0.609146,0.000947587,0.00889941,0.00753612,1.1109,-3.88213e-08,0
0.6316,0.00087694,0.00858426,0.00759213,1.11772,-2.83533e-08,0
0.654054,0.000806294,0.00826911,0.00764814,1.12454,-2.02045e-08,0
0.678122,0.000743624,0.00796385,0.00770878,1.13084,-1.62337e-08,0
0.70219,0.000680953,0.00765859,0.00776942,1.13713,-1.3733e-08,0
0.727987,0.000627123,0.00737436,0.0078396,1.14273,-1.30913e-08,0
0.753784,0.000573293,0.00709013,0.00790978,1.14834,-1.31247e-08,0
0.781436,0.000529303,0.00684061,0.00799135,1.15307,-1.30266e-08,0
0.809087,0.000485313,0.00659109,0.00807292,1.15781,-1.31263e-08,0
0.838725,0.000452227,0.00639185,0.00815953,1.16147,-1.19071e-08,8.24723e-23
0.868363,0.000419142,0.00619261,0.00824614,1.16514,-1.06206e-08,1.44311e-22
0.900131,0.000398131,0.00606034,0.00831862,1.16752,-8.30482e-09,9.25718e-23
0.931899,0.00037712,0.00592808,0.00839109,1.1699,-5.71915e-09,5.37705e-23
0.965949,0.000369755,0.0058806,0.00842065,1.17074,-3.00711e-09,-8.38178e-23
1,0.00036239,0.00583312,0.00845022,1.17159,0,-1.8699e-22
