# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	7.274297e-05
2             	-2.858342e-04
3             	-4.294607e-05
4             	1.239376e-05
5             	4.130244e-05
6             	5.500553e-05
7             	6.001627e-05
8             	6.267467e-05
9             	6.640941e-05
10            	6.931256e-05
11            	7.063832e-05
12            	7.201635e-05
13            	7.354654e-05
14            	7.509251e-05
15            	7.654126e-05
16            	7.785642e-05
17            	7.922633e-05
18            	8.063825e-05
19            	8.210635e-05
20            	8.356631e-05
21            	8.504738e-05
22            	8.651376e-05
23            	8.797427e-05
24            	8.948072e-05
25            	9.099215e-05
26            	9.254972e-05
27            	9.408387e-05
28            	9.563519e-05
29            	9.722351e-05
30            	9.881987e-05
31            	1.004475e-04
32            	1.020678e-04
33            	1.037106e-04
34            	1.053597e-04
35            	1.070404e-04
36            	1.086988e-04
37            	1.103896e-04
38            	1.121006e-04
39            	1.138088e-04
40            	1.155327e-04
41            	1.172704e-04
42            	1.190263e-04
43            	1.207932e-04
44            	1.225670e-04
45            	1.243520e-04
46            	1.261595e-04
47            	1.279660e-04
48            	1.297956e-04
49            	1.316304e-04
50            	1.334753e-04
51            	1.353412e-04
52            	1.372188e-04
53            	1.390952e-04
54            	1.409932e-04
55            	1.429025e-04
56            	1.448267e-04
57            	1.467626e-04
58            	1.487148e-04
59            	1.506840e-04
60            	1.526597e-04
61            	1.546526e-04
62            	1.566642e-04
63            	1.586904e-04
64            	1.607326e-04
65            	1.627903e-04
66            	1.648647e-04
67            	1.669520e-04
68            	1.690592e-04
69            	1.711815e-04
70            	1.733194e-04
71            	1.754817e-04
72            	1.776542e-04
73            	1.798507e-04
74            	1.820677e-04
75            	1.843024e-04
76            	1.865613e-04
77            	1.888396e-04
78            	1.911381e-04
79            	1.934632e-04
80            	1.958091e-04
81            	1.981787e-04
82            	2.005738e-04
83            	2.029929e-04
84            	2.054367e-04
85            	2.079077e-04
86            	2.104052e-04
87            	2.129311e-04
88            	2.154839e-04
89            	2.180672e-04
90            	2.206789e-04
91            	2.233206e-04
92            	2.259927e-04
93            	2.286945e-04
94            	2.314308e-04
95            	2.341995e-04
96            	2.370040e-04
97            	2.398418e-04
98            	2.427158e-04
99            	2.456242e-04
100           	2.485700e-04
101           	2.515529e-04
102           	2.545762e-04
103           	2.576361e-04
104           	2.607362e-04
105           	2.638800e-04
106           	2.670618e-04
107           	2.702878e-04
108           	2.735546e-04
109           	2.768697e-04
110           	2.802256e-04
111           	2.836298e-04
112           	2.870769e-04
113           	2.905729e-04
114           	2.941163e-04
115           	2.977078e-04
116           	3.013481e-04
117           	3.050376e-04
118           	3.087799e-04
119           	3.125722e-04
120           	3.164172e-04
121           	3.203140e-04
122           	3.242653e-04
123           	3.282702e-04
124           	3.323301e-04
125           	3.364450e-04
126           	3.406157e-04
127           	3.448427e-04
128           	3.491275e-04
129           	3.534688e-04
130           	3.578690e-04
131           	3.623282e-04
132           	3.668458e-04
133           	3.714229e-04
134           	3.760585e-04
135           	3.807555e-04
136           	3.855120e-04
137           	3.903289e-04
138           	3.952949e-04
139           	4.003456e-04
140           	4.054629e-04
141           	4.106456e-04
142           	4.159157e-04
143           	4.212616e-04
144           	4.266763e-04
145           	4.321550e-04
146           	4.376977e-04
147           	4.433016e-04
148           	4.489675e-04
149           	4.546953e-04
150           	4.604927e-04
151           	4.663583e-04
152           	4.722895e-04
153           	4.782840e-04
154           	4.843383e-04
155           	4.904517e-04
156           	4.966232e-04
157           	5.028528e-04
158           	5.091376e-04
159           	5.154769e-04
160           	5.218708e-04
161           	5.283190e-04
162           	5.348185e-04
163           	5.413704e-04
164           	5.479725e-04
165           	5.546251e-04
166           	5.613248e-04
167           	5.680739e-04
168           	5.748679e-04
169           	5.817090e-04
170           	5.885927e-04
171           	5.955201e-04
172           	6.024895e-04
173           	6.095001e-04
174           	6.165494e-04
175           	6.236386e-04
176           	6.307650e-04
177           	6.379274e-04
178           	6.451254e-04
179           	6.523568e-04
180           	6.596223e-04
181           	6.669190e-04
182           	6.742461e-04
183           	6.816026e-04
184           	6.889872e-04
185           	6.963992e-04
186           	7.038365e-04
187           	7.112987e-04
188           	7.187847e-04
189           	7.262929e-04
190           	7.338219e-04
191           	7.413706e-04
192           	7.489388e-04
193           	7.565249e-04
194           	7.641275e-04
195           	7.717457e-04
196           	7.793790e-04
197           	7.870254e-04
198           	7.946833e-04
199           	8.023528e-04
200           	8.100325e-04
201           	8.177216e-04
202           	8.254189e-04
203           	8.331235e-04
204           	8.408334e-04
205           	8.485491e-04
206           	8.562684e-04
207           	8.639901e-04
208           	8.717130e-04
209           	8.794362e-04
210           	8.871596e-04
211           	8.948813e-04
212           	9.026020e-04
213           	9.103194e-04
214           	9.180334e-04
215           	9.257430e-04
216           	9.334480e-04
217           	9.411476e-04
218           	9.488404e-04
219           	9.565259e-04
220           	9.642029e-04
221           	9.718721e-04
222           	9.795315e-04
223           	9.871816e-04
224           	9.948207e-04
225           	1.002448e-03
226           	1.010064e-03
227           	1.017667e-03
228           	1.025257e-03
229           	1.032834e-03
230           	1.040396e-03
231           	1.047943e-03
232           	1.055474e-03
233           	1.062989e-03
234           	1.070487e-03
235           	1.077968e-03
236           	1.085432e-03
237           	1.092878e-03
238           	1.100304e-03
239           	1.107712e-03
240           	1.115100e-03
241           	1.122467e-03
242           	1.129815e-03
243           	1.137141e-03
244           	1.144446e-03
245           	1.151729e-03
246           	1.158990e-03
247           	1.166228e-03
248           	1.173443e-03
249           	1.180635e-03
250           	1.187803e-03
251           	1.194947e-03
252           	1.202066e-03
253           	1.209161e-03
254           	1.216231e-03
255           	1.223275e-03
256           	1.230294e-03
257           	1.237287e-03
258           	1.244253e-03
259           	1.251193e-03
260           	1.258106e-03
261           	1.264993e-03
262           	1.271852e-03
263           	1.278683e-03
264           	1.285487e-03
265           	1.292263e-03
266           	1.299011e-03
267           	1.305730e-03
268           	1.312420e-03
269           	1.319082e-03
270           	1.325715e-03
271           	1.332319e-03
272           	1.338894e-03
273           	1.345439e-03
274           	1.351954e-03
275           	1.358439e-03
276           	1.364895e-03
277           	1.371321e-03
278           	1.377716e-03
279           	1.384081e-03
280           	1.390415e-03
281           	1.396719e-03
282           	1.402993e-03
283           	1.409236e-03
284           	1.415447e-03
285           	1.421627e-03
286           	1.427777e-03
287           	1.433896e-03
288           	1.439983e-03
289           	1.446039e-03
290           	1.452064e-03
291           	1.458057e-03
292           	1.464018e-03
293           	1.469948e-03
294           	1.475847e-03
295           	1.481714e-03
296           	1.487549e-03
297           	1.493352e-03
298           	1.499124e-03
299           	1.504864e-03
300           	1.510572e-03
301           	1.516247e-03
302           	1.521892e-03
303           	1.527504e-03
304           	1.533084e-03
305           	1.538633e-03
306           	1.544149e-03
307           	1.549634e-03
308           	1.555087e-03
309           	1.560507e-03
310           	1.565896e-03
311           	1.571253e-03
312           	1.576578e-03
313           	1.581871e-03
314           	1.587132e-03
315           	1.592362e-03
316           	1.597559e-03
317           	1.602725e-03
318           	1.607858e-03
319           	1.612960e-03
320           	1.618031e-03
321           	1.623069e-03
322           	1.628076e-03
323           	1.633052e-03
324           	1.637996e-03
325           	1.642908e-03
326           	1.647788e-03
327           	1.652638e-03
328           	1.657455e-03
329           	1.662242e-03
330           	1.666996e-03
331           	1.671719e-03
332           	1.676411e-03
333           	1.681072e-03
334           	1.685699e-03
335           	1.690295e-03
336           	1.694861e-03
337           	1.699393e-03
338           	1.703896e-03
339           	1.708368e-03
340           	1.712808e-03
341           	1.717214e-03
342           	1.721593e-03
343           	1.725937e-03
344           	1.730250e-03
345           	1.734531e-03
346           	1.738781e-03
347           	1.742998e-03
348           	1.747185e-03
349           	1.751341e-03
350           	1.755466e-03
351           	1.759559e-03
352           	1.763622e-03
353           	1.767653e-03
354           	1.771654e-03
355           	1.775625e-03
356           	1.779565e-03
357           	1.783475e-03
358           	1.787354e-03
359           	1.791203e-03
360           	1.795021e-03
361           	1.798810e-03
362           	1.802569e-03
363           	1.806298e-03
364           	1.809997e-03
365           	1.813666e-03
366           	1.817306e-03
367           	1.820916e-03
368           	1.824497e-03
369           	1.828049e-03
370           	1.831572e-03
371           	1.835065e-03
372           	1.838530e-03
373           	1.841965e-03
374           	1.845372e-03
375           	1.848750e-03
376           	1.852099e-03
377           	1.855420e-03
378           	1.858713e-03
379           	1.861978e-03
380           	1.865214e-03
381           	1.868422e-03
382           	1.871603e-03
383           	1.874755e-03
384           	1.877880e-03
385           	1.880977e-03
386           	1.884047e-03
387           	1.887089e-03
388           	1.890103e-03
389           	1.893090e-03
390           	1.896051e-03
391           	1.898984e-03
392           	1.901891e-03
393           	1.904770e-03
394           	1.907624e-03
395           	1.910450e-03
396           	1.913250e-03
397           	1.916023e-03
398           	1.918771e-03
399           	1.921492e-03
400           	1.924187e-03
401           	1.926857e-03
402           	1.929500e-03
403           	1.932117e-03
404           	1.934709e-03
405           	1.937276e-03
406           	1.939817e-03
407           	1.942333e-03
408           	1.944823e-03
409           	1.947289e-03
410           	1.949730e-03
411           	1.952146e-03
412           	1.954537e-03
413           	1.956904e-03
414           	1.959246e-03
415           	1.961564e-03
416           	1.963857e-03
417           	1.966127e-03
418           	1.968372e-03
419           	1.970594e-03
420           	1.972791e-03
421           	1.974965e-03
422           	1.977115e-03
423           	1.979241e-03
424           	1.981344e-03
425           	1.983424e-03
426           	1.985480e-03
427           	1.987514e-03
428           	1.989524e-03
429           	1.991511e-03
430           	1.993476e-03
431           	1.995418e-03
432           	1.997338e-03
433           	1.999235e-03
434           	2.001110e-03
435           	2.002962e-03
436           	2.004793e-03
437           	2.006601e-03
438           	2.008388e-03
439           	2.010152e-03
440           	2.011895e-03
441           	2.013617e-03
442           	2.015316e-03
443           	2.016995e-03
444           	2.018651e-03
445           	2.020287e-03
446           	2.021902e-03
447           	2.023495e-03
448           	2.025068e-03
449           	2.026619e-03
450           	2.028151e-03
451           	2.029661e-03
452           	2.031152e-03
453           	2.032622e-03
454           	2.034071e-03
455           	2.035500e-03
456           	2.036909e-03
457           	2.038298e-03
458           	2.039668e-03
459           	2.041017e-03
460           	2.042347e-03
461           	2.043658e-03
462           	2.044948e-03
463           	2.046220e-03
464           	2.047472e-03
465           	2.048705e-03
466           	2.049919e-03
467           	2.051113e-03
468           	2.052289e-03
469           	2.053446e-03
470           	2.054584e-03
471           	2.055704e-03
472           	2.056805e-03
473           	2.057888e-03
474           	2.058952e-03
475           	2.059998e-03
476           	2.061026e-03
477           	2.062036e-03
478           	2.063028e-03
479           	2.064003e-03
480           	2.064959e-03
481           	2.065898e-03
482           	2.066820e-03
483           	2.067723e-03
484           	2.068610e-03
485           	2.069478e-03
486           	2.070330e-03
487           	2.071164e-03
488           	2.072000e-03
489           	2.072812e-03
490           	2.073602e-03
