# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	9.505830e-03	13	true
2             	smoothSolver	9.821440e-02	9.280340e-03	8	1.000000e+00	9.103540e-02	2	false	GAMG	1.000000e+00	9.469770e-03	4	true
3             	smoothSolver	1.935990e-02	1.653780e-03	4	4.797340e-01	3.850970e-02	3	false	GAMG	1.376360e-01	1.035470e-03	7	true
4             	smoothSolver	1.565040e-02	1.430150e-03	6	4.121080e-01	3.262400e-02	3	false	GAMG	1.456240e-01	8.308690e-04	6	true
5             	smoothSolver	1.149210e-02	8.957970e-04	7	4.085650e-01	2.883410e-02	4	false	GAMG	1.516310e-01	1.113790e-03	4	true
6             	smoothSolver	8.999850e-03	8.362540e-04	7	4.517010e-01	4.019890e-02	4	false	GAMG	1.231420e-01	1.045030e-03	4	true
7             	smoothSolver	7.359920e-03	5.822020e-04	8	4.563040e-01	3.294130e-02	5	false	GAMG	1.259190e-01	7.912330e-04	6	true
8             	smoothSolver	6.253600e-03	5.400660e-04	8	3.942700e-01	3.088020e-02	5	false	GAMG	1.244110e-01	1.102560e-03	5	true
9             	smoothSolver	5.425740e-03	5.028760e-04	8	3.604310e-01	3.564360e-02	4	false	GAMG	1.154260e-01	7.481220e-04	6	true
10            	smoothSolver	4.814540e-03	4.745860e-04	8	3.123800e-01	2.829780e-02	5	false	GAMG	1.122670e-01	7.092550e-04	5	true
11            	smoothSolver	4.357750e-03	3.560200e-04	9	2.582380e-01	2.241780e-02	6	false	GAMG	1.036270e-01	7.883650e-04	7	true
12            	smoothSolver	3.981110e-03	3.416630e-04	9	2.220000e-01	2.060140e-02	6	false	GAMG	1.078330e-01	9.499590e-04	5	true
