y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,0.235613,0.000520549,3.71829e-07,0.0273462,3.83853e-10,0
0.000496573,0.2268,0.000607306,4.33801e-07,0.0319039,4.32597e-10,0
0.000567512,0.217987,0.000694064,4.95772e-07,0.0364616,4.81342e-10,0
0.000851268,0.173196,0.00138807,2.21617e-06,0.0546612,1.26362e-09,0
0.00113502,0.128406,0.00208208,3.93656e-06,0.0728608,1.85815e-09,0
0.00143917,0.115225,0.00293834,8.92829e-06,0.0905563,3.12291e-09,0
0.00174332,0.102044,0.00379459,1.392e-05,0.108252,4.06336e-09,0
0.00204747,0.0965634,0.00467785,2.28254e-05,0.124548,5.7716e-09,-6.40881e-25
0.00235161,0.0910831,0.00556112,3.17307e-05,0.140844,7.10632e-09,-6.40881e-25
0.00267761,0.0880328,0.00637124,4.36635e-05,0.155285,9.12039e-09,-4.80502e-25
0.00300362,0.0849825,0.00718137,5.55963e-05,0.169726,1.07359e-08,6.48558e-25
0.00324812,0.0833236,0.00770713,6.59227e-05,0.179228,1.25151e-08,1.16612e-24
0.00349262,0.0816646,0.00823289,7.62492e-05,0.188729,1.3887e-08,4.16344e-25
0.00417977,0.0777119,0.00947625,0.000105311,0.211879,1.81964e-08,-5.68411e-25
0.00426713,0.0772374,0.00962506,0.000109007,0.214681,1.86948e-08,-8.50677e-25
0.00435448,0.076763,0.00977387,0.000112704,0.217484,1.91931e-08,-1.13294e-24
0.00470391,0.0750209,0.0102789,0.00012808,0.227536,2.17169e-08,-7.59698e-25
0.00505334,0.0732788,0.010784,0.000143456,0.237588,2.38453e-08,2.40007e-25
0.00542788,0.0716408,0.0112159,0.000159225,0.246735,2.6463e-08,0
0.00580242,0.0700028,0.0116478,0.000174994,0.255882,2.87021e-08,0
0.00617696,0.0684519,0.0120203,0.000191065,0.264304,3.13931e-08,0
0.0065515,0.066901,0.0123927,0.000207135,0.272726,3.37299e-08,0
0.00695296,0.0654301,0.012717,0.000223476,0.280565,3.64753e-08,0
0.00735441,0.0639592,0.0130413,0.000239818,0.288404,3.88964e-08,0
0.00775586,0.0625641,0.0133258,0.000256421,0.295762,4.16849e-08,0
0.00815732,0.0611689,0.0136102,0.000273024,0.30312,4.41846e-08,0
0.00858762,0.0598459,0.0138617,0.000289899,0.310079,4.70055e-08,0
0.00901792,0.0585229,0.0141132,0.000306773,0.317038,4.95764e-08,0
0.0119706,0.0508412,0.0154008,0.000420625,0.358041,6.78162e-08,0
0.0123414,0.0500378,0.0155224,0.000434214,0.362441,6.99419e-08,0
0.0127122,0.0492343,0.015644,0.000447802,0.366841,7.20676e-08,0
0.0132065,0.0482171,0.0157907,0.000466277,0.372518,7.5024e-08,0
