# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	4.699490e-03	3	true
2             	smoothSolver	1.208200e-01	8.849210e-03	4	1.000000e+00	5.942840e-02	2	false	GAMG	1.000000e+00	9.374530e-03	3	true
3             	smoothSolver	4.200990e-02	2.680650e-03	4	5.841990e-01	3.632080e-02	2	false	GAMG	1.348750e-01	8.851380e-04	5	true
4             	smoothSolver	2.286520e-02	2.226460e-03	4	4.196350e-01	4.078910e-02	2	false	GAMG	1.058820e-01	7.887020e-04	4	true
5             	smoothSolver	1.617520e-02	1.195200e-03	5	3.955170e-01	2.560230e-02	3	false	GAMG	1.124590e-01	6.991100e-04	5	true
6             	smoothSolver	1.251160e-02	1.058390e-03	5	4.127350e-01	3.772780e-02	3	false	GAMG	1.140990e-01	8.959850e-04	4	true
7             	smoothSolver	1.051880e-02	9.732670e-04	5	4.085020e-01	2.580860e-02	4	false	GAMG	1.135280e-01	9.171300e-04	4	true
8             	smoothSolver	9.142710e-03	9.101280e-04	5	3.720130e-01	2.616350e-02	4	false	GAMG	1.030100e-01	5.903120e-04	4	true
9             	smoothSolver	8.153500e-03	5.639810e-04	6	3.376270e-01	2.475820e-02	4	false	GAMG	9.351020e-02	6.444170e-04	4	true
10            	smoothSolver	7.406580e-03	5.389490e-04	6	3.325330e-01	2.417770e-02	4	false	GAMG	8.683720e-02	8.589610e-04	4	true
11            	smoothSolver	6.890550e-03	5.179350e-04	6	3.331750e-01	2.259560e-02	4	false	GAMG	8.433720e-02	3.480090e-04	5	true
12            	smoothSolver	6.605040e-03	5.010840e-04	6	3.162730e-01	2.093780e-02	4	false	GAMG	8.203070e-02	6.912440e-04	4	true
13            	smoothSolver	6.443650e-03	4.880230e-04	6	2.927280e-01	1.933190e-02	4	false	GAMG	7.776780e-02	7.021810e-04	4	true
14            	smoothSolver	6.291500e-03	4.758500e-04	6	2.713500e-01	1.847540e-02	4	false	GAMG	7.312370e-02	5.651480e-04	4	true
15            	smoothSolver	6.165870e-03	4.648980e-04	6	2.498780e-01	1.791620e-02	4	false	GAMG	6.967290e-02	6.492700e-04	3	true
16            	smoothSolver	6.066540e-03	4.568770e-04	6	2.338290e-01	1.802520e-02	4	false	GAMG	6.987570e-02	4.799050e-04	4	true
17            	smoothSolver	5.974630e-03	4.501090e-04	6	2.172370e-01	1.654430e-02	4	false	GAMG	6.770160e-02	6.612670e-04	3	true
18            	smoothSolver	5.870630e-03	4.418720e-04	6	1.976630e-01	1.508280e-02	4	false	GAMG	6.621460e-02	6.403960e-04	3	true
19            	smoothSolver	5.790220e-03	4.358570e-04	6	1.813680e-01	1.388380e-02	4	false	GAMG	6.478290e-02	3.580590e-04	4	true
20            	smoothSolver	5.703550e-03	4.296060e-04	6	1.726250e-01	1.407460e-02	4	false	GAMG	6.384320e-02	5.085330e-04	3	true
21            	smoothSolver	5.617540e-03	4.235680e-04	6	1.604070e-01	1.393880e-02	4	false	GAMG	6.286110e-02	4.410150e-04	3	true
22            	smoothSolver	5.543210e-03	4.185390e-04	6	1.578270e-01	1.447320e-02	4	false	GAMG	6.191240e-02	5.104400e-04	3	true
23            	smoothSolver	5.468300e-03	4.132820e-04	6	1.488290e-01	1.357680e-02	4	false	GAMG	6.113130e-02	4.939490e-04	4	true
24            	smoothSolver	5.398770e-03	4.081960e-04	6	1.438570e-01	1.250900e-02	4	false	GAMG	6.103280e-02	4.628340e-04	3	true
