y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,8.28127e-05,5.43151e-06,1.20684e-09,0.0157842,-4.7462e-10,0
0.000851268,0.000124214,8.14721e-06,1.81025e-09,0.0236763,-7.11929e-10,0
0.00113502,0.000165618,1.08631e-05,2.41371e-09,0.0315683,-1.02486e-09,0
0.00174332,0.000286156,2.89838e-05,9.94462e-09,0.048187,-2.21418e-09,-9.56205e-24
0.00235161,0.000406698,4.71051e-05,1.74758e-08,0.0648057,-3.68938e-09,-1.54984e-23
0.00267761,0.00049158,6.7189e-05,3.05529e-08,0.0736979,-4.66635e-09,-1.04138e-23
0.00300362,0.000576463,8.72729e-05,4.36299e-08,0.0825902,-5.64331e-09,-5.32919e-24
0.00332962,0.000661346,0.000107357,5.6707e-08,0.0914824,-6.62028e-09,-2.44583e-25
0.00470391,0.00110168,0.000239465,1.76542e-07,0.128902,-1.21706e-08,1.53274e-23
0.00916136,0.00367034,0.0013016,2.64987e-06,0.248799,-3.51065e-08,0
0.0147607,0.00939344,0.00409666,2.69587e-05,0.384729,-7.23416e-08,0
0.0152906,0.00994363,0.00438789,3.11821e-05,0.396034,-7.50014e-08,0
0.0158205,0.0104938,0.00467911,3.54055e-05,0.40734,-8.41849e-08,0
0.0161045,0.0107093,0.00481399,3.8408e-05,0.412558,-8.6056e-08,0
0.0163884,0.0109249,0.00494886,4.14106e-05,0.417777,-8.79271e-08,0
0.0175244,0.011787,0.00548835,5.34206e-05,0.43865,-9.54116e-08,0
0.0218326,0.0132907,0.00698642,0.000108812,0.503644,-1.32942e-07,0
0.0224851,0.0133453,0.00715583,0.000118125,0.512078,-1.3722e-07,0
0.0231376,0.0133998,0.00732523,0.000127437,0.520513,-1.41745e-07,0
0.0245365,0.0132292,0.00757001,0.000149268,0.535613,-1.48342e-07,-6.37605e-23
0.0259353,0.0130586,0.0078148,0.000171098,0.550714,-1.5313e-07,-1.05684e-22
0.0274347,0.0127144,0.0079846,0.000196119,0.564291,-1.56405e-07,-4.79023e-23
0.0289341,0.0123701,0.00815441,0.000221139,0.577869,-1.5635e-07,-9.90994e-24
0.0293359,0.0122619,0.00818269,0.000228183,0.580941,-1.56117e-07,6.0316e-24
0.0297376,0.0121537,0.00821098,0.000235226,0.584013,-1.55884e-07,2.19731e-23
0.0305412,0.0119372,0.00826755,0.000249313,0.590158,-1.55417e-07,5.38562e-23
0.0308626,0.0118506,0.00829018,0.000254948,0.592616,-1.55231e-07,6.66095e-23
0.0311841,0.0117641,0.00831281,0.000260583,0.595074,-1.55045e-07,7.93627e-23
0.0374399,0.0101162,0.00856472,0.000374248,0.635182,-1.2494e-07,-5.84569e-23
0.0383631,0.00988609,0.00858528,0.00039137,0.640338,-1.20061e-07,-8.76854e-23
0.0392863,0.00965601,0.00860585,0.000408493,0.645494,-1.10724e-07,-1.01902e-22
