# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	7.261277e-05
2             	9.065631e-05
3             	8.528823e-05
4             	9.374778e-05
5             	9.969362e-05
6             	1.046732e-04
7             	1.087846e-04
8             	1.123563e-04
9             	1.153796e-04
10            	1.182967e-04
11            	1.209611e-04
12            	1.234843e-04
13            	1.259081e-04
14            	1.282916e-04
15            	1.307342e-04
16            	1.331914e-04
17            	1.357388e-04
18            	1.383485e-04
19            	1.409556e-04
20            	1.435856e-04
21            	1.462541e-04
22            	1.489733e-04
23            	1.517600e-04
24            	1.545855e-04
25            	1.574630e-04
26            	1.603980e-04
27            	1.633784e-04
28            	1.664087e-04
29            	1.694797e-04
30            	1.725954e-04
31            	1.757501e-04
32            	1.789387e-04
33            	1.821663e-04
34            	1.854325e-04
35            	1.887320e-04
36            	1.920674e-04
37            	1.954378e-04
38            	1.988476e-04
39            	2.022848e-04
40            	2.057564e-04
41            	2.092554e-04
42            	2.127899e-04
43            	2.163556e-04
44            	2.199495e-04
45            	2.235764e-04
46            	2.272297e-04
47            	2.309125e-04
48            	2.346241e-04
49            	2.383655e-04
50            	2.421349e-04
51            	2.459281e-04
52            	2.497511e-04
53            	2.536015e-04
54            	2.574816e-04
55            	2.613907e-04
56            	2.653238e-04
57            	2.692882e-04
58            	2.732798e-04
59            	2.772994e-04
60            	2.813454e-04
61            	2.854211e-04
62            	2.895236e-04
63            	2.936578e-04
64            	2.978198e-04
65            	3.020114e-04
66            	3.062335e-04
67            	3.104858e-04
68            	3.147677e-04
69            	3.190809e-04
70            	3.234236e-04
71            	3.278000e-04
72            	3.322067e-04
73            	3.366466e-04
74            	3.411171e-04
75            	3.456215e-04
76            	3.501589e-04
77            	3.547301e-04
78            	3.593353e-04
79            	3.639760e-04
80            	3.686515e-04
81            	3.733621e-04
82            	3.781091e-04
83            	3.828917e-04
84            	3.877115e-04
85            	3.925680e-04
86            	3.974614e-04
87            	4.023923e-04
88            	4.073619e-04
89            	4.123696e-04
90            	4.174163e-04
91            	4.225013e-04
92            	4.276260e-04
93            	4.327904e-04
94            	4.379939e-04
95            	4.432373e-04
96            	4.485203e-04
97            	4.538429e-04
98            	4.592062e-04
99            	4.646099e-04
100           	4.700534e-04
101           	4.755373e-04
102           	4.810618e-04
103           	4.866261e-04
104           	4.922306e-04
105           	4.978744e-04
106           	5.035578e-04
107           	5.092810e-04
108           	5.150430e-04
109           	5.208447e-04
110           	5.266848e-04
111           	5.325630e-04
112           	5.384785e-04
113           	5.444325e-04
114           	5.504230e-04
115           	5.564502e-04
116           	5.625123e-04
117           	5.686107e-04
118           	5.747428e-04
119           	5.809093e-04
120           	5.871084e-04
121           	5.933401e-04
122           	5.996027e-04
123           	6.058966e-04
124           	6.122202e-04
125           	6.185723e-04
126           	6.249532e-04
127           	6.313612e-04
128           	6.377953e-04
129           	6.442541e-04
130           	6.507368e-04
131           	6.572428e-04
132           	6.637704e-04
133           	6.703184e-04
134           	6.770910e-04
135           	6.838668e-04
136           	6.906566e-04
137           	6.974593e-04
138           	7.042747e-04
139           	7.111030e-04
140           	7.179415e-04
141           	7.247895e-04
142           	7.316458e-04
143           	7.385095e-04
144           	7.453783e-04
145           	7.522515e-04
146           	7.591275e-04
147           	7.660050e-04
148           	7.728822e-04
149           	7.797586e-04
150           	7.866321e-04
151           	7.935015e-04
152           	8.003652e-04
153           	8.072222e-04
154           	8.140712e-04
155           	8.209112e-04
156           	8.277410e-04
157           	8.345587e-04
158           	8.413635e-04
159           	8.481542e-04
160           	8.549304e-04
161           	8.616906e-04
162           	8.684336e-04
163           	8.751579e-04
164           	8.818634e-04
165           	8.885494e-04
166           	8.952139e-04
167           	9.018578e-04
168           	9.084783e-04
169           	9.150772e-04
170           	9.216515e-04
171           	9.282022e-04
172           	9.347282e-04
173           	9.412288e-04
174           	9.477038e-04
