y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,4.61529e-05,1.41233e-06,1.49071e-10,0.0113326,-5.56816e-12,0
0.000496573,5.38433e-05,1.6477e-06,1.73917e-10,0.0132214,-6.91365e-12,0
0.000567512,6.15338e-05,1.88307e-06,1.98762e-10,0.0151102,-8.25913e-12,0
0.000851268,9.92685e-05,4.69633e-06,7.53625e-10,0.0227966,-1.75122e-11,0
0.00113502,0.000137003,7.50957e-06,1.30849e-09,0.030483,-3.32479e-11,0
0.00143917,0.000182376,1.30242e-05,2.99011e-09,0.0384361,-4.87501e-11,0
0.00174332,0.000227748,1.85389e-05,4.67174e-09,0.0463891,-7.68204e-11,0
0.00204747,0.000281926,2.74995e-05,8.40697e-09,0.0546177,-1.01208e-10,-5.95158e-26
0.00235161,0.000336103,3.646e-05,1.21422e-08,0.0628463,-1.4318e-10,-5.95158e-26
0.00267761,0.000400542,4.98181e-05,1.92673e-08,0.0713594,-1.7596e-10,-5.97291e-26
0.00300362,0.00046498,6.31762e-05,2.63925e-08,0.0798724,-2.32135e-10,5.44291e-26
0.00324812,0.000522272,7.7352e-05,3.56826e-08,0.0864772,-2.5633e-10,1.14113e-25
0.00349262,0.000579564,9.15277e-05,4.49726e-08,0.0930821,-3.10138e-10,2.55848e-26
0.00417977,0.000753346,0.000139805,8.18272e-08,0.111148,-4.39894e-10,-5.514e-26
0.00426713,0.000775944,0.000146277,8.69374e-08,0.113425,-4.61602e-10,-8.36796e-26
0.00435448,0.000798542,0.000152748,9.20476e-08,0.115702,-4.83311e-10,-1.12219e-25
0.00470391,0.000905458,0.000187329,1.24623e-07,0.125121,-5.41483e-10,-8.28776e-26
0.00505334,0.00101237,0.000221911,1.57198e-07,0.134541,-6.42901e-10,3.51597e-26
0.00542788,0.00113932,0.000267304,2.0818e-07,0.144277,-7.04585e-10,0
0.00580242,0.00126627,0.000312698,2.59161e-07,0.154014,-8.16091e-10,0
0.00617696,0.00141817,0.000371365,3.37901e-07,0.164075,-8.77139e-10,0
0.0065515,0.00157007,0.000430033,4.1664e-07,0.174135,-9.93707e-10,0
0.00695296,0.00175358,0.000504928,5.37686e-07,0.184523,-1.04467e-09,0
0.00735441,0.0019371,0.000579823,6.58732e-07,0.19491,-1.15487e-09,0
0.00775586,0.00215931,0.000674253,8.44823e-07,0.205624,-1.18613e-09,0
0.00815732,0.00238153,0.000768682,1.03091e-06,0.216338,-1.27752e-09,0
0.00858762,0.00264921,0.000886356,1.31916e-06,0.227369,-1.27322e-09,0
0.00901792,0.0029169,0.00100403,1.6074e-06,0.238401,-1.32523e-09,0
0.0119706,0.00542005,0.00217491,6.84305e-06,0.313762,-5.14118e-10,0
0.0123414,0.00578696,0.0023531,8.043e-06,0.322681,-2.8323e-10,0
0.0127122,0.00615386,0.00253129,9.24294e-06,0.3316,-5.23425e-11,0
0.0132065,0.00668619,0.00279522,1.15341e-05,0.343474,3.17921e-10,0
0.0137009,0.00721851,0.00305915,1.38253e-05,0.355349,7.29041e-10,0
0.0142308,0.0077713,0.00334069,1.69404e-05,0.367065,1.16362e-09,0
0.0147607,0.00832408,0.00362223,2.00555e-05,0.378782,1.6552e-09,0
0.0152906,0.00886715,0.00391039,2.40741e-05,0.390208,2.12437e-09,0
0.0158205,0.00941021,0.00419856,2.80926e-05,0.401634,2.65324e-09,0
0.0163884,0.00990937,0.00448157,3.30341e-05,0.412659,3.12972e-09,0
0.0169564,0.0104085,0.00476458,3.79756e-05,0.423684,3.65403e-09,0
0.0175244,0.0108351,0.00503276,4.38283e-05,0.434233,4.10794e-09,0
0.0180924,0.0112616,0.00530093,4.96811e-05,0.444782,4.5851e-09,0
0.0187011,0.0115962,0.00554727,5.64166e-05,0.454816,4.99753e-09,0
0.0193099,0.0119307,0.00579361,6.31522e-05,0.46485,5.40051e-09,0
0.0194621,0.0119894,0.00584879,6.50511e-05,0.467226,5.50072e-09,0
0.0196143,0.0120482,0.00590397,6.695e-05,0.469603,5.60093e-09,0
0.0221588,0.0127015,0.00670647,9.98462e-05,0.50608,6.73951e-09,0
0.0226482,0.0127389,0.00683208,0.000106795,0.512446,6.82514e-09,0
0.0231376,0.0127763,0.00695769,0.000113744,0.518812,6.91077e-09,0
0.0238371,0.0127512,0.00710054,0.000123829,0.52683,7.0725e-09,0
0.0245365,0.0127261,0.0072434,0.000133914,0.534848,7.09593e-09,0
0.0252359,0.0126398,0.00736383,0.000144816,0.542426,7.19634e-09,0
0.0259353,0.0125536,0.00748427,0.000155719,0.550004,7.13826e-09,0
0.026685,0.0124199,0.00758486,0.000167432,0.557176,7.18115e-09,6.09198e-25
