# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	7.300030e-03	4	true
2             	smoothSolver	1.126680e-01	9.323150e-03	5	1.000000e+00	8.310410e-02	2	false	GAMG	1.000000e+00	4.482570e-03	4	true
3             	smoothSolver	3.155710e-02	2.460780e-03	3	5.699790e-01	3.772560e-02	2	false	GAMG	1.461770e-01	1.044520e-03	6	true
4             	smoothSolver	2.180320e-02	1.644270e-03	4	4.571620e-01	2.671510e-02	3	false	GAMG	1.537820e-01	1.249050e-03	5	true
5             	smoothSolver	1.656720e-02	1.574200e-03	4	4.493180e-01	3.186060e-02	3	false	GAMG	1.215050e-01	1.059500e-03	4	true
6             	smoothSolver	1.321040e-02	9.308350e-04	5	4.750570e-01	3.769680e-02	3	false	GAMG	1.123970e-01	7.493830e-04	5	true
7             	smoothSolver	1.132230e-02	9.024310e-04	5	4.614660e-01	4.238810e-02	3	false	GAMG	1.060380e-01	8.611700e-04	5	true
8             	smoothSolver	9.972550e-03	8.749750e-04	5	4.102890e-01	2.773000e-02	4	false	GAMG	1.064590e-01	6.393980e-04	7	true
9             	smoothSolver	9.115280e-03	8.611950e-04	5	3.327090e-01	2.621130e-02	4	false	GAMG	9.644440e-02	9.161190e-04	5	true
10            	smoothSolver	8.467450e-03	5.461340e-04	6	2.900750e-01	2.631650e-02	4	false	GAMG	9.001990e-02	8.864830e-04	5	true
11            	smoothSolver	7.956210e-03	5.411970e-04	6	2.611330e-01	2.588650e-02	4	false	GAMG	8.604130e-02	8.016220e-04	5	true
12            	smoothSolver	7.677950e-03	5.376420e-04	6	2.572320e-01	2.558370e-02	4	false	GAMG	7.973340e-02	5.823980e-04	6	true
13            	smoothSolver	7.572560e-03	5.343890e-04	6	2.448360e-01	1.536860e-02	5	false	GAMG	7.690220e-02	5.679550e-04	6	true
14            	smoothSolver	7.531310e-03	5.328000e-04	6	2.282370e-01	1.497140e-02	5	false	GAMG	7.390080e-02	5.845400e-04	6	true
15            	smoothSolver	7.432140e-03	5.272560e-04	6	2.262320e-01	1.528690e-02	5	false	GAMG	7.395290e-02	6.212630e-04	6	true
16            	smoothSolver	7.347410e-03	5.233730e-04	6	2.157570e-01	1.576010e-02	5	false	GAMG	7.209150e-02	5.355080e-04	7	true
17            	smoothSolver	7.262360e-03	5.194640e-04	6	2.180350e-01	1.595710e-02	5	false	GAMG	7.031110e-02	4.288750e-04	7	true
18            	smoothSolver	7.180290e-03	5.155680e-04	6	2.180150e-01	1.541200e-02	5	false	GAMG	7.150900e-02	5.618270e-04	6	true
19            	smoothSolver	7.094810e-03	5.108760e-04	6	2.063320e-01	1.472840e-02	5	false	GAMG	7.031930e-02	6.239920e-04	6	true
20            	smoothSolver	7.012030e-03	5.064860e-04	6	2.011290e-01	1.476350e-02	5	false	GAMG	6.825050e-02	3.911080e-04	7	true
21            	smoothSolver	6.935950e-03	5.023000e-04	6	1.938540e-01	1.443930e-02	5	false	GAMG	7.035010e-02	3.872890e-04	7	true
22            	smoothSolver	6.835360e-03	4.962920e-04	6	1.890630e-01	1.481490e-02	5	false	GAMG	6.893650e-02	3.997980e-04	7	true
23            	smoothSolver	6.762020e-03	4.924700e-04	6	1.717690e-01	1.463720e-02	5	false	GAMG	6.541360e-02	3.894940e-04	7	true
24            	smoothSolver	6.676220e-03	4.877820e-04	6	1.766460e-01	1.385290e-02	5	false	GAMG	6.843450e-02	6.348060e-04	6	true
25            	smoothSolver	6.592620e-03	4.827390e-04	6	1.675270e-01	1.306430e-02	5	false	GAMG	6.840100e-02	5.794040e-04	6	true
26            	smoothSolver	6.502920e-03	4.773210e-04	6	1.526340e-01	1.203170e-02	5	false	GAMG	6.412220e-02	4.871110e-04	6	true
27            	smoothSolver	6.420020e-03	4.726170e-04	6	1.450660e-01	1.130160e-02	5	false	GAMG	6.164420e-02	4.390550e-04	6	true
28            	smoothSolver	6.328320e-03	4.670400e-04	6	1.469560e-01	1.122930e-02	5	false	GAMG	5.946260e-02	5.335480e-04	6	true
29            	smoothSolver	6.235450e-03	4.612240e-04	6	1.440100e-01	1.095050e-02	5	false	GAMG	5.879640e-02	3.657470e-04	7	true
30            	smoothSolver	6.144950e-03	4.554250e-04	6	1.335300e-01	1.048570e-02	5	false	GAMG	5.760400e-02	3.103870e-04	7	true
31            	smoothSolver	6.052900e-03	4.498310e-04	6	1.208430e-01	9.135660e-03	5	false	GAMG	5.664230e-02	5.407420e-04	5	true
32            	smoothSolver	5.954210e-03	4.438030e-04	6	1.131480e-01	8.277760e-03	5	false	GAMG	5.550050e-02	4.862130e-04	5	true
33            	smoothSolver	5.858030e-03	4.378130e-04	6	1.058430e-01	7.455020e-03	5	false	GAMG	5.265660e-02	3.687680e-04	6	true
34            	smoothSolver	5.761790e-03	4.318250e-04	6	9.842120e-02	6.811360e-03	5	false	GAMG	5.273290e-02	2.902070e-04	6	true
35            	smoothSolver	5.657060e-03	4.252280e-04	6	9.995970e-02	6.415150e-03	5	false	GAMG	5.035860e-02	4.526080e-04	5	true
36            	smoothSolver	5.554680e-03	4.185480e-04	6	8.873050e-02	8.725820e-03	4	false	GAMG	5.060400e-02	3.504890e-04	5	true
37            	smoothSolver	5.455330e-03	4.121490e-04	6	8.373470e-02	8.254340e-03	4	false	GAMG	4.914990e-02	3.870930e-04	5	true
38            	smoothSolver	5.355660e-03	4.056890e-04	6	7.951710e-02	7.910890e-03	4	false	GAMG	4.892000e-02	4.835950e-04	5	true
39            	smoothSolver	5.257700e-03	3.993260e-04	6	8.212150e-02	7.080230e-03	4	false	GAMG	5.125760e-02	4.744130e-04	5	true
40            	smoothSolver	5.163340e-03	3.932000e-04	6	7.150650e-02	6.818860e-03	4	false	GAMG	4.503500e-02	4.017570e-04	5	true
41            	smoothSolver	5.068050e-03	3.870820e-04	6	7.001450e-02	6.476910e-03	4	false	GAMG	4.784990e-02	2.114050e-04	6	true
42            	smoothSolver	4.977120e-03	3.811800e-04	6	6.551890e-02	6.331200e-03	4	false	GAMG	5.128330e-02	4.901180e-04	5	true
43            	smoothSolver	4.892310e-03	3.757320e-04	6	6.750050e-02	6.113030e-03	4	false	GAMG	5.196730e-02	4.337800e-04	5	true
44            	smoothSolver	4.809500e-03	3.703760e-04	6	6.544690e-02	4.387120e-03	5	false	GAMG	5.120460e-02	2.644450e-04	6	true
45            	smoothSolver	4.727930e-03	3.651360e-04	6	5.879200e-02	5.860010e-03	4	false	GAMG	4.705510e-02	4.563440e-04	5	true
46            	smoothSolver	4.650160e-03	3.601640e-04	6	5.519560e-02	3.717990e-03	5	false	GAMG	4.744530e-02	4.567320e-04	5	true
47            	smoothSolver	4.578360e-03	3.556070e-04	6	5.875910e-02	5.409020e-03	4	false	GAMG	5.732710e-02	4.437230e-04	5	true
48            	smoothSolver	4.510730e-03	3.513310e-04	6	5.406920e-02	3.952880e-03	5	false	GAMG	4.652620e-02	2.372810e-04	6	true
49            	smoothSolver	4.444740e-03	3.472250e-04	6	5.550830e-02	3.609180e-03	5	false	GAMG	5.250620e-02	1.763400e-04	6	true
50            	smoothSolver	4.384460e-03	3.434030e-04	6	5.169020e-02	3.487260e-03	5	false	GAMG	5.255090e-02	2.526880e-04	6	true
51            	smoothSolver	4.325660e-03	3.397180e-04	6	5.169110e-02	4.735530e-03	4	false	GAMG	5.430550e-02	5.167610e-04	4	true
52            	smoothSolver	4.268870e-03	3.361590e-04	6	5.368300e-02	5.022330e-03	4	false	GAMG	5.725220e-02	5.467720e-04	5	true
53            	smoothSolver	4.215340e-03	3.328080e-04	6	4.886950e-02	4.489780e-03	4	false	GAMG	5.491960e-02	4.995620e-04	5	true
54            	smoothSolver	4.166480e-03	3.297370e-04	6	5.102640e-02	5.102370e-03	4	false	GAMG	5.999600e-02	2.302710e-04	6	true
55            	smoothSolver	4.118530e-03	3.267610e-04	6	5.426040e-02	4.863870e-03	4	false	GAMG	6.591970e-02	6.500340e-04	5	true
56            	smoothSolver	4.073730e-03	3.239480e-04	6	5.160010e-02	3.267940e-03	5	false	GAMG	6.318710e-02	3.183810e-04	6	true
57            	smoothSolver	4.031140e-03	3.212450e-04	6	4.729030e-02	4.314790e-03	4	false	GAMG	6.145560e-02	2.309200e-04	6	true
58            	smoothSolver	3.989460e-03	3.185730e-04	6	4.705730e-02	4.082910e-03	4	false	GAMG	6.643200e-02	3.858640e-04	6	true
59            	smoothSolver	3.953120e-03	3.162620e-04	6	4.986160e-02	4.431090e-03	4	false	GAMG	6.847780e-02	3.022680e-04	6	true
60            	smoothSolver	3.917560e-03	3.140070e-04	6	4.381340e-02	3.768610e-03	4	false	GAMG	6.205870e-02	4.743450e-04	5	true
61            	smoothSolver	3.883830e-03	3.119140e-04	6	4.189040e-02	3.826440e-03	4	false	GAMG	6.316230e-02	4.770800e-04	5	true
62            	smoothSolver	3.851930e-03	3.099230e-04	6	4.539680e-02	3.822610e-03	4	false	GAMG	6.302270e-02	3.392580e-04	5	true
63            	smoothSolver	3.820800e-03	3.079610e-04	6	4.457040e-02	3.816690e-03	4	false	GAMG	6.108270e-02	3.989530e-04	5	true
64            	smoothSolver	3.790290e-03	3.060610e-04	6	4.859090e-02	4.033910e-03	4	false	GAMG	6.173330e-02	4.933750e-04	4	true
