y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.168263,0.000903339,2.31061e-06,0.0337924,1.46799e-08,0
0.000851268,0.15695,0.00135499,3.46591e-06,0.0506886,2.20199e-08,0
0.00113502,0.145634,0.00180675,4.62151e-06,0.0675855,3.09539e-08,0
0.00174332,0.117654,0.00338409,1.63247e-05,0.0991668,5.7138e-08,5.44561e-24
0.00235161,0.0896702,0.0049616,2.80292e-05,0.130748,8.72915e-08,8.30296e-24
0.00267761,0.0858315,0.00568211,3.93522e-05,0.14397,1.04104e-07,6.1195e-24
0.00300362,0.0819928,0.00640262,5.06752e-05,0.157192,1.20917e-07,3.93603e-24
0.00332962,0.0781542,0.00712313,6.19982e-05,0.170413,1.3773e-07,1.75256e-24
0.00470391,0.0682642,0.00941617,0.000114691,0.215363,2.006e-07,-6.52392e-24
0.00916136,0.0518229,0.0131141,0.000283836,0.307263,2.90912e-07,0
0.0147607,0.0403214,0.0150246,0.000476189,0.377485,3.08025e-07,0
0.0152906,0.0394894,0.0151455,0.000493592,0.382934,3.08527e-07,0
0.0158205,0.0386573,0.0152664,0.000510999,0.388384,3.1195e-07,0
0.0161045,0.0382823,0.0153169,0.000520063,0.390976,3.12923e-07,0
0.0163884,0.0379073,0.0153675,0.000529127,0.393569,3.13897e-07,0
0.0175244,0.0364073,0.0155697,0.000565383,0.403939,3.17793e-07,0
0.0218326,0.0317055,0.0161543,0.000698688,0.438619,3.51641e-07,0
0.0224851,0.0310881,0.016226,0.000718445,0.443419,3.57862e-07,0
0.0231376,0.0304705,0.0162977,0.000738208,0.44822,3.64965e-07,0
0.0245365,0.0293438,0.0164186,0.000779525,0.457538,3.82252e-07,2.24676e-23
0.0259353,0.028217,0.0165395,0.000820847,0.466855,3.9977e-07,3.84036e-23
0.0274347,0.027186,0.016641,0.000864079,0.475938,4.21836e-07,1.64215e-23
0.0289341,0.0261548,0.0167425,0.000907316,0.485021,4.43466e-07,8.29961e-25
0.0293359,0.0259183,0.0167636,0.00091863,0.487242,4.5009e-07,-4.78747e-24
0.0297376,0.0256817,0.0167848,0.000929944,0.489464,4.56715e-07,-1.04049e-23
0.0305412,0.0252086,0.0168271,0.000952572,0.493908,4.69965e-07,-2.16398e-23
0.0308626,0.0250194,0.016844,0.000961623,0.495685,4.75264e-07,-2.61337e-23
0.0311841,0.0248301,0.0168609,0.000970674,0.497463,4.80564e-07,-3.06276e-23
