# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	7.252107e-05
2             	-2.884377e-04
3             	-6.578113e-05
4             	-8.490074e-06
5             	1.706927e-05
6             	3.028696e-05
7             	3.630096e-05
8             	3.900161e-05
9             	4.165138e-05
10            	4.362084e-05
11            	4.473734e-05
12            	4.558621e-05
13            	4.641400e-05
14            	4.719771e-05
15            	4.781336e-05
16            	4.841783e-05
17            	4.907415e-05
18            	4.972365e-05
19            	5.036709e-05
20            	5.102372e-05
21            	5.164651e-05
22            	5.230355e-05
23            	5.294977e-05
24            	5.359492e-05
25            	5.425935e-05
26            	5.486092e-05
27            	5.550608e-05
28            	5.615289e-05
29            	5.676280e-05
30            	5.741005e-05
31            	5.805433e-05
32            	5.867323e-05
33            	5.930441e-05
34            	5.992569e-05
35            	6.054281e-05
36            	6.113567e-05
37            	6.167360e-05
38            	6.227373e-05
39            	6.285895e-05
40            	6.344823e-05
41            	6.405759e-05
42            	6.465199e-05
43            	6.526338e-05
44            	6.584392e-05
45            	6.643900e-05
46            	6.702976e-05
47            	6.762005e-05
48            	6.820516e-05
49            	6.878442e-05
50            	6.937204e-05
51            	6.996441e-05
52            	7.055387e-05
53            	7.114059e-05
54            	7.172658e-05
55            	7.232355e-05
56            	7.292163e-05
57            	7.351951e-05
58            	7.412291e-05
59            	7.473569e-05
60            	7.534827e-05
61            	7.596812e-05
62            	7.659439e-05
63            	7.722933e-05
64            	7.787354e-05
65            	7.852522e-05
66            	7.918554e-05
67            	7.986031e-05
68            	8.054566e-05
69            	8.124303e-05
70            	8.195509e-05
71            	8.268328e-05
72            	8.342640e-05
73            	8.418786e-05
74            	8.497075e-05
75            	8.577167e-05
76            	8.659565e-05
77            	8.744314e-05
78            	8.831647e-05
79            	8.921774e-05
80            	9.014731e-05
81            	9.110898e-05
82            	9.210119e-05
83            	9.312878e-05
84            	9.419287e-05
85            	9.529696e-05
86            	9.644165e-05
87            	9.763115e-05
88            	9.886725e-05
89            	1.001531e-04
90            	1.014925e-04
91            	1.028890e-04
92            	1.043452e-04
93            	1.058671e-04
94            	1.074576e-04
95            	1.091217e-04
96            	1.108646e-04
97            	1.126920e-04
98            	1.146074e-04
99            	1.166183e-04
100           	1.187318e-04
101           	1.209555e-04
102           	1.232946e-04
103           	1.257605e-04
104           	1.283581e-04
105           	1.310983e-04
106           	1.339894e-04
107           	1.370406e-04
108           	1.402636e-04
109           	1.436671e-04
110           	1.472604e-04
111           	1.510531e-04
112           	1.550553e-04
113           	1.592768e-04
114           	1.637236e-04
115           	1.684043e-04
116           	1.733245e-04
117           	1.784896e-04
118           	1.839024e-04
119           	1.895643e-04
120           	1.954748e-04
121           	2.016326e-04
122           	2.080337e-04
123           	2.146724e-04
124           	2.215420e-04
125           	2.286330e-04
126           	2.359355e-04
127           	2.434388e-04
128           	2.511305e-04
129           	2.589994e-04
130           	2.670314e-04
131           	2.752170e-04
132           	2.835436e-04
133           	2.919972e-04
134           	3.005640e-04
135           	3.092319e-04
136           	3.179882e-04
137           	3.268231e-04
138           	3.357257e-04
139           	3.446877e-04
140           	3.536997e-04
141           	3.627545e-04
142           	3.718439e-04
143           	3.809621e-04
144           	3.901026e-04
145           	3.994152e-04
146           	4.087394e-04
147           	4.180693e-04
148           	4.273999e-04
149           	4.367270e-04
150           	4.460478e-04
151           	4.553594e-04
152           	4.646586e-04
153           	4.739428e-04
154           	4.832097e-04
155           	4.924578e-04
156           	5.016847e-04
157           	5.108881e-04
158           	5.200535e-04
159           	5.291768e-04
160           	5.382621e-04
161           	5.473126e-04
162           	5.563314e-04
163           	5.653197e-04
164           	5.742775e-04
165           	5.832044e-04
166           	5.920999e-04
167           	6.009638e-04
168           	6.097948e-04
169           	6.185932e-04
170           	6.273577e-04
171           	6.360882e-04
172           	6.447839e-04
173           	6.534446e-04
174           	6.620699e-04
175           	6.706592e-04
176           	6.792126e-04
177           	6.877293e-04
178           	6.962095e-04
179           	7.046530e-04
180           	7.130593e-04
181           	7.214282e-04
182           	7.297600e-04
183           	7.380536e-04
184           	7.463101e-04
185           	7.545286e-04
186           	7.627094e-04
187           	7.708522e-04
188           	7.789567e-04
189           	7.870235e-04
190           	7.950519e-04
191           	8.030421e-04
192           	8.109939e-04
193           	8.189076e-04
194           	8.267829e-04
195           	8.346199e-04
196           	8.424185e-04
197           	8.501789e-04
198           	8.579010e-04
199           	8.655852e-04
200           	8.732308e-04
201           	8.808382e-04
202           	8.884072e-04
203           	8.959384e-04
204           	9.034309e-04
205           	9.108853e-04
206           	9.183016e-04
207           	9.256798e-04
208           	9.330201e-04
209           	9.403222e-04
210           	9.475864e-04
211           	9.548129e-04
212           	9.620012e-04
213           	9.691519e-04
214           	9.762647e-04
215           	9.833400e-04
216           	9.903777e-04
217           	9.973778e-04
218           	1.004340e-03
219           	1.011265e-03
220           	1.018153e-03
221           	1.025003e-03
222           	1.031817e-03
223           	1.038592e-03
224           	1.045331e-03
225           	1.052033e-03
226           	1.058698e-03
227           	1.065326e-03
228           	1.071917e-03
229           	1.078472e-03
230           	1.084989e-03
231           	1.091470e-03
232           	1.097915e-03
233           	1.104323e-03
234           	1.110695e-03
235           	1.117030e-03
236           	1.123329e-03
237           	1.129592e-03
238           	1.135819e-03
239           	1.142010e-03
240           	1.148165e-03
241           	1.154284e-03
242           	1.160368e-03
243           	1.166416e-03
244           	1.172428e-03
245           	1.178405e-03
246           	1.184346e-03
247           	1.190252e-03
248           	1.196123e-03
249           	1.201959e-03
250           	1.207760e-03
251           	1.213526e-03
252           	1.219257e-03
253           	1.224953e-03
254           	1.230615e-03
255           	1.236241e-03
256           	1.241834e-03
257           	1.247392e-03
258           	1.252915e-03
259           	1.258405e-03
260           	1.263860e-03
261           	1.269281e-03
262           	1.274669e-03
263           	1.280022e-03
264           	1.285342e-03
265           	1.290628e-03
266           	1.295880e-03
267           	1.301100e-03
268           	1.306285e-03
269           	1.311438e-03
270           	1.316557e-03
271           	1.321644e-03
272           	1.326697e-03
273           	1.331717e-03
274           	1.336705e-03
275           	1.341660e-03
276           	1.346583e-03
277           	1.351473e-03
278           	1.356331e-03
279           	1.361156e-03
280           	1.365950e-03
281           	1.370711e-03
282           	1.375440e-03
283           	1.380137e-03
284           	1.384803e-03
285           	1.389438e-03
286           	1.394040e-03
287           	1.398611e-03
288           	1.403151e-03
289           	1.407660e-03
290           	1.412138e-03
291           	1.416584e-03
292           	1.421000e-03
293           	1.425385e-03
294           	1.429739e-03
295           	1.434063e-03
296           	1.438356e-03
297           	1.442619e-03
298           	1.446852e-03
299           	1.451054e-03
300           	1.455226e-03
301           	1.459369e-03
302           	1.463482e-03
303           	1.467565e-03
304           	1.471618e-03
305           	1.475642e-03
306           	1.479637e-03
307           	1.483602e-03
308           	1.487538e-03
309           	1.491445e-03
310           	1.495323e-03
311           	1.499172e-03
312           	1.502993e-03
313           	1.506785e-03
314           	1.510548e-03
315           	1.514283e-03
316           	1.517990e-03
317           	1.521668e-03
318           	1.525319e-03
319           	1.528942e-03
320           	1.532536e-03
321           	1.536104e-03
322           	1.539643e-03
323           	1.543155e-03
324           	1.546639e-03
325           	1.550097e-03
326           	1.553527e-03
327           	1.556930e-03
328           	1.560306e-03
329           	1.563656e-03
330           	1.566978e-03
331           	1.570274e-03
332           	1.573544e-03
333           	1.576787e-03
334           	1.580003e-03
335           	1.583194e-03
336           	1.586358e-03
337           	1.589497e-03
338           	1.592609e-03
339           	1.595696e-03
340           	1.598758e-03
341           	1.601794e-03
342           	1.604804e-03
343           	1.607789e-03
344           	1.610749e-03
345           	1.613683e-03
346           	1.616593e-03
347           	1.619478e-03
348           	1.622338e-03
349           	1.625174e-03
350           	1.627985e-03
351           	1.630771e-03
352           	1.633533e-03
353           	1.636271e-03
354           	1.638985e-03
355           	1.641675e-03
356           	1.644341e-03
357           	1.646983e-03
358           	1.649601e-03
359           	1.652196e-03
360           	1.654767e-03
361           	1.657315e-03
362           	1.659840e-03
363           	1.662341e-03
364           	1.664819e-03
365           	1.667275e-03
366           	1.669708e-03
367           	1.672118e-03
368           	1.674505e-03
369           	1.676870e-03
370           	1.679210e-03
371           	1.681526e-03
372           	1.683819e-03
373           	1.686088e-03
374           	1.688333e-03
375           	1.690555e-03
376           	1.692755e-03
377           	1.694933e-03
378           	1.697089e-03
379           	1.699224e-03
380           	1.701337e-03
381           	1.703430e-03
382           	1.705501e-03
383           	1.707551e-03
384           	1.709581e-03
385           	1.711590e-03
386           	1.713579e-03
387           	1.715547e-03
388           	1.717495e-03
389           	1.719422e-03
390           	1.721331e-03
391           	1.723222e-03
392           	1.725095e-03
393           	1.726948e-03
394           	1.728783e-03
395           	1.730598e-03
396           	1.732394e-03
397           	1.734171e-03
398           	1.735928e-03
399           	1.737666e-03
400           	1.739385e-03
401           	1.741084e-03
402           	1.742764e-03
403           	1.744425e-03
