# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	8.942370e-03	13	true
2             	smoothSolver	1.062610e-01	9.390830e-03	8	1.000000e+00	6.687960e-02	2	false	GAMG	1.000000e+00	9.660590e-03	5	true
3             	smoothSolver	2.001380e-02	1.360160e-03	4	5.045020e-01	3.412290e-02	3	false	GAMG	1.249870e-01	1.181390e-03	8	true
4             	smoothSolver	1.399340e-02	1.360890e-03	5	4.403240e-01	2.425710e-02	3	false	GAMG	1.335110e-01	9.404880e-04	6	true
5             	smoothSolver	1.007800e-02	8.097240e-04	6	4.750690e-01	4.176660e-02	3	false	GAMG	1.432460e-01	1.030330e-03	4	true
6             	smoothSolver	7.794440e-03	7.337970e-04	6	5.659470e-01	4.186180e-02	4	false	GAMG	1.215610e-01	7.971180e-04	5	true
7             	smoothSolver	6.312980e-03	4.970850e-04	7	5.442200e-01	4.532840e-02	4	false	GAMG	1.084760e-01	6.585130e-04	6	true
8             	smoothSolver	5.291380e-03	4.587130e-04	7	4.495540e-01	4.317600e-02	4	false	GAMG	1.036920e-01	7.706470e-04	6	true
9             	smoothSolver	4.545520e-03	4.271830e-04	7	4.019130e-01	2.946810e-02	5	false	GAMG	1.079530e-01	9.001710e-04	6	true
10            	smoothSolver	4.076370e-03	3.130380e-04	8	3.514000e-01	3.038190e-02	5	false	GAMG	1.045000e-01	1.001670e-03	7	true
11            	smoothSolver	3.728980e-03	3.068560e-04	8	3.176580e-01	3.166660e-02	5	false	GAMG	9.977140e-02	9.016750e-04	6	true
12            	smoothSolver	3.447080e-03	3.015170e-04	8	2.655130e-01	2.159320e-02	6	false	GAMG	9.638840e-02	7.995440e-04	7	true
13            	smoothSolver	3.231740e-03	2.989220e-04	8	2.416280e-01	2.121940e-02	6	false	GAMG	9.959250e-02	9.796530e-04	7	true
14            	smoothSolver	3.057850e-03	2.971160e-04	8	2.165440e-01	1.635950e-02	7	false	GAMG	9.433440e-02	9.172330e-04	8	true
15            	smoothSolver	2.927510e-03	2.299440e-04	9	1.903980e-01	1.602140e-02	7	false	GAMG	9.155040e-02	7.706120e-04	10	true
16            	smoothSolver	2.814060e-03	2.308060e-04	9	1.768010e-01	1.636550e-02	7	false	GAMG	9.097410e-02	8.641290e-04	10	true
17            	smoothSolver	2.724690e-03	2.318230e-04	9	1.726750e-01	1.645950e-02	7	false	GAMG	9.142400e-02	8.652590e-04	14	true
18            	smoothSolver	2.653910e-03	2.334220e-04	9	1.581040e-01	1.570520e-02	7	false	GAMG	9.201980e-02	8.755130e-04	16	true
19            	smoothSolver	2.596460e-03	2.349480e-04	9	1.532820e-01	1.221660e-02	8	false	GAMG	9.645930e-02	9.337370e-04	12	true
20            	smoothSolver	2.573220e-03	2.369900e-04	9	1.354250e-01	1.189720e-02	8	false	GAMG	9.157010e-02	8.971100e-04	18	true
21            	smoothSolver	2.568560e-03	2.384850e-04	9	1.300260e-01	1.149260e-02	8	false	GAMG	8.684110e-02	8.570990e-04	18	true
22            	smoothSolver	2.575440e-03	2.406710e-04	9	1.286920e-01	1.123520e-02	8	false	GAMG	8.672640e-02	8.420010e-04	17	true
23            	smoothSolver	2.576490e-03	2.424610e-04	9	1.263800e-01	1.125260e-02	8	false	GAMG	8.729820e-02	8.725810e-04	17	true
24            	smoothSolver	2.579200e-03	2.442100e-04	9	1.179810e-01	1.096940e-02	8	false	GAMG	8.365500e-02	8.148880e-04	19	true
25            	smoothSolver	2.582730e-03	2.460810e-04	9	1.128550e-01	1.085330e-02	8	false	GAMG	8.788010e-02	8.438010e-04	17	true
26            	smoothSolver	2.576180e-03	2.468840e-04	9	1.107910e-01	1.066770e-02	8	false	GAMG	8.634380e-02	8.414610e-04	13	true
27            	smoothSolver	2.576290e-03	2.479130e-04	9	1.065450e-01	1.037590e-02	8	false	GAMG	8.286800e-02	7.609670e-04	17	true
28            	smoothSolver	2.578250e-03	2.492610e-04	9	1.002370e-01	7.925840e-03	9	false	GAMG	8.011540e-02	7.841950e-04	16	true
29            	smoothSolver	2.574190e-03	2.501390e-04	9	9.718980e-02	7.744810e-03	9	false	GAMG	8.467870e-02	8.072140e-04	14	true
30            	smoothSolver	2.573960e-03	2.511100e-04	9	9.534560e-02	7.739230e-03	9	false	GAMG	7.852220e-02	7.390770e-04	18	true
31            	smoothSolver	2.573270e-03	2.523430e-04	9	9.537110e-02	7.724950e-03	9	false	GAMG	7.470090e-02	7.374260e-04	16	true
32            	smoothSolver	2.571230e-03	2.532500e-04	9	9.208120e-02	7.680000e-03	9	false	GAMG	7.543010e-02	7.120460e-04	16	true
33            	smoothSolver	2.569470e-03	2.540400e-04	9	9.074340e-02	7.586830e-03	9	false	GAMG	7.858120e-02	7.691030e-04	16	true
34            	smoothSolver	2.566760e-03	2.548010e-04	9	9.015960e-02	7.606430e-03	9	false	GAMG	8.036550e-02	7.798980e-04	18	true
35            	smoothSolver	2.564980e-03	2.554730e-04	9	8.939200e-02	7.684350e-03	9	false	GAMG	8.009800e-02	7.813700e-04	18	true
36            	smoothSolver	2.560430e-03	2.558160e-04	9	8.737620e-02	7.596210e-03	9	false	GAMG	7.945210e-02	7.435620e-04	22	true
37            	smoothSolver	2.556100e-03	2.025640e-04	10	8.572500e-02	7.478690e-03	9	false	GAMG	8.555850e-02	8.535240e-04	20	true
38            	smoothSolver	2.552070e-03	2.030470e-04	10	8.333330e-02	7.323740e-03	9	false	GAMG	8.710600e-02	8.708820e-04	21	true
39            	smoothSolver	2.546400e-03	2.032970e-04	10	8.272440e-02	7.153590e-03	9	false	GAMG	8.961540e-02	8.403100e-04	23	true
40            	smoothSolver	2.540380e-03	2.034340e-04	10	7.979320e-02	6.951810e-03	9	false	GAMG	8.496600e-02	8.184850e-04	21	true
41            	smoothSolver	2.536740e-03	2.037500e-04	10	7.567720e-02	6.711700e-03	9	false	GAMG	8.836420e-02	8.415030e-04	19	true
42            	smoothSolver	2.533480e-03	2.041460e-04	10	7.183120e-02	6.434610e-03	9	false	GAMG	9.470890e-02	9.354250e-04	17	true
43            	smoothSolver	2.531210e-03	2.046070e-04	10	6.813370e-02	6.159580e-03	9	false	GAMG	1.015290e-01	9.803600e-04	19	true
44            	smoothSolver	2.525970e-03	2.048910e-04	10	6.545540e-02	6.020040e-03	9	false	GAMG	8.931720e-02	8.504550e-04	21	true
45            	smoothSolver	2.521850e-03	2.050920e-04	10	6.333830e-02	5.922380e-03	9	false	GAMG	9.133270e-02	9.095200e-04	18	true
46            	smoothSolver	2.517900e-03	2.053920e-04	10	6.357660e-02	5.846020e-03	9	false	GAMG	9.221340e-02	9.095400e-04	19	true
47            	smoothSolver	2.513610e-03	2.056460e-04	10	5.960490e-02	5.632780e-03	9	false	GAMG	8.734780e-02	8.486800e-04	19	true
48            	smoothSolver	2.510050e-03	2.058960e-04	10	5.852860e-02	5.537460e-03	9	false	GAMG	7.804950e-02	7.567920e-04	22	true
49            	smoothSolver	2.504930e-03	2.060140e-04	10	5.654990e-02	5.422140e-03	9	false	GAMG	7.492890e-02	7.403010e-04	20	true
50            	smoothSolver	2.500970e-03	2.062140e-04	10	5.527440e-02	5.309680e-03	9	false	GAMG	7.257700e-02	6.845080e-04	22	true
51            	smoothSolver	2.497460e-03	2.065030e-04	10	5.406740e-02	5.169520e-03	9	false	GAMG	6.694700e-02	6.617310e-04	22	true
52            	smoothSolver	2.494030e-03	2.067920e-04	10	5.310920e-02	5.076130e-03	9	false	GAMG	6.998790e-02	6.715620e-04	20	true
53            	smoothSolver	2.490020e-03	2.070090e-04	10	5.179740e-02	4.956890e-03	9	false	GAMG	6.847940e-02	6.330390e-04	20	true
54            	smoothSolver	2.485940e-03	2.072000e-04	10	4.897270e-02	4.818990e-03	9	false	GAMG	6.161410e-02	6.070100e-04	20	true
55            	smoothSolver	2.482040e-03	2.073950e-04	10	4.812960e-02	4.757610e-03	9	false	GAMG	5.860830e-02	5.617290e-04	22	true
56            	smoothSolver	2.478310e-03	2.076340e-04	10	4.668150e-02	3.699850e-03	10	false	GAMG	5.411690e-02	5.154390e-04	24	true
57            	smoothSolver	2.474590e-03	2.078640e-04	10	4.639570e-02	4.557280e-03	9	false	GAMG	5.676100e-02	5.658000e-04	18	true
58            	smoothSolver	2.470820e-03	2.080720e-04	10	4.543360e-02	4.521590e-03	9	false	GAMG	5.289580e-02	4.995710e-04	24	true
59            	smoothSolver	2.467430e-03	2.083170e-04	10	4.393360e-02	3.511730e-03	10	false	GAMG	4.993820e-02	4.682390e-04	24	true
60            	smoothSolver	2.463310e-03	2.085230e-04	10	4.228170e-02	3.393070e-03	10	false	GAMG	4.827240e-02	4.499520e-04	22	true
61            	smoothSolver	2.459210e-03	2.087030e-04	10	4.136540e-02	3.321410e-03	10	false	GAMG	5.039570e-02	4.904060e-04	19	true
