y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,0.2425,0.000532112,3.48516e-07,0.0258735,-2.16651e-08,0
0.000496573,0.233684,0.000620843,4.06633e-07,0.030186,-2.45722e-08,0
0.000567512,0.224868,0.000709574,4.6475e-07,0.0344985,-2.74793e-08,0
0.000851268,0.178797,0.00141744,2.12075e-06,0.0517295,-6.90451e-08,0
0.00113502,0.132688,0.00212584,3.77806e-06,0.068962,-9.92462e-08,0
0.00143917,0.117111,0.00298581,8.70508e-06,0.0857323,-1.67709e-07,0
0.00174332,0.101519,0.00384637,1.36359e-05,0.102504,-2.17655e-07,0
0.00204747,0.0943349,0.00470625,2.24679e-05,0.117959,-3.00164e-07,-6.76355e-24
0.00235161,0.0871429,0.00556665,3.13062e-05,0.133414,-3.58487e-07,-6.76355e-24
0.00267761,0.0832024,0.00632926,4.29638e-05,0.147133,-4.40994e-07,4.98671e-24
0.00300362,0.0792572,0.00709225,5.46293e-05,0.16085,-4.96027e-07,3.21617e-23
0.00324812,0.0772872,0.00757531,6.45211e-05,0.169911,-5.5752e-07,3.20418e-23
0.00349262,0.0753137,0.00805866,7.44218e-05,0.178972,-5.90032e-07,1.38924e-23
0.00417977,0.0708899,0.00919141,0.000101982,0.201135,-6.82971e-07,-2.0985e-23
0.00426713,0.0703715,0.00932654,0.000105477,0.203822,-6.89969e-07,-2.77787e-23
0.00435448,0.069853,0.00946166,0.000108972,0.206509,-6.96968e-07,-3.45725e-23
0.00470391,0.0680715,0.00991794,0.000123377,0.216204,-7.38437e-07,-2.16392e-23
0.00505334,0.0662879,0.0103744,0.000137793,0.225898,-7.51277e-07,2.55998e-24
0.00542788,0.0646863,0.0107646,0.000152496,0.234767,-7.78212e-07,0
0.00580242,0.063083,0.0111549,0.000167209,0.243634,-7.77864e-07,0
0.00617696,0.0616135,0.0114921,0.000182151,0.251837,-7.92454e-07,0
0.0065515,0.0601427,0.0118295,0.000197104,0.26004,-7.81608e-07,0
0.00695296,0.0587791,0.0121242,0.000212272,0.267706,-7.86444e-07,0
0.00735441,0.0574143,0.012419,0.000227451,0.275371,-7.68015e-07,0
0.00775586,0.0561414,0.0126786,0.000242845,0.28259,-7.65614e-07,0
0.00815732,0.0548675,0.0129383,0.000258251,0.289808,-7.42305e-07,0
0.00858762,0.0536741,0.013169,0.000273882,0.296655,-7.3511e-07,0
0.00901792,0.0524797,0.0133997,0.000289526,0.303502,-7.09436e-07,0
0.0119706,0.04565,0.0145926,0.000394848,0.344034,-6.06624e-07,0
0.0123414,0.0449412,0.0147063,0.000407406,0.348399,-5.93188e-07,0
0.0127122,0.0442324,0.0148199,0.000419964,0.352763,-5.79751e-07,0
0.0132065,0.0433379,0.0149577,0.000437011,0.358402,-5.73718e-07,0
0.0137009,0.0424427,0.0150956,0.00045407,0.364041,-5.60301e-07,0
0.0142308,0.0415941,0.0152212,0.000471448,0.369521,-5.5739e-07,0
0.0147607,0.0407449,0.0153469,0.000488839,0.375001,-5.48931e-07,0
0.0152906,0.039939,0.0154617,0.000506563,0.38034,-5.49474e-07,0
0.0158205,0.0391325,0.0155765,0.000524302,0.385679,-5.46197e-07,0
0.0163884,0.038366,0.0156817,0.000542388,0.390892,-5.50371e-07,0
0.0169564,0.0375991,0.0157868,0.000560488,0.396105,-5.52343e-07,0
0.0175244,0.0368696,0.0158832,0.000578951,0.401204,-5.60151e-07,0
0.0180924,0.0361396,0.0159796,0.000597428,0.406304,-5.67314e-07,0
0.0187011,0.0354443,0.016068,0.000616283,0.411303,-5.78652e-07,0
0.0193099,0.0347487,0.0161565,0.000635152,0.416301,-5.90842e-07,0
0.0194621,0.0345829,0.0161768,0.000639964,0.417528,-5.93926e-07,0
0.0196143,0.0344172,0.0161971,0.000644776,0.418755,-5.97009e-07,0
0.0221588,0.0318533,0.0165024,0.000723115,0.438137,-6.69374e-07,0
0.0226482,0.0313994,0.0165537,0.000738212,0.441699,-6.88712e-07,0
0.0231376,0.0309456,0.0166051,0.000753308,0.44526,-7.08051e-07,0
0.0238371,0.0303672,0.016668,0.000773872,0.449941,-7.30915e-07,0
0.0245365,0.0297886,0.0167309,0.000794448,0.454622,-7.60607e-07,0
0.0252359,0.0292351,0.0167886,0.000815475,0.45924,-7.85478e-07,0
0.0259353,0.0286815,0.0168462,0.000836513,0.463859,-8.1875e-07,0
0.026685,0.0281515,0.0168991,0.000858015,0.468421,-8.45205e-07,5.13985e-23
0.0274347,0.0276214,0.0169518,0.000879528,0.472984,-8.8168e-07,1.32996e-22
0.0281844,0.0271136,0.0170001,0.00090152,0.477495,-9.09292e-07,8.20846e-23
0.0289341,0.0266057,0.0170484,0.000923522,0.482005,-9.48604e-07,1.25935e-24
0.0297376,0.0261189,0.0170924,0.000946017,0.486469,-9.76902e-07,-5.01398e-23
0.0305412,0.0256319,0.0171364,0.00096852,0.490933,-1.01862e-06,-1.31739e-22
0.0374399,0.0221131,0.0174128,0.0011591,0.525861,-1.31016e-06,0
0.0383631,0.0217156,0.0174389,0.00118431,0.530146,-1.33403e-06,0
0.0392863,0.021318,0.0174649,0.00120952,0.53443,-1.38031e-06,0
0.0402759,0.0209358,0.0174879,0.00123531,0.538688,-1.40147e-06,5.65035e-23
0.0412654,0.0205535,0.0175108,0.0012611,0.542945,-1.44678e-06,1.37349e-22
0.0422549,0.0201858,0.0175309,0.00128749,0.547179,-1.46458e-06,7.09537e-23
0.0432445,0.0198181,0.0175509,0.00131387,0.551412,-1.50817e-06,-9.57867e-24
0.0443051,0.0194642,0.0175681,0.00134087,0.555623,-1.52189e-06,-4.13366e-23
