y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,7.5,0.4,0,0,0,0
0.000851268,11.25,0.6,0,0,0,0
0.00113502,15,0.8,0,0,0,0
0.00174332,15,0.8,0,0,0,0
0.00235161,15,0.8,0,0,0,0
0.00267761,15,0.8,0,0,0,0
0.00300362,15,0.8,0,0,0,0
0.00332962,15,0.8,0,0,0,0
0.00470391,15,0.8,0,0,0,0
0.00916136,15,0.8,0,0,0,0
0.0147607,15,0.8,0,0,0,0
0.0152906,15,0.8,0,0,0,0
0.0158205,15,0.8,0,0,0,0
0.0161045,15,0.8,0,0,0,0
0.0163884,15,0.8,0,0,0,0
0.0175244,15,0.8,0,0,0,0
0.0218326,15,0.8,0,0,0,0
0.0224851,15,0.8,0,0,0,0
0.0231376,15,0.8,0,0,0,0
0.0245365,15,0.8,0,0,0,0
0.0259353,15,0.8,0,0,0,0
0.0274347,15,0.8,0,0,0,0
0.0289341,15,0.8,0,0,0,0
0.0293359,15,0.8,0,0,0,0
0.0297376,15,0.8,0,0,0,0
0.0305412,15,0.8,0,0,0,0
0.0308626,15,0.8,0,0,0,0
0.0311841,15,0.8,0,0,0,0
0.0374399,15,0.8,0,0,0,0
0.0383631,15,0.8,0,0,0,0
0.0392863,15,0.8,0,0,0,0
0.0412654,15,0.8,0,0,0,0
0.0432445,15,0.8,0,0,0,0
0.0453658,15,0.8,0,0,0,0
0.0608271,15,0.8,0,0,0,0
0.0614802,15,0.8,0,0,0,0
0.0621332,15,0.8,0,0,0,0
0.0649332,15,0.8,0,0,0,0
0.0663332,15,0.8,0,0,0,0
0.0677332,15,0.8,0,0,0,0
0.0707343,15,0.8,0,0,0,0
0.0737355,15,0.8,0,0,0,0
0.0769523,15,0.8,0,0,0,0
0.0801692,15,0.8,0,0,0,0
0.0836172,15,0.8,0,0,0,0
0.0870652,15,0.8,0,0,0,0
0.090761,15,0.8,0,0,0,0
0.0944567,15,0.8,0,0,0,0
0.0984181,15,0.8,0,0,0,0
0.102379,15,0.8,0,0,0,0
0.106625,15,0.8,0,0,0,0
0.110871,15,0.8,0,0,0,0
0.115423,15,0.8,0,0,0,0
0.119974,15,0.8,0,0,0,0
0.124852,15,0.8,0,0,0,0
0.12973,15,0.8,0,0,0,0
0.134959,15,0.8,0,0,0,0
0.140188,15,0.8,0,0,0,0
0.145792,15,0.8,0,0,0,0
0.151397,15,0.8,0,0,0,0
0.157404,15,0.8,0,0,0,0
0.163411,15,0.8,0,0,0,0
0.16985,15,0.8,0,0,0,0
0.176289,15,0.8,0,0,0,0
0.18319,15,0.8,0,0,0,0
0.190092,15,0.8,0,0,0,0
0.197489,15,0.8,0,0,0,0
0.204887,15,0.8,0,0,0,0
0.212816,15,0.8,0,0,0,0
0.220745,15,0.8,0,0,0,0
0.229244,15,0.8,0,0,0,0
0.237743,15,0.8,0,0,0,0
0.246853,15,0.8,0,0,0,0
0.255962,15,0.8,0,0,0,0
0.265727,15,0.8,0,0,0,0
0.275491,15,0.8,0,0,0,0
0.285957,15,0.8,0,0,0,0
0.296423,15,0.8,0,0,0,0
0.307641,15,0.8,0,0,0,0
0.318859,15,0.8,0,0,0,0
0.330883,15,0.8,0,0,0,0
0.342907,15,0.8,0,0,0,0
0.355795,15,0.8,0,0,0,0
0.368683,15,0.8,0,0,0,0
0.382498,15,0.8,0,0,0,0
0.396312,15,0.8,0,0,0,0
0.411119,15,0.8,0,0,0,0
0.425926,15,0.8,0,0,0,0
0.441797,15,0.8,0,0,0,0
0.457668,15,0.8,0,0,0,0
0.47468,15,0.8,0,0,0,0
0.491692,15,0.8,0,0,0,0
0.509926,15,0.8,0,0,0,0
0.52816,15,0.8,0,0,0,0
0.547704,15,0.8,0,0,0,0
0.567248,15,0.8,0,0,0,0
0.588197,15,0.8,0,0,0,0
0.609146,15,0.8,0,0,0,0
0.6316,15,0.8,0,0,0,0
0.654054,15,0.8,0,0,0,0
0.678122,15,0.8,0,0,0,0
0.70219,15,0.8,0,0,0,0
0.727987,15,0.8,0,0,0,0
0.753784,15,0.8,0,0,0,0
0.781436,15,0.8,0,0,0,0
0.809087,15,0.8,0,0,0,0
0.838725,15,0.8,0,0,0,0
0.868363,15,0.8,0,0,0,0
0.900131,15,0.8,0,0,0,0
0.931899,15,0.8,0,0,0,0
0.965949,15,0.8,0,0,0,0
1,15,0.8,0,0,0,0
