y,epsilon,k,nut,U_0,U_1,U_2
0.000425634,11.25,0.6,0,0,0,0
0.000496573,13.125,0.7,0,0,0,0
0.000567512,15,0.8,0,0,0,0
0.000851268,15,0.8,0,0,0,0
0.00113502,15,0.8,0,0,0,0
0.00143917,15,0.8,0,0,0,0
0.00174332,15,0.8,0,0,0,0
0.00204747,15,0.8,0,0,0,0
0.00235161,15,0.8,0,0,0,0
0.00267761,15,0.8,0,0,0,0
0.00300362,15,0.8,0,0,0,0
0.00324812,15,0.8,0,0,0,0
0.00349262,15,0.8,0,0,0,0
0.00417977,15,0.8,0,0,0,0
0.00426713,15,0.8,0,0,0,0
0.00435448,15,0.8,0,0,0,0
0.00470391,15,0.8,0,0,0,0
0.00505334,15,0.8,0,0,0,0
0.00542788,15,0.8,0,0,0,0
0.00580242,15,0.8,0,0,0,0
0.00617696,15,0.8,0,0,0,0
0.0065515,15,0.8,0,0,0,0
0.00695296,15,0.8,0,0,0,0
0.00735441,15,0.8,0,0,0,0
0.00775586,15,0.8,0,0,0,0
0.00815732,15,0.8,0,0,0,0
0.00858762,15,0.8,0,0,0,0
0.00901792,15,0.8,0,0,0,0
0.0119706,15,0.8,0,0,0,0
0.0123414,15,0.8,0,0,0,0
0.0127122,15,0.8,0,0,0,0
0.0132065,15,0.8,0,0,0,0
0.0137009,15,0.8,0,0,0,0
0.0142308,15,0.8,0,0,0,0
0.0147607,15,0.8,0,0,0,0
0.0152906,15,0.8,0,0,0,0
0.0158205,15,0.8,0,0,0,0
0.0163884,15,0.8,0,0,0,0
0.0169564,15,0.8,0,0,0,0
0.0175244,15,0.8,0,0,0,0
0.0180924,15,0.8,0,0,0,0
0.0187011,15,0.8,0,0,0,0
0.0193099,15,0.8,0,0,0,0
0.0194621,15,0.8,0,0,0,0
0.0196143,15,0.8,0,0,0,0
0.0221588,15,0.8,0,0,0,0
0.0226482,15,0.8,0,0,0,0
0.0231376,15,0.8,0,0,0,0
0.0238371,15,0.8,0,0,0,0
0.0245365,15,0.8,0,0,0,0
0.0252359,15,0.8,0,0,0,0
0.0259353,15,0.8,0,0,0,0
0.026685,15,0.8,0,0,0,0
0.0274347,15,0.8,0,0,0,0
0.0281844,15,0.8,0,0,0,0
0.0289341,15,0.8,0,0,0,0
0.0297376,15,0.8,0,0,0,0
0.0305412,15,0.8,0,0,0,0
0.0374399,15,0.8,0,0,0,0
0.0383631,15,0.8,0,0,0,0
0.0392863,15,0.8,0,0,0,0
0.0402759,15,0.8,0,0,0,0
0.0412654,15,0.8,0,0,0,0
0.0422549,15,0.8,0,0,0,0
0.0432445,15,0.8,0,0,0,0
0.0443051,15,0.8,0,0,0,0
0.0453658,15,0.8,0,0,0,0
0.0464264,15,0.8,0,0,0,0
0.047487,15,0.8,0,0,0,0
0.0486239,15,0.8,0,0,0,0
0.0497608,15,0.8,0,0,0,0
0.0508976,15,0.8,0,0,0,0
0.0520345,15,0.8,0,0,0,0
0.0532531,15,0.8,0,0,0,0
0.0544716,15,0.8,0,0,0,0
0.0556902,15,0.8,0,0,0,0
0.0569087,15,0.8,0,0,0,0
0.0582149,15,0.8,0,0,0,0
0.059521,15,0.8,0,0,0,0
0.0608271,15,0.8,0,0,0,0
0.0621332,15,0.8,0,0,0,0
0.0635332,15,0.8,0,0,0,0
0.0649332,15,0.8,0,0,0,0
0.0663332,15,0.8,0,0,0,0
0.0677332,15,0.8,0,0,0,0
0.0692338,15,0.8,0,0,0,0
0.0707343,15,0.8,0,0,0,0
0.0722349,15,0.8,0,0,0,0
0.0737355,15,0.8,0,0,0,0
0.0753439,15,0.8,0,0,0,0
0.0769523,15,0.8,0,0,0,0
0.0785608,15,0.8,0,0,0,0
0.0801692,15,0.8,0,0,0,0
0.0818932,15,0.8,0,0,0,0
0.0836172,15,0.8,0,0,0,0
0.0853412,15,0.8,0,0,0,0
0.0870652,15,0.8,0,0,0,0
0.0889131,15,0.8,0,0,0,0
0.090761,15,0.8,0,0,0,0
0.0926088,15,0.8,0,0,0,0
0.0944567,15,0.8,0,0,0,0
0.0964374,15,0.8,0,0,0,0
0.0984181,15,0.8,0,0,0,0
0.100399,15,0.8,0,0,0,0
0.102379,15,0.8,0,0,0,0
0.104502,15,0.8,0,0,0,0
0.106625,15,0.8,0,0,0,0
0.108748,15,0.8,0,0,0,0
0.110871,15,0.8,0,0,0,0
0.113147,15,0.8,0,0,0,0
0.115423,15,0.8,0,0,0,0
0.117698,15,0.8,0,0,0,0
0.119974,15,0.8,0,0,0,0
0.122413,15,0.8,0,0,0,0
0.124852,15,0.8,0,0,0,0
0.127291,15,0.8,0,0,0,0
0.12973,15,0.8,0,0,0,0
0.132344,15,0.8,0,0,0,0
0.134959,15,0.8,0,0,0,0
0.137573,15,0.8,0,0,0,0
0.140188,15,0.8,0,0,0,0
0.14299,15,0.8,0,0,0,0
0.145792,15,0.8,0,0,0,0
0.148594,15,0.8,0,0,0,0
0.151397,15,0.8,0,0,0,0
0.1544,15,0.8,0,0,0,0
0.157404,15,0.8,0,0,0,0
0.160407,15,0.8,0,0,0,0
0.163411,15,0.8,0,0,0,0
0.16663,15,0.8,0,0,0,0
0.16985,15,0.8,0,0,0,0
0.173069,15,0.8,0,0,0,0
0.176289,15,0.8,0,0,0,0
0.179739,15,0.8,0,0,0,0
0.18319,15,0.8,0,0,0,0
0.186641,15,0.8,0,0,0,0
0.190092,15,0.8,0,0,0,0
0.193791,15,0.8,0,0,0,0
0.197489,15,0.8,0,0,0,0
0.201188,15,0.8,0,0,0,0
0.204887,15,0.8,0,0,0,0
0.208852,15,0.8,0,0,0,0
0.212816,15,0.8,0,0,0,0
0.216781,15,0.8,0,0,0,0
0.220745,15,0.8,0,0,0,0
0.224995,15,0.8,0,0,0,0
0.229244,15,0.8,0,0,0,0
0.233494,15,0.8,0,0,0,0
0.237743,15,0.8,0,0,0,0
0.242298,15,0.8,0,0,0,0
0.246853,15,0.8,0,0,0,0
0.251407,15,0.8,0,0,0,0
0.255962,15,0.8,0,0,0,0
0.260844,15,0.8,0,0,0,0
0.265727,15,0.8,0,0,0,0
0.270609,15,0.8,0,0,0,0
0.275491,15,0.8,0,0,0,0
0.280724,15,0.8,0,0,0,0
0.285957,15,0.8,0,0,0,0
0.29119,15,0.8,0,0,0,0
0.296423,15,0.8,0,0,0,0
0.302032,15,0.8,0,0,0,0
0.307641,15,0.8,0,0,0,0
0.31325,15,0.8,0,0,0,0
0.318859,15,0.8,0,0,0,0
0.324871,15,0.8,0,0,0,0
0.330883,15,0.8,0,0,0,0
0.336895,15,0.8,0,0,0,0
0.342907,15,0.8,0,0,0,0
0.349351,15,0.8,0,0,0,0
0.355795,15,0.8,0,0,0,0
0.362239,15,0.8,0,0,0,0
0.368683,15,0.8,0,0,0,0
0.375591,15,0.8,0,0,0,0
0.382498,15,0.8,0,0,0,0
0.389405,15,0.8,0,0,0,0
0.396312,15,0.8,0,0,0,0
0.403716,15,0.8,0,0,0,0
0.411119,15,0.8,0,0,0,0
0.418523,15,0.8,0,0,0,0
0.425926,15,0.8,0,0,0,0
