# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999960e-01	5.007430e-03	3	true
2             	smoothSolver	5.952650e-01	4.502370e-02	6	1.000000e+00	7.483200e-02	2	false	GAMG	1.000000e+00	9.198910e-03	14	true
3             	smoothSolver	2.826790e-01	2.522430e-02	5	4.237980e-01	3.466390e-02	4	false	GAMG	4.072670e-01	3.801630e-03	8	true
4             	smoothSolver	8.044100e-02	5.564250e-03	4	4.357660e-01	3.181490e-02	4	false	GAMG	1.754220e-01	1.656770e-03	8	true
5             	smoothSolver	5.117770e-02	4.276380e-03	4	4.370360e-01	3.198930e-02	4	false	GAMG	1.736230e-01	1.381010e-03	8	true
6             	smoothSolver	3.738980e-02	2.541070e-03	5	4.167920e-01	2.995640e-02	4	false	GAMG	1.600820e-01	1.159520e-03	7	true
7             	smoothSolver	2.984390e-02	2.316700e-03	5	3.849390e-01	3.259940e-02	3	false	GAMG	1.620240e-01	1.104700e-03	6	true
8             	smoothSolver	2.610320e-02	2.145470e-03	5	3.937010e-01	3.873900e-02	3	false	GAMG	1.689190e-01	1.212670e-03	5	true
9             	smoothSolver	2.307570e-02	1.998180e-03	5	4.188480e-01	2.631700e-02	4	false	GAMG	1.731710e-01	9.653790e-04	5	true
10            	smoothSolver	2.093910e-02	1.893820e-03	5	3.486630e-01	2.163800e-02	4	false	GAMG	1.582280e-01	1.516400e-03	4	true
11            	smoothSolver	1.904580e-02	1.808410e-03	5	3.117390e-01	2.877910e-02	3	false	GAMG	1.386380e-01	9.649860e-04	4	true
12            	smoothSolver	1.765740e-02	1.742150e-03	5	2.797410e-01	2.468630e-02	3	false	GAMG	1.255650e-01	9.127940e-04	4	true
13            	smoothSolver	1.638370e-02	1.102670e-03	6	2.779030e-01	1.686790e-02	4	false	GAMG	1.291410e-01	9.256050e-04	5	true
14            	smoothSolver	1.535170e-02	1.070930e-03	6	2.613200e-01	1.966910e-02	4	false	GAMG	1.229420e-01	7.054430e-04	5	true
15            	smoothSolver	1.450910e-02	1.043670e-03	6	2.650170e-01	2.259610e-02	4	false	GAMG	1.106960e-01	6.381070e-04	5	true
