# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	6.456760e-03	5	true
2             	smoothSolver	8.447870e-02	8.135340e-03	4	1.000000e+00	3.589370e-02	2	false	GAMG	1.000000e+00	9.104010e-03	4	true
3             	smoothSolver	3.620010e-02	1.981970e-03	3	6.405440e-01	3.529030e-02	2	false	GAMG	1.919760e-01	1.243800e-03	6	true
4             	smoothSolver	2.137810e-02	2.023680e-03	3	5.381130e-01	4.325690e-02	2	false	GAMG	1.378650e-01	9.324830e-04	6	true
5             	smoothSolver	1.597090e-02	1.219200e-03	4	4.782810e-01	2.638880e-02	3	false	GAMG	1.218350e-01	1.086840e-03	5	true
6             	smoothSolver	1.338800e-02	1.251090e-03	4	5.015300e-01	2.878370e-02	3	false	GAMG	1.134430e-01	7.093100e-04	5	true
7             	smoothSolver	1.170650e-02	7.751900e-04	5	5.090120e-01	3.310530e-02	3	false	GAMG	1.138490e-01	6.447800e-04	5	true
8             	smoothSolver	1.064270e-02	7.920570e-04	5	4.563740e-01	3.636930e-02	3	false	GAMG	1.056330e-01	5.917750e-04	6	true
9             	smoothSolver	9.990030e-03	8.230970e-04	5	4.096970e-01	3.476060e-02	3	false	GAMG	9.765100e-02	7.518420e-04	6	true
10            	smoothSolver	9.538960e-03	8.403980e-04	5	3.649950e-01	3.514840e-02	3	false	GAMG	9.002250e-02	8.090690e-04	6	true
11            	smoothSolver	9.004200e-03	8.430100e-04	5	3.151850e-01	2.133000e-02	4	false	GAMG	9.023390e-02	5.647170e-04	7	true
12            	smoothSolver	8.620050e-03	8.465320e-04	5	3.104720e-01	2.166300e-02	4	false	GAMG	8.729080e-02	6.585260e-04	7	true
13            	smoothSolver	8.394940e-03	5.460330e-04	6	2.793890e-01	2.088710e-02	4	false	GAMG	8.693410e-02	6.460010e-04	7	true
14            	smoothSolver	8.303250e-03	5.504020e-04	6	2.842850e-01	2.267280e-02	4	false	GAMG	9.174490e-02	7.021140e-04	7	true
15            	smoothSolver	8.251080e-03	5.535800e-04	6	2.720160e-01	2.423920e-02	4	false	GAMG	8.036740e-02	7.070090e-04	7	true
16            	smoothSolver	8.170610e-03	5.529430e-04	6	2.554340e-01	2.458580e-02	4	false	GAMG	7.524390e-02	6.157380e-04	7	true
17            	smoothSolver	8.108330e-03	5.534730e-04	6	2.450990e-01	1.550820e-02	5	false	GAMG	6.588740e-02	4.673230e-04	7	true
18            	smoothSolver	8.035100e-03	5.538390e-04	6	2.414400e-01	2.321960e-02	4	false	GAMG	5.627230e-02	5.308760e-04	7	true
19            	smoothSolver	7.916500e-03	5.496870e-04	6	2.265940e-01	2.265170e-02	4	false	GAMG	5.681430e-02	5.628420e-04	7	true
20            	smoothSolver	7.827560e-03	5.481820e-04	6	2.270050e-01	2.201550e-02	4	false	GAMG	5.246250e-02	4.950100e-04	7	true
21            	smoothSolver	7.721420e-03	5.446010e-04	6	2.142680e-01	1.384870e-02	5	false	GAMG	5.160480e-02	4.489180e-04	7	true
22            	smoothSolver	7.598540e-03	5.396780e-04	6	2.033710e-01	2.033200e-02	4	false	GAMG	5.017570e-02	3.793110e-04	7	true
23            	smoothSolver	7.496830e-03	5.353430e-04	6	1.952060e-01	1.846220e-02	4	false	GAMG	4.941800e-02	3.172550e-04	7	true
24            	smoothSolver	7.361650e-03	5.281460e-04	6	1.739440e-01	1.648590e-02	4	false	GAMG	4.470180e-02	4.252260e-04	6	true
25            	smoothSolver	7.247890e-03	5.222530e-04	6	1.560290e-01	1.544600e-02	4	false	GAMG	3.940990e-02	3.780350e-04	7	true
26            	smoothSolver	7.117600e-03	5.155860e-04	6	1.517050e-01	1.495250e-02	4	false	GAMG	4.013760e-02	3.541080e-04	7	true
27            	smoothSolver	6.981560e-03	5.080350e-04	6	1.421510e-01	1.396270e-02	4	false	GAMG	4.013920e-02	3.948760e-04	6	true
28            	smoothSolver	6.848220e-03	5.004350e-04	6	1.301530e-01	8.687050e-03	5	false	GAMG	3.938840e-02	3.567890e-04	7	true
29            	smoothSolver	6.717990e-03	4.927140e-04	6	1.159310e-01	7.997250e-03	5	false	GAMG	3.728720e-02	3.381740e-04	7	true
30            	smoothSolver	6.592920e-03	4.851570e-04	6	1.117030e-01	7.805010e-03	5	false	GAMG	3.787660e-02	3.732620e-04	6	true
31            	smoothSolver	6.468680e-03	4.775030e-04	6	1.013100e-01	7.291270e-03	5	false	GAMG	3.775460e-02	3.541320e-04	6	true
32            	smoothSolver	6.341580e-03	4.694460e-04	6	9.826810e-02	7.180920e-03	5	false	GAMG	3.997850e-02	3.695790e-04	6	true
33            	smoothSolver	6.223440e-03	4.621080e-04	6	9.351510e-02	6.854930e-03	5	false	GAMG	4.173610e-02	3.474420e-04	7	true
34            	smoothSolver	6.110080e-03	4.552020e-04	6	8.504970e-02	6.417090e-03	5	false	GAMG	4.571650e-02	3.480470e-04	6	true
35            	smoothSolver	5.994450e-03	4.481310e-04	6	7.856140e-02	6.035590e-03	5	false	GAMG	4.906690e-02	4.557200e-04	6	true
36            	smoothSolver	5.888610e-03	4.416680e-04	6	7.390210e-02	5.557440e-03	5	false	GAMG	5.238760e-02	4.248870e-04	6	true
37            	smoothSolver	5.783930e-03	4.352320e-04	6	6.829270e-02	5.111960e-03	5	false	GAMG	5.340590e-02	3.657740e-04	6	true
38            	smoothSolver	5.689160e-03	4.295130e-04	6	6.378880e-02	4.806920e-03	5	false	GAMG	6.115720e-02	3.749570e-04	6	true
39            	smoothSolver	5.599420e-03	4.240110e-04	6	5.825570e-02	4.464590e-03	5	false	GAMG	5.743820e-02	5.472520e-04	5	true
40            	smoothSolver	5.516500e-03	4.189590e-04	6	5.419760e-02	4.082450e-03	5	false	GAMG	4.941880e-02	4.515270e-04	5	true
41            	smoothSolver	5.436510e-03	4.141870e-04	6	5.044100e-02	3.718090e-03	5	false	GAMG	4.823960e-02	3.861660e-04	5	true
42            	smoothSolver	5.363530e-03	4.098240e-04	6	4.926860e-02	3.656190e-03	5	false	GAMG	4.355690e-02	3.610950e-04	5	true
43            	smoothSolver	5.295740e-03	4.057880e-04	6	4.450180e-02	3.373900e-03	5	false	GAMG	3.936490e-02	3.261760e-04	5	true
44            	smoothSolver	5.231680e-03	4.020420e-04	6	4.320810e-02	3.204930e-03	5	false	GAMG	3.654540e-02	2.834540e-04	5	true
45            	smoothSolver	5.176110e-03	3.988880e-04	6	4.136400e-02	3.298930e-03	5	false	GAMG	3.440770e-02	2.735080e-04	5	true
46            	smoothSolver	5.123280e-03	3.959040e-04	6	4.022240e-02	3.273430e-03	5	false	GAMG	3.157800e-02	3.029650e-04	5	true
47            	smoothSolver	5.073760e-03	3.931160e-04	6	3.847900e-02	3.190320e-03	5	false	GAMG	2.770170e-02	2.560810e-04	5	true
