y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,0.105843,0.00319792,6.88419e-06,0.253039,-2.16417e-07,0
0.000851268,0.0964744,0.00322428,9.91303e-06,0.379559,-3.24626e-07,0
0.00113502,0.0871084,0.00325058,1.29412e-05,0.506074,-3.61217e-07,0
0.00174332,0.062941,0.00328501,1.94197e-05,0.538026,-5.88364e-07,1.56043e-23
0.00235161,0.0387762,0.00331934,2.58965e-05,0.569978,-7.38013e-07,3.01559e-23
0.00267761,0.0348997,0.00330451,2.9443e-05,0.579427,-8.57241e-07,2.42115e-23
0.00300362,0.0310232,0.00328969,3.29895e-05,0.588875,-9.7647e-07,1.82671e-23
0.00332962,0.0271468,0.00327486,3.65359e-05,0.598324,-1.0957e-06,1.23227e-23
0.00470391,0.0179153,0.00323174,5.17589e-05,0.62832,-1.51718e-06,-1.62275e-23
0.00916136,0.00848735,0.00316743,0.000101853,0.684322,-2.59537e-06,0
0.0147607,0.00508809,0.00312726,0.000164181,0.723641,-3.33433e-06,0
0.0152906,0.00489591,0.00312414,0.000170021,0.726583,-3.38287e-06,0
0.0158205,0.00470381,0.00312103,0.000175857,0.729525,-3.41399e-06,0
0.0161045,0.00462674,0.0031195,0.000178959,0.730897,-3.4293e-06,0
0.0163884,0.00454967,0.00311797,0.000182062,0.732268,-3.44462e-06,0
0.0175244,0.00424137,0.00311185,0.00019447,0.737752,-3.5059e-06,0
0.0218326,0.00337332,0.00309036,0.000240967,0.755711,-3.59741e-06,0
0.0224851,0.0032685,0.00308725,0.000247949,0.758158,-3.59736e-06,0
0.0231376,0.00316372,0.00308417,0.000254928,0.760605,-3.61994e-06,0
0.0245365,0.00298709,0.0030778,0.000269722,0.765277,-3.5985e-06,-2.12312e-24
0.0259353,0.0028105,0.00307146,0.000284516,0.769949,-3.6132e-06,-3.7648e-24
0.0274347,0.00265999,0.00306488,0.000300178,0.774434,-3.5791e-06,-1.72531e-24
0.0289341,0.0025095,0.00305834,0.000315842,0.778919,-3.594e-06,-1.48319e-25
0.0293359,0.00247713,0.00305663,0.000319984,0.780001,-3.58476e-06,3.82509e-25
0.0297376,0.00244475,0.00305492,0.000324126,0.781082,-3.57551e-06,9.13336e-25
0.0305412,0.00238,0.00305151,0.00033241,0.783246,-3.55703e-06,1.97499e-24
0.0308626,0.0023541,0.00305014,0.000335724,0.784111,-3.54963e-06,2.39965e-24
0.0311841,0.0023282,0.00304877,0.000339038,0.784976,-3.54223e-06,2.82432e-24
0.0374399,0.00192759,0.00302308,0.000402517,0.800027,-3.57767e-06,-1.59392e-23
0.0383631,0.00187848,0.00301936,0.000411767,0.802065,-3.571e-06,-2.39088e-23
0.0392863,0.00182939,0.00301567,0.000421024,0.804101,-3.64036e-06,-2.3318e-23
0.0412654,0.00174301,0.00300787,0.000440548,0.808075,-3.65057e-06,-3.64236e-23
0.0432445,0.00165664,0.00300011,0.000460078,0.812049,-3.7388e-06,-4.355e-23
0.0453658,0.00158023,0.00299191,0.000480664,0.815936,-3.77617e-06,1.97418e-25
0.0608271,0.00116517,0.0029339,0.000626198,0.840476,-4.45027e-06,0
0.0614802,0.00115159,0.0029315,0.00063219,0.841398,-4.49522e-06,0
0.0621332,0.001138,0.0029291,0.000638182,0.842321,-4.54016e-06,0
0.0649332,0.00108909,0.00291893,0.00066333,0.845963,-4.63016e-06,0
0.0663332,0.00106464,0.00291384,0.000675904,0.847785,-4.67515e-06,0
0.0677332,0.00104019,0.00290876,0.000688475,0.849606,-4.74756e-06,0
0.0707343,0.000996046,0.00289797,0.000714821,0.853207,-4.81715e-06,0
0.0737355,0.000951908,0.00288718,0.000741161,0.856808,-4.89897e-06,0
0.0769523,0.000911944,0.00287574,0.000768718,0.860374,-4.93196e-06,0
0.0801692,0.000871986,0.00286429,0.000796267,0.863939,-4.96396e-06,0
0.0836172,0.000835708,0.00285214,0.000825045,0.867475,-4.94717e-06,0
0.0870652,0.000799433,0.00283999,0.000853814,0.87101,-4.9198e-06,0
0.090761,0.000766418,0.0028271,0.000883819,0.874521,-4.84593e-06,-8.97756e-23
0.0944567,0.000733404,0.0028142,0.000913815,0.878031,-4.75661e-06,-1.37882e-22
0.0984181,0.000703288,0.00280052,0.000945047,0.88152,-4.62624e-06,-5.01422e-23
0.102379,0.000673172,0.00278684,0.000976272,0.885009,-4.4805e-06,-3.12592e-24
0.106625,0.000645641,0.00277233,0.00100873,0.88848,-4.30252e-06,-5.17775e-23
0.110871,0.000618109,0.00275783,0.00104118,0.891951,-4.11362e-06,-7.96934e-23
0.115423,0.000592891,0.00274245,0.00107484,0.895408,-3.90407e-06,-3.22859e-23
0.119974,0.000567672,0.00272708,0.00110851,0.898865,-3.69108e-06,-5.08049e-24
0.124852,0.000544531,0.00271079,0.00114336,0.902311,-3.47065e-06,1.33521e-22
0.12973,0.000521389,0.00269451,0.00117822,0.905756,-3.25554e-06,2.09638e-22
0.134959,0.000500117,0.00267726,0.00121422,0.909193,-3.04608e-06,7.43166e-23
0.140188,0.000478845,0.00266003,0.00125024,0.91263,-2.8502e-06,0
0.145792,0.000459262,0.00264177,0.00128735,0.91606,-2.67103e-06,0
0.151397,0.000439678,0.00262353,0.00132447,0.919491,-2.51173e-06,0
0.157404,0.000421623,0.0026042,0.00136261,0.922917,-2.3767e-06,0
0.163411,0.000403568,0.00258489,0.00140076,0.926343,-2.26485e-06,0
0.16985,0.000386899,0.00256443,0.00143984,0.929767,-2.18028e-06,0
0.176289,0.000370231,0.00254399,0.00147893,0.93319,-2.11877e-06,0
0.18319,0.000354822,0.00252233,0.00151881,0.936614,-2.08255e-06,0
0.190092,0.000339415,0.00250068,0.00155871,0.940037,-2.06615e-06,0
0.197489,0.000325154,0.00247772,0.00159924,0.943461,-2.0687e-06,0
0.204887,0.000310894,0.00245478,0.00163979,0.946885,-2.08568e-06,0
0.212816,0.00029768,0.00243046,0.00168079,0.95031,-2.11235e-06,0
0.220745,0.000284466,0.00240615,0.0017218,0.953736,-2.14726e-06,0
0.229244,0.000272208,0.00238037,0.00176304,0.957164,-2.18177e-06,0
0.237743,0.000259951,0.0023546,0.00180429,0.960592,-2.21865e-06,0
0.246853,0.000248567,0.00232728,0.00184552,0.964023,-2.24615e-06,0
0.255962,0.000237185,0.00229996,0.00188675,0.967454,-2.27097e-06,0
0.265727,0.000226603,0.00227101,0.00192768,0.970887,-2.28009e-06,0
0.275491,0.000216022,0.00224207,0.0019686,0.974319,-2.28247e-06,0
0.285957,0.000206176,0.00221141,0.00200889,0.977753,-2.26627e-06,0
0.296423,0.000196331,0.00218075,0.00204918,0.981187,-2.24056e-06,0
0.307641,0.000187163,0.00214831,0.00208848,0.98462,-2.19736e-06,0
