y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,8.27863e-05,5.42994e-06,1.20653e-09,0.0157846,-5.2602e-10,0
0.000851268,0.000124174,8.14487e-06,1.80979e-09,0.0236769,-7.89029e-10,0
0.00113502,0.000165572,1.08604e-05,2.41318e-09,0.0315692,-1.30257e-09,0
0.00174332,0.000286072,2.89761e-05,9.94224e-09,0.0481884,-2.44551e-09,-6.39671e-25
0.00235161,0.000406586,4.70937e-05,1.74721e-08,0.0648075,-4.5122e-09,-1.55849e-24
0.00267761,0.000491445,6.71725e-05,3.05461e-08,0.0737,-5.36928e-09,-1.21834e-24
0.00300362,0.000576304,8.72513e-05,4.362e-08,0.0825925,-6.22635e-09,-8.78199e-25
0.00332962,0.000661163,0.00010733,5.6694e-08,0.091485,-7.08343e-09,-5.38055e-25
0.00470391,0.00110141,0.000239411,1.76504e-07,0.128906,-1.2906e-08,1.05848e-24
0.00916136,0.0036699,0.00130146,2.64953e-06,0.248807,-3.62825e-08,0
0.0147607,0.00939382,0.0040968,2.69603e-05,0.384741,-1.04815e-07,0
0.0152906,0.00994413,0.00438807,3.11841e-05,0.396047,-1.11254e-07,0
0.0158205,0.0104944,0.00467934,3.54081e-05,0.407353,-1.36112e-07,0
0.0161045,0.01071,0.00481423,3.8411e-05,0.412572,-1.42048e-07,0
0.0163884,0.0109256,0.00494913,4.14138e-05,0.41779,-1.47985e-07,0
0.0175244,0.011788,0.00548871,5.34253e-05,0.438664,-1.7173e-07,0
0.0218326,0.0132923,0.00698698,0.000108822,0.503658,-3.09055e-07,0
0.0224851,0.0133468,0.00715641,0.000118135,0.512093,-3.27995e-07,0
0.0231376,0.0134013,0.00732582,0.000127448,0.520528,-3.48448e-07,0
0.0245365,0.0132307,0.00757062,0.00014928,0.535629,-3.87195e-07,-3.36284e-24
0.0259353,0.0130601,0.00781541,0.000171111,0.55073,-4.22321e-07,-3.77824e-24
0.0274347,0.0127158,0.00798521,0.000196133,0.564308,-4.58681e-07,-7.30792e-25
0.0289341,0.0123715,0.00815501,0.000221154,0.577886,-4.87716e-07,-3.54382e-25
0.0293359,0.0122633,0.00818329,0.000228198,0.580958,-4.95587e-07,4.86402e-25
0.0297376,0.012155,0.00821157,0.000235241,0.584031,-5.03459e-07,1.32719e-24
0.0305412,0.0119385,0.00826814,0.000249329,0.590176,-5.19203e-07,3.00875e-24
0.0308626,0.0118519,0.00829076,0.000254964,0.592634,-5.25501e-07,3.68138e-24
0.0311841,0.0117653,0.00831339,0.000260599,0.595092,-5.31798e-07,4.35401e-24
0.0374399,0.0101171,0.0085652,0.000374263,0.635202,-5.95734e-07,2.29388e-24
0.0383631,0.00988694,0.00858575,0.000391386,0.640359,-6.03878e-07,3.44082e-24
0.0392863,0.00965682,0.00860629,0.000408507,0.645515,-6.00954e-07,5.25221e-24
0.0412654,0.0092196,0.0086254,0.000445629,0.655079,-6.0803e-07,1.9385e-24
0.0432445,0.00878236,0.00864451,0.000482749,0.664643,-6.04561e-07,-1.41109e-24
0.0453658,0.00837718,0.00864761,0.000522639,0.673584,-6.02266e-07,-2.60443e-24
0.0608271,0.00610801,0.00856252,0.000809398,0.726751,-4.78721e-07,0
0.0614802,0.00603243,0.00855651,0.00082131,0.728655,-4.70069e-07,0
0.0621332,0.00595686,0.00855049,0.000833223,0.730558,-4.61417e-07,0
0.0649332,0.00568477,0.00852131,0.000883333,0.737865,-4.31815e-07,0
0.0663332,0.00554873,0.00850672,0.000908389,0.741518,-4.17014e-07,0
0.0677332,0.00541267,0.00849213,0.000933443,0.745172,-3.98994e-07,0
0.0707343,0.00516786,0.00845883,0.000985966,0.752217,-3.66367e-07,0
0.0737355,0.00492304,0.00842553,0.00103849,0.759263,-3.32016e-07,0
0.0769523,0.00470262,0.00838883,0.00109339,0.766087,-2.97888e-07,0
0.0801692,0.0044822,0.00835213,0.00114829,0.772911,-2.63413e-07,0
0.0836172,0.0042835,0.0083125,0.00120553,0.779547,-2.29322e-07,0
0.0870652,0.00408479,0.00827286,0.00126277,0.786184,-1.96124e-07,0
0.090761,0.00390537,0.00823059,0.00132232,0.79266,-1.63642e-07,3.56196e-24
0.0944567,0.00372594,0.00818833,0.00138187,0.799137,-1.33112e-07,6.74977e-24
0.0984181,0.00356362,0.0081436,0.00144368,0.805478,-1.03888e-07,3.2804e-24
0.102379,0.00340131,0.00809887,0.0015055,0.811819,-7.74495e-08,1.75454e-25
0.106625,0.00325418,0.00805176,0.00156954,0.818046,-5.30915e-08,5.60208e-25
0.110871,0.00310704,0.00800465,0.00163358,0.824272,-3.21028e-08,5.2992e-25
0.115423,0.00297341,0.00795515,0.00169977,0.8304,-1.41071e-08,1.45148e-25
0.119974,0.00283978,0.00790567,0.00176597,0.836529,3.79177e-10,1.66642e-25
0.124852,0.00271815,0.00785373,0.00183423,0.842575,1.0858e-08,-3.78567e-24
0.12973,0.00259653,0.0078018,0.0019025,0.848622,1.84832e-08,-6.94789e-24
