# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999910e-01	5.546020e-03	4	true
2             	smoothSolver	1.214880e-02	8.222120e-04	3	6.826130e-01	3.329330e-02	1	false	GAMG	1.000000e+00	8.097150e-03	11	true
3             	smoothSolver	1.630390e-03	9.626730e-05	2	5.464960e-01	2.699600e-02	2	false	GAMG	2.230580e-01	2.072290e-03	10	true
4             	smoothSolver	1.419390e-03	7.597460e-05	2	5.949590e-01	2.493070e-02	2	false	GAMG	1.864870e-01	1.405020e-03	11	true
5             	smoothSolver	1.383050e-03	7.135140e-05	2	5.967880e-01	2.016050e-02	2	false	GAMG	2.199530e-01	1.907750e-03	10	true
6             	smoothSolver	1.328730e-03	6.923220e-05	2	5.047570e-01	1.411700e-02	2	false	GAMG	2.097750e-01	1.731950e-03	9	true
7             	smoothSolver	1.276860e-03	6.784600e-05	2	3.909420e-01	1.333890e-02	2	false	GAMG	1.505220e-01	1.383370e-03	6	true
8             	smoothSolver	1.249130e-03	6.580730e-05	2	3.562270e-01	1.293060e-02	2	false	GAMG	1.210690e-01	8.463410e-04	10	true
9             	smoothSolver	1.223840e-03	6.333690e-05	2	3.665240e-01	1.187470e-02	2	false	GAMG	1.112980e-01	9.296370e-04	10	true
10            	smoothSolver	1.195050e-03	6.127760e-05	2	3.867150e-01	8.899700e-03	2	false	GAMG	1.065380e-01	1.033900e-03	8	true
11            	smoothSolver	1.171660e-03	6.000860e-05	2	3.570770e-01	6.873020e-03	2	false	GAMG	9.913410e-02	7.247790e-04	6	true
12            	smoothSolver	1.150060e-03	5.934410e-05	2	3.073620e-01	6.480650e-03	2	false	GAMG	8.549270e-02	5.647600e-04	8	true
13            	smoothSolver	1.129840e-03	5.885160e-05	2	2.809860e-01	5.350040e-03	2	false	GAMG	7.470210e-02	4.334600e-04	8	true
14            	smoothSolver	1.110870e-03	5.816900e-05	2	2.769140e-01	2.011130e-02	1	false	GAMG	6.993180e-02	4.908150e-04	6	true
15            	smoothSolver	1.091580e-03	5.730550e-05	2	2.705530e-01	1.913400e-02	1	false	GAMG	6.429250e-02	5.946270e-04	7	true
16            	smoothSolver	1.072760e-03	5.636260e-05	2	2.594820e-01	2.452240e-02	1	false	GAMG	5.755810e-02	3.682250e-04	7	true
17            	smoothSolver	1.054920e-03	5.555830e-05	2	2.460910e-01	2.259170e-02	1	false	GAMG	5.081100e-02	4.002810e-04	6	true
18            	smoothSolver	1.037640e-03	5.492030e-05	2	2.317880e-01	1.860130e-02	1	false	GAMG	4.568650e-02	4.200730e-04	6	true
19            	smoothSolver	1.020990e-03	5.436470e-05	2	2.278890e-01	1.559700e-02	1	false	GAMG	4.247120e-02	3.931580e-04	6	true
20            	smoothSolver	1.004860e-03	5.377910e-05	2	2.145190e-01	1.188040e-02	1	false	GAMG	3.964370e-02	2.375710e-04	6	true
21            	smoothSolver	9.890440e-04	5.312730e-05	2	1.955170e-01	8.965930e-03	1	false	GAMG	3.647330e-02	3.455040e-04	5	true
22            	smoothSolver	9.736760e-04	5.244380e-05	2	1.849080e-01	1.001050e-02	1	false	GAMG	3.369670e-02	2.601260e-04	5	true
23            	smoothSolver	9.587660e-04	5.178940e-05	2	1.778800e-01	9.031940e-03	1	false	GAMG	3.170480e-02	2.625470e-04	5	true
24            	smoothSolver	9.442660e-04	5.119120e-05	2	1.691460e-01	7.788650e-03	1	false	GAMG	2.999870e-02	1.805210e-04	6	true
25            	smoothSolver	9.301840e-04	5.064860e-05	2	1.615160e-01	7.012940e-03	1	false	GAMG	2.843730e-02	1.815560e-04	6	true
26            	smoothSolver	9.164990e-04	5.011050e-05	2	1.560420e-01	8.232620e-03	1	false	GAMG	2.702940e-02	1.280630e-04	6	true
27            	smoothSolver	9.031460e-04	4.956290e-05	2	1.526000e-01	1.072030e-02	1	false	GAMG	2.593970e-02	1.876290e-04	5	true
28            	smoothSolver	8.901660e-04	4.900980e-05	2	1.493730e-01	1.271200e-02	1	false	GAMG	2.491550e-02	1.357550e-04	5	true
29            	smoothSolver	8.774820e-04	4.847100e-05	2	1.468090e-01	1.355140e-02	1	false	GAMG	2.379910e-02	2.261650e-04	4	true
30            	smoothSolver	8.651380e-04	4.795510e-05	2	1.435060e-01	1.359080e-02	1	false	GAMG	2.285500e-02	1.067760e-04	5	true
31            	smoothSolver	8.531230e-04	4.746130e-05	2	1.408230e-01	1.325750e-02	1	false	GAMG	2.201100e-02	1.337810e-04	5	true
32            	smoothSolver	8.413920e-04	4.698280e-05	2	1.387410e-01	1.267390e-02	1	false	GAMG	2.140330e-02	1.160390e-04	5	true
33            	smoothSolver	8.299590e-04	4.650680e-05	2	1.354030e-01	1.217680e-02	1	false	GAMG	2.085320e-02	9.341940e-05	5	true
34            	smoothSolver	8.188130e-04	4.603920e-05	2	1.309920e-01	1.177900e-02	1	false	GAMG	2.035610e-02	7.910110e-05	5	true
35            	smoothSolver	8.079380e-04	4.557860e-05	2	1.259530e-01	1.123180e-02	1	false	GAMG	1.981880e-02	1.547110e-04	4	true
36            	smoothSolver	7.973210e-04	4.512880e-05	2	1.220820e-01	1.060710e-02	1	false	GAMG	1.926740e-02	1.568810e-04	4	true
37            	smoothSolver	7.869400e-04	4.469100e-05	2	1.199580e-01	9.622440e-03	1	false	GAMG	1.877570e-02	1.667290e-04	4	true
38            	smoothSolver	7.768010e-04	4.426180e-05	2	1.179310e-01	8.825220e-03	1	false	GAMG	1.832390e-02	1.564540e-04	4	true
39            	smoothSolver	7.669000e-04	4.384140e-05	2	1.151530e-01	8.029550e-03	1	false	GAMG	1.794240e-02	1.452580e-04	4	true
40            	smoothSolver	7.572400e-04	4.342520e-05	2	1.121360e-01	7.341570e-03	1	false	GAMG	1.756560e-02	1.268070e-04	4	true
41            	smoothSolver	7.478360e-04	4.301930e-05	2	1.094470e-01	6.706420e-03	1	false	GAMG	1.715610e-02	1.022420e-04	4	true
42            	smoothSolver	7.386500e-04	4.262400e-05	2	1.067860e-01	6.312890e-03	1	false	GAMG	1.674910e-02	9.212190e-05	4	true
43            	smoothSolver	7.296760e-04	4.223680e-05	2	1.043900e-01	5.889670e-03	1	false	GAMG	1.640750e-02	9.353490e-05	4	true
44            	smoothSolver	7.208890e-04	4.185660e-05	2	1.023380e-01	5.440660e-03	1	false	GAMG	1.608810e-02	9.857020e-05	4	true
45            	smoothSolver	7.122860e-04	4.148220e-05	2	1.002420e-01	5.182120e-03	1	false	GAMG	1.577180e-02	9.545600e-05	4	true
46            	smoothSolver	7.038610e-04	4.111280e-05	2	9.786780e-02	5.003660e-03	1	false	GAMG	1.546530e-02	8.320820e-05	4	true
47            	smoothSolver	6.956110e-04	4.074900e-05	2	9.570640e-02	4.774500e-03	1	false	GAMG	1.516690e-02	6.945210e-05	4	true
48            	smoothSolver	6.875400e-04	4.039400e-05	2	9.379130e-02	4.520280e-03	1	false	GAMG	1.486790e-02	6.493940e-05	4	true
49            	smoothSolver	6.796650e-04	4.004580e-05	2	9.173790e-02	4.283270e-03	1	false	GAMG	1.454830e-02	6.826400e-05	4	true
50            	smoothSolver	6.719890e-04	3.970360e-05	2	8.994090e-02	4.106850e-03	1	false	GAMG	1.421950e-02	7.411200e-05	4	true
51            	smoothSolver	6.645030e-04	3.937250e-05	2	8.825200e-02	4.060500e-03	1	false	GAMG	1.386870e-02	7.221020e-05	4	true
52            	smoothSolver	6.571870e-04	3.904840e-05	2	8.678210e-02	4.028000e-03	1	false	GAMG	1.354300e-02	6.460570e-05	4	true
53            	smoothSolver	6.500240e-04	3.872950e-05	2	8.516140e-02	3.981730e-03	1	false	GAMG	1.324840e-02	5.769680e-05	4	true
54            	smoothSolver	6.430030e-04	3.841590e-05	2	8.363610e-02	3.931600e-03	1	false	GAMG	1.293620e-02	5.511030e-05	4	true
55            	smoothSolver	6.361210e-04	3.810760e-05	2	8.200570e-02	3.991640e-03	1	false	GAMG	1.263230e-02	5.515090e-05	4	true
56            	smoothSolver	6.293750e-04	3.780470e-05	2	8.049050e-02	4.068920e-03	1	false	GAMG	1.232830e-02	5.541640e-05	4	true
57            	smoothSolver	6.227620e-04	3.750690e-05	2	7.906950e-02	4.151130e-03	1	false	GAMG	1.200880e-02	5.383140e-05	4	true
58            	smoothSolver	6.162770e-04	3.721380e-05	2	7.763780e-02	4.231470e-03	1	false	GAMG	1.168820e-02	5.056520e-05	4	true
59            	smoothSolver	6.099170e-04	3.692550e-05	2	7.638340e-02	4.293470e-03	1	false	GAMG	1.140900e-02	4.814990e-05	4	true
60            	smoothSolver	6.036810e-04	3.664200e-05	2	7.516350e-02	4.338310e-03	1	false	GAMG	1.115000e-02	4.747540e-05	4	true
61            	smoothSolver	5.975630e-04	3.636460e-05	2	7.393330e-02	4.366130e-03	1	false	GAMG	1.087650e-02	4.767120e-05	4	true
62            	smoothSolver	5.915670e-04	3.609230e-05	2	7.278590e-02	4.376880e-03	1	false	GAMG	1.061400e-02	4.774870e-05	4	true
63            	smoothSolver	5.856940e-04	3.582450e-05	2	7.158050e-02	4.370390e-03	1	false	GAMG	1.035430e-02	4.720060e-05	4	true
64            	smoothSolver	5.799780e-04	3.556110e-05	2	7.049610e-02	4.344940e-03	1	false	GAMG	1.009100e-02	4.619220e-05	4	true
