y,epsilon,k,nut,U_0,U_1,U_2
0.000577197,0.434679,0.00222689,5.11995e-06,0.0615502,5.04166e-08,0
0.000865795,0.410596,0.00333979,7.67895e-06,0.0923229,6.65024e-08,0
0.00115439,0.386513,0.00445269,1.0238e-05,0.123096,8.25882e-08,0
0.00173159,0.328675,0.00800351,3.03497e-05,0.175045,1.68393e-07,0
0.00230879,0.270864,0.0115532,5.04545e-05,0.226993,2.19514e-07,0
0.00294325,0.254534,0.0143947,8.32844e-05,0.266051,3.21656e-07,0
0.0035777,0.238216,0.0172354,0.000116103,0.30511,3.80803e-07,0
0.00421216,0.225803,0.0191071,0.000152336,0.334407,4.70253e-07,0
0.00484662,0.213397,0.0209783,0.000188556,0.363705,5.20026e-07,0
0.00554402,0.202747,0.0222674,0.000225479,0.387336,5.93084e-07,9.09703e-24
0.00624141,0.192101,0.023556,0.000262388,0.410969,6.32087e-07,2.628e-23
0.00659011,0.187518,0.0240232,0.000281035,0.42099,6.61228e-07,2.22705e-23
0.00693881,0.182935,0.0244904,0.000299682,0.431012,6.90369e-07,1.82611e-23
0.00916938,0.157951,0.0268442,0.000412579,0.486329,7.91595e-07,-2.31658e-23
0.00993596,0.151082,0.0273987,0.000451057,0.502204,8.28862e-07,-1.51468e-23
0.0107025,0.144214,0.027953,0.000489519,0.51808,8.49615e-07,2.51289e-23
0.0115452,0.138201,0.0283971,0.000528822,0.532634,8.80462e-07,1.24467e-23
0.0123878,0.13219,0.028841,0.000568109,0.547188,8.99252e-07,2.32736e-23
0.0130587,0.127973,0.0291282,0.000600152,0.557945,9.20157e-07,3.27559e-23
0.0137296,0.123757,0.0294154,0.000632185,0.568702,9.36097e-07,2.7352e-23
0.018287,0.101932,0.0307523,0.000837934,0.629246,1.03225e-06,-1.03346e-24
0.0190506,0.0991084,0.0309067,0.000870708,0.637808,1.04624e-06,1.48922e-23
0.0198142,0.0962855,0.031061,0.000903474,0.646371,1.05966e-06,1.48922e-23
0.0208323,0.0928909,0.0312332,0.000948501,0.657301,1.07688e-06,-1.44417e-23
0.0218504,0.0894971,0.0314053,0.000993511,0.668231,1.09484e-06,-1.44417e-23
0.0229695,0.0864209,0.0315493,0.00103993,0.678748,1.11028e-06,-4.1784e-23
0.0240886,0.0833455,0.0316935,0.00108634,0.689265,1.1282e-06,-1.18033e-22
0.0252077,0.080548,0.0318136,0.00113423,0.699422,1.14134e-06,-7.6115e-23
0.0263269,0.0777512,0.0319337,0.0011821,0.70958,1.15893e-06,-2.13373e-24
0.027557,0.0751968,0.0320333,0.00123152,0.719428,1.16948e-06,-4.89139e-23
0.0287871,0.0726429,0.0321329,0.00128092,0.729276,1.18654e-06,2.73368e-23
0.0300173,0.0703037,0.0322145,0.00133193,0.738851,1.19371e-06,7.29654e-23
0.0312474,0.0679651,0.0322961,0.00138292,0.748425,1.20979e-06,-1.01786e-24
0.0325996,0.0658156,0.0323618,0.00143557,0.757761,1.21312e-06,4.12535e-23
0.0339517,0.0636666,0.0324277,0.00148822,0.767097,1.22792e-06,4.12535e-23
0.0353039,0.0616869,0.0324792,0.00154257,0.77622,1.22651e-06,0
0.0366561,0.0597077,0.0325309,0.00159693,0.785343,1.23935e-06,0
0.0381424,0.0578791,0.0325696,0.00165303,0.794279,1.23261e-06,-1.09708e-22
0.0396287,0.0560508,0.0326086,0.00170914,0.803215,1.24308e-06,-3.18872e-22
0.041115,0.0543585,0.0326357,0.00176705,0.811984,1.23006e-06,-2.10919e-22
0.0426013,0.0526665,0.032663,0.00182497,0.820752,1.23722e-06,-5.10398e-24
0.044235,0.0510965,0.0326794,0.00188472,0.829371,1.21735e-06,6.81215e-23
0.0458688,0.0495268,0.0326961,0.00194449,0.837991,1.22062e-06,2.77294e-22
0.0475026,0.0480678,0.0327025,0.00200614,0.846477,1.19307e-06,2.05352e-22
0.0491363,0.0466091,0.0327093,0.00206781,0.854962,1.19134e-06,-4.72718e-25
0.0509321,0.0452505,0.0327064,0.00213139,0.863329,1.15569e-06,-6.86081e-23
0.052728,0.0438922,0.0327039,0.002195,0.871696,1.14832e-06,-6.86081e-23
0.0545238,0.0426252,0.0326923,0.00226055,0.879955,1.10415e-06,-3.51419e-23
0.0563196,0.0413586,0.032681,0.00232614,0.888215,1.09e-06,-3.51419e-23
0.0582936,0.040175,0.032661,0.0023937,0.896379,1.03728e-06,1.03314e-22
0.0602676,0.0389917,0.0326415,0.00246129,0.904543,1.0158e-06,1.03314e-22
0.0622416,0.0378847,0.0326135,0.00253088,0.912621,9.5469e-07,3.38258e-23
0.0642156,0.0367781,0.032586,0.00260052,0.920699,9.24974e-07,3.38258e-23
0.0663854,0.035741,0.0325504,0.00267218,0.928701,8.55845e-07,5.59558e-37
0.0685552,0.0347042,0.0325152,0.00274388,0.936703,8.17604e-07,0
0.070725,0.0337317,0.0324722,0.00281762,0.944635,7.41254e-07,0
0.0728948,0.0327595,0.0324295,0.00289141,0.952568,6.94091e-07,0
0.0752799,0.0318462,0.0323792,0.00296726,0.96044,6.11248e-07,0
0.077665,0.0309332,0.0323293,0.00304316,0.968312,5.55425e-07,0
0.08005,0.0300748,0.032272,0.00312113,0.976129,4.67414e-07,0
0.0824351,0.0292167,0.0322149,0.00319914,0.983946,4.03356e-07,0
0.0850568,0.0284088,0.0321506,0.00327924,0.991716,3.113e-07,0
0.0876785,0.0276012,0.0320865,0.00335937,0.999485,2.39902e-07,0
0.0883339,0.027411,0.0320687,0.00337993,1.00142,2.16312e-07,0
0.0889893,0.0272207,0.0320509,0.00340048,1.00335,1.92721e-07,0
0.0903001,0.0268403,0.0320152,0.00344159,1.00721,1.45539e-07,0
0.091611,0.02646,0.0319797,0.00348272,1.01107,1.06762e-07,0
0.0929218,0.0260797,0.0319442,0.00352385,1.01494,6.79843e-08,0
0.0958036,0.0253623,0.0318661,0.00360819,1.02263,-2.71436e-08,0
0.0986853,0.0246451,0.0317881,0.00369256,1.03032,-1.09555e-07,0
0.101567,0.0239682,0.0317031,0.00377901,1.03797,-2.03378e-07,1.19866e-22
0.104449,0.0232916,0.0316183,0.00386547,1.04563,-2.88964e-07,2.38889e-22
0.107617,0.0226522,0.0315264,0.003954,1.05326,-3.79524e-07,3.05242e-22
0.110784,0.0220131,0.0314347,0.00404254,1.06089,-4.66665e-07,5.39949e-22
0.113952,0.0214089,0.0313358,0.0041331,1.06849,-5.51535e-07,3.29389e-22
0.117119,0.0208049,0.0312371,0.00422367,1.0761,-6.3821e-07,-1.43102e-22
0.120601,0.0202333,0.0311313,0.00431623,1.08368,-7.14986e-07,-1.26745e-22
0.124083,0.0196619,0.0310255,0.0044088,1.09127,-7.99224e-07,-3.61503e-22
0.127565,0.019121,0.0309126,0.00450329,1.09883,-8.65164e-07,-2.70793e-22
0.131047,0.0185803,0.0307998,0.00459778,1.1064,-9.44655e-07,8.27258e-23
0.134874,0.0180678,0.0306797,0.00469414,1.11396,-9.97212e-07,-6.42909e-38
0.138702,0.0175555,0.0305595,0.00479048,1.12151,-1.06964e-06,0
0.142529,0.01707,0.0304321,0.00488861,1.12906,-1.10621e-06,0
0.146356,0.0165845,0.0303047,0.00498672,1.1366,-1.16903e-06,0
0.150563,0.0161239,0.0301698,0.00508653,1.14413,-1.18766e-06,0
0.15477,0.0156633,0.0300348,0.0051863,1.15167,-1.23843e-06,0
0.158977,0.0152263,0.0298923,0.00528765,1.1592,-1.23738e-06,0
0.163184,0.0147894,0.0297496,0.00538896,1.16673,-1.27368e-06,0
0.202014,0.0117081,0.0284476,0.00622424,1.22694,-1.04194e-06,-4.32951e-22
0.204455,0.0115598,0.0283672,0.00627079,1.23023,-1.00206e-06,-4.32847e-22
0.206897,0.0114116,0.0282868,0.00631734,1.23352,-9.62186e-07,-4.32743e-22
0.213189,0.0110294,0.0280794,0.00643728,1.242,-8.97966e-07,-2.10026e-22
0.230505,0.0100755,0.0274907,0.00675798,1.2646,-6.23316e-07,3.30734e-22
0.233576,0.00992154,0.0273895,0.00681145,1.26837,-5.82971e-07,1.10018e-22
0.236647,0.0097676,0.0272882,0.00686493,1.27214,-5.42626e-07,-1.10698e-22
0.24156,0.00953294,0.0271186,0.00695031,1.27817,-4.57845e-07,-1.10698e-22
0.246473,0.00929827,0.0269489,0.00703568,1.2842,-3.82941e-07,-4.42793e-23
0.255681,0.00890106,0.026642,0.00718455,1.29476,-2.44929e-07,0
0.259056,0.00876111,0.026531,0.00723764,1.29853,-1.97904e-07,0
0.262432,0.00862116,0.0264199,0.00729073,1.3023,-1.50879e-07,0
0.269183,0.00835426,0.0261878,0.00739597,1.30985,-5.58579e-08,0
0.275934,0.00808733,0.0259556,0.0075012,1.31739,3.88296e-08,0
0.283354,0.00783241,0.0257128,0.00760519,1.32494,1.23489e-07,0
0.290775,0.00757745,0.02547,0.00770917,1.33249,2.1498e-07,0
0.298196,0.00733413,0.0252165,0.00781142,1.34004,2.86596e-07,0
0.305616,0.00709079,0.0249631,0.00791367,1.34758,3.71725e-07,0
0.313773,0.00685816,0.0246984,0.00801386,1.35513,4.27756e-07,0
0.32193,0.00662552,0.0244338,0.00811406,1.36267,5.03407e-07,0
0.326009,0.00651443,0.0242959,0.00816287,1.36644,5.22777e-07,0
0.330087,0.00640333,0.024158,0.00821167,1.37021,5.42146e-07,0
0.383963,0.00515534,0.022399,0.00876872,1.4153,6.97808e-07,-2.08381e-22
0.388891,0.00505814,0.0222436,0.00881248,1.41904,7.06207e-07,-2.08381e-22
0.393819,0.00496094,0.0220882,0.00885624,1.42278,7.14605e-07,-2.08381e-22
0.403674,0.00477522,0.0217661,0.00893951,1.43023,6.8743e-07,-9.94971e-37
0.41353,0.00458951,0.0214439,0.00902278,1.43768,6.88628e-07,-2.18583e-22
0.424363,0.0044118,0.0211099,0.00910162,1.44509,6.51136e-07,4.22036e-24
0.435196,0.00423409,0.0207759,0.00918046,1.45251,6.38648e-07,8.88879e-22
0.446029,0.0040645,0.020431,0.00925449,1.45986,5.9441e-07,6.68984e-22
0.456862,0.00389492,0.0200862,0.00932852,1.4672,5.70891e-07,2.3471e-22
0.46877,0.00373286,0.0197302,0.00939778,1.47449,5.23711e-07,1.13793e-23
0.480678,0.0035708,0.0193743,0.00946704,1.48177,4.92524e-07,-8.7533e-22
0.492586,0.00341656,0.019009,0.00953144,1.48896,4.45687e-07,-6.54907e-22
0.504494,0.00326231,0.0186437,0.00959584,1.49614,4.10201e-07,0
0.517583,0.0031154,0.0182692,0.00965582,1.50322,3.66527e-07,0
0.530672,0.00296848,0.0178948,0.00971579,1.5103,3.30077e-07,0
0.543762,0.00282939,0.0175139,0.00977177,1.51723,2.9156e-07,0
0.556851,0.0026903,0.0171331,0.00982775,1.52415,2.56877e-07,0
0.571239,0.0025587,0.0167469,0.00988084,1.53091,2.24706e-07,0
0.585626,0.0024271,0.0163607,0.00993392,1.53767,1.93875e-07,0
0.59282,0.00236541,0.0161671,0.00995961,1.54094,1.81174e-07,0
0.600014,0.00230372,0.0159735,0.0099853,1.5442,1.68473e-07,0
0.630217,0.00206508,0.0152003,0.0100884,1.55701,1.23734e-07,0
0.638124,0.00200744,0.0150074,0.0101142,1.56015,1.1365e-07,0
0.646032,0.0019498,0.0148145,0.01014,1.56329,1.03566e-07,0
0.661847,0.00184362,0.0144363,0.010194,1.56924,9.00608e-08,0
0.677662,0.00173744,0.0140581,0.0102479,1.57518,7.52122e-08,0
0.695046,0.00164045,0.0136919,0.0103067,1.58075,6.59263e-08,0
0.71243,0.00154346,0.0133257,0.0103656,1.58632,5.55329e-08,0
0.729814,0.00145686,0.0129802,0.0104311,1.59142,4.91873e-08,0
0.747198,0.00137025,0.0126347,0.0104967,1.59652,4.22031e-08,0
0.766306,0.0012943,0.0123161,0.0105703,1.6011,3.75352e-08,0
0.785415,0.00121835,0.0119975,0.010644,1.60568,3.27675e-08,0
0.804523,0.00115432,0.0117163,0.010724,1.60962,2.88659e-08,0
0.823632,0.00109029,0.0114351,0.0108041,1.61357,2.5364e-08,0
0.844636,0.00103854,0.0111989,0.0108864,1.61681,2.15965e-08,0
0.86564,0.0009868,0.0109627,0.0109686,1.62006,1.86283e-08,0
0.886644,0.000948587,0.0107826,0.0110432,1.6225,1.481e-08,0
0.907648,0.000910375,0.0106025,0.0111178,1.62494,1.20574e-08,0
0.930736,0.000886411,0.010487,0.0111722,1.62648,8.23428e-09,0
0.953824,0.000862448,0.0103715,0.0112266,1.62803,5.64719e-09,0
0.976912,0.000854339,0.010332,0.0112466,1.62855,2.17952e-09,0
1,0.00084623,0.0102924,0.0112665,1.62908,4.21036e-23,0
