# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999970e-01	9.299670e-03	16	true
2             	smoothSolver	1.247090e-02	1.065940e-03	4	6.843980e-01	2.035680e-02	1	false	GAMG	1.000000e+00	9.980930e-03	25	true
3             	smoothSolver	1.982810e-03	1.124170e-04	2	5.434750e-01	3.670530e-02	2	false	GAMG	3.577120e-01	3.400460e-03	19	true
4             	smoothSolver	1.644770e-03	8.420400e-05	2	5.885550e-01	3.076220e-02	2	false	GAMG	2.473190e-01	2.271320e-03	22	true
5             	smoothSolver	1.492560e-03	7.443760e-05	2	5.904120e-01	2.199580e-02	2	false	GAMG	2.652220e-01	2.220700e-03	22	true
6             	smoothSolver	1.380090e-03	6.942690e-05	2	5.025550e-01	1.567660e-02	2	false	GAMG	2.150690e-01	1.944780e-03	20	true
7             	smoothSolver	1.291610e-03	6.599350e-05	2	3.829860e-01	1.370010e-02	2	false	GAMG	1.477330e-01	1.280760e-03	14	true
8             	smoothSolver	1.218780e-03	6.267830e-05	2	2.899970e-01	1.181440e-02	2	false	GAMG	1.096610e-01	9.986450e-04	16	true
9             	smoothSolver	1.155600e-03	5.939910e-05	2	2.648230e-01	9.491760e-03	2	false	GAMG	9.570060e-02	8.082910e-04	20	true
10            	smoothSolver	1.099740e-03	5.656130e-05	2	3.102870e-01	7.930920e-03	2	false	GAMG	8.695300e-02	7.306280e-04	16	true
11            	smoothSolver	1.051220e-03	5.429410e-05	2	3.355330e-01	6.843910e-03	2	false	GAMG	7.716560e-02	7.361880e-04	10	true
12            	smoothSolver	1.011900e-03	5.247650e-05	2	3.108550e-01	6.913630e-03	2	false	GAMG	6.675640e-02	5.522210e-04	7	true
13            	smoothSolver	9.770070e-04	5.086890e-05	2	2.881010e-01	6.229010e-03	2	false	GAMG	6.009700e-02	4.845580e-04	10	true
14            	smoothSolver	9.449130e-04	4.931260e-05	2	2.852160e-01	5.286420e-03	2	false	GAMG	5.707870e-02	5.217670e-04	12	true
15            	smoothSolver	9.150750e-04	4.781770e-05	2	2.883510e-01	2.736160e-02	1	false	GAMG	5.364910e-02	4.760630e-04	13	true
16            	smoothSolver	8.873110e-04	4.642560e-05	2	2.862790e-01	5.823680e-03	2	false	GAMG	4.995900e-02	4.689080e-04	9	true
17            	smoothSolver	8.615040e-04	4.520750e-05	2	2.702790e-01	2.345590e-02	1	false	GAMG	4.466690e-02	3.603890e-04	9	true
18            	smoothSolver	8.373180e-04	4.409760e-05	2	2.562720e-01	1.873800e-02	1	false	GAMG	4.161270e-02	3.413200e-04	6	true
19            	smoothSolver	8.145120e-04	4.309050e-05	2	2.467290e-01	1.309200e-02	1	false	GAMG	3.906030e-02	3.668140e-04	5	true
20            	smoothSolver	7.929500e-04	4.215260e-05	2	2.427260e-01	9.477040e-03	1	false	GAMG	3.698610e-02	2.213100e-04	7	true
21            	smoothSolver	7.725320e-04	4.126240e-05	2	2.353830e-01	7.785410e-03	1	false	GAMG	3.485420e-02	3.033880e-04	7	true
22            	smoothSolver	7.532850e-04	4.041060e-05	2	2.301130e-01	7.984360e-03	1	false	GAMG	3.332300e-02	3.006370e-04	7	true
23            	smoothSolver	7.351100e-04	3.962780e-05	2	2.279290e-01	8.356380e-03	1	false	GAMG	3.180560e-02	2.592350e-04	7	true
24            	smoothSolver	7.177630e-04	3.892250e-05	2	2.244080e-01	9.489820e-03	1	false	GAMG	3.043460e-02	2.568130e-04	5	true
25            	smoothSolver	7.011730e-04	3.829840e-05	2	2.209780e-01	1.117960e-02	1	false	GAMG	2.939400e-02	1.538360e-04	5	true
26            	smoothSolver	6.853120e-04	3.769710e-05	2	2.167500e-01	1.345840e-02	1	false	GAMG	2.850280e-02	2.688260e-04	5	true
27            	smoothSolver	6.701640e-04	3.712640e-05	2	2.123340e-01	1.616290e-02	1	false	GAMG	2.761010e-02	1.972630e-04	6	true
28            	smoothSolver	6.556510e-04	3.658640e-05	2	2.079050e-01	1.863000e-02	1	false	GAMG	2.693470e-02	2.356960e-04	6	true
29            	smoothSolver	6.418390e-04	3.608340e-05	2	2.030680e-01	3.006310e-03	2	false	GAMG	2.616160e-02	2.194300e-04	5	true
30            	smoothSolver	6.288740e-04	3.561950e-05	2	2.005550e-01	1.903110e-02	1	false	GAMG	2.625300e-02	1.574020e-04	5	true
