# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	0.000000e+00	0.000000e+00	0	0.000000e+00	0.000000e+00	0	false	GAMG	9.999940e-01	4.699490e-03	3	true
2             	smoothSolver	1.061940e-01	1.038320e-02	4	1.000000e+00	5.177180e-02	2	false	GAMG	1.000000e+00	8.840720e-03	3	true
3             	smoothSolver	3.808750e-02	3.581880e-03	3	5.566130e-01	3.403000e-02	2	false	GAMG	1.301210e-01	8.719130e-04	5	true
4             	smoothSolver	2.249130e-02	2.185710e-03	4	4.194710e-01	3.934300e-02	2	false	GAMG	1.075390e-01	8.528810e-04	4	true
5             	smoothSolver	1.621690e-02	1.204100e-03	5	3.951930e-01	2.390460e-02	3	false	GAMG	1.155010e-01	7.240510e-04	5	true
6             	smoothSolver	1.272870e-02	1.069780e-03	5	4.047850e-01	3.582360e-02	3	false	GAMG	1.152010e-01	9.324890e-04	4	true
7             	smoothSolver	1.065440e-02	9.847300e-04	5	4.010030e-01	2.438180e-02	4	false	GAMG	1.125320e-01	9.277160e-04	4	true
8             	smoothSolver	9.228510e-03	9.214560e-04	5	3.719260e-01	2.511550e-02	4	false	GAMG	1.023310e-01	9.653070e-04	3	true
9             	smoothSolver	8.172870e-03	5.680150e-04	6	3.398830e-01	2.421280e-02	4	false	GAMG	9.605370e-02	6.253500e-04	4	true
10            	smoothSolver	7.383290e-03	5.408680e-04	6	3.150040e-01	2.313380e-02	4	false	GAMG	8.711140e-02	7.591550e-04	4	true
11            	smoothSolver	6.847020e-03	5.195060e-04	6	3.003740e-01	2.151520e-02	4	false	GAMG	8.410880e-02	8.065590e-04	4	true
12            	smoothSolver	6.579640e-03	5.029980e-04	6	2.924240e-01	1.974410e-02	4	false	GAMG	8.109090e-02	7.160060e-04	4	true
13            	smoothSolver	6.404850e-03	4.881240e-04	6	2.766490e-01	1.901500e-02	4	false	GAMG	7.907140e-02	6.110690e-04	4	true
