y,epsilon,k,nut,U_0,U_1,U_2
0.000567512,5.67982e-05,3.87985e-06,8.9702e-10,0.0146399,-1.03149e-09,0
0.000851268,8.51923e-05,5.81973e-06,1.34553e-09,0.0219599,-1.54723e-09,0
0.00113502,0.000113586,7.75955e-06,1.79403e-09,0.0292798,-1.65574e-09,0
0.00174332,0.00019621,2.06338e-05,7.32107e-09,0.0446941,-4.919e-09,9.83066e-24
0.00235161,0.000278833,3.35079e-05,1.2848e-08,0.0601084,-7.07966e-09,1.57043e-23
0.00267761,0.00033707,4.7707e-05,2.22662e-08,0.068357,-1.03569e-08,1.04729e-23
0.00300362,0.000395308,6.19061e-05,3.16844e-08,0.0766055,-1.36341e-08,5.2415e-24
0.00332962,0.000453546,7.61052e-05,4.11025e-08,0.0848541,-1.69114e-08,1.00874e-26
0.00470391,0.000755565,0.000169216,1.25174e-07,0.119572,-3.47296e-08,-1.57561e-23
0.00916136,0.00250871,0.000922307,1.67497e-06,0.231177,-1.53081e-07,0
0.0147607,0.00689694,0.00312613,1.73688e-05,0.362078,-4.497e-07,0
0.0152906,0.00737876,0.00338094,2.03082e-05,0.3734,-4.84602e-07,0
0.0158205,0.00786048,0.00363571,2.32468e-05,0.384721,-5.09573e-07,0
0.0161045,0.00808535,0.00376598,2.55326e-05,0.3901,-5.26804e-07,0
0.0163884,0.00831021,0.00389625,2.78184e-05,0.395479,-5.44035e-07,0
0.0175244,0.00920967,0.00441731,3.69617e-05,0.416996,-6.12958e-07,0
0.0218326,0.0112944,0.00598843,8.18497e-05,0.485355,-7.78174e-07,0
0.0224851,0.0114581,0.00617726,8.96037e-05,0.494332,-7.97849e-07,0
0.0231376,0.0116219,0.00636608,9.73564e-05,0.503309,-8.05015e-07,0
0.0245365,0.0116529,0.00665145,0.000115889,0.519476,-8.23923e-07,6.71008e-23
0.0259353,0.0116839,0.00693681,0.00013442,0.535644,-8.31482e-07,1.13516e-22
0.0274347,0.0114998,0.00714212,0.000155966,0.550211,-8.31775e-07,5.27735e-23
0.0289341,0.0113157,0.00734744,0.000177511,0.56478,-8.22827e-07,1.07571e-23
0.0293359,0.0112369,0.00738288,0.000183651,0.568075,-8.19209e-07,-6.01956e-24
0.0297376,0.0111581,0.00741832,0.000189792,0.571371,-8.15591e-07,-2.27962e-23
0.0305412,0.0110004,0.0074892,0.000202074,0.577962,-8.08355e-07,-5.63496e-23
0.0308626,0.0109373,0.00751755,0.000206986,0.580599,-8.0546e-07,-6.9771e-23
0.0311841,0.0108743,0.0075459,0.000211899,0.583235,-8.02566e-07,-8.31923e-23
0.0374399,0.00952056,0.00787595,0.000312277,0.626154,-7.01179e-07,5.89655e-23
0.0383631,0.0093193,0.00790487,0.000327535,0.631657,-6.85118e-07,8.84482e-23
0.0392863,0.00911809,0.00793382,0.000342792,0.637159,-6.67854e-07,1.04671e-22
0.0412654,0.00872113,0.00796552,0.000376186,0.647325,-6.31223e-07,8.57292e-23
0.0432445,0.00832421,0.00799724,0.00040958,0.657491,-5.95837e-07,6.11659e-23
0.0453658,0.00794773,0.00800984,0.000445761,0.666952,-5.56466e-07,-3.14422e-23
0.0608271,0.00580235,0.00796695,0.000708601,0.722826,-3.12236e-07,0
0.0614802,0.0057301,0.00796209,0.000719598,0.724814,-3.07038e-07,0
0.0621332,0.00565785,0.00795723,0.000730595,0.726803,-3.01839e-07,0
0.0649332,0.00539697,0.00793184,0.00077702,0.734401,-2.6624e-07,0
0.0663332,0.00526653,0.00791915,0.000800233,0.738201,-2.48441e-07,0
0.0677332,0.0051361,0.00790647,0.000823449,0.742,-2.41053e-07,0
0.0707343,0.00490112,0.00787649,0.000872252,0.749299,-2.10703e-07,0
0.0737355,0.00466614,0.00784651,0.000921058,0.756598,-1.9147e-07,0
0.0769523,0.00445459,0.00781282,0.000972183,0.763643,-1.67943e-07,0
0.0801692,0.00424305,0.00777914,0.00102331,0.770688,-1.55474e-07,0
0.0836172,0.0040525,0.00774235,0.00107671,0.777518,-1.39791e-07,0
0.0870652,0.00386195,0.00770557,0.00113011,0.784347,-1.34249e-07,0
0.090761,0.00369011,0.00766609,0.00118572,0.790992,-1.26597e-07,8.40417e-23
0.0944567,0.00351828,0.00762661,0.00124134,0.797638,-1.27385e-07,1.49897e-22
0.0984181,0.00336307,0.00758467,0.00129912,0.804128,-1.26902e-07,6.82945e-23
